Date,iShares MSCI Europe Financials_Open_average,iShares MSCI Europe Financials_Open_max,iShares MSCI Europe Financials_Open_min,iShares MSCI Europe Financials_Open_volatility,iShares MSCI Europe Financials_Open_change,iShares MSCI Europe Financials_High_average,iShares MSCI Europe Financials_High_max,iShares MSCI Europe Financials_High_min,iShares MSCI Europe Financials_High_volatility,iShares MSCI Europe Financials_High_change,iShares MSCI Europe Financials_Low_average,iShares MSCI Europe Financials_Low_max,iShares MSCI Europe Financials_Low_min,iShares MSCI Europe Financials_Low_volatility,iShares MSCI Europe Financials_Low_change,iShares MSCI Europe Financials_Close_average,iShares MSCI Europe Financials_Close_max,iShares MSCI Europe Financials_Close_min,iShares MSCI Europe Financials_Close_volatility,iShares MSCI Europe Financials_Close_change
2018-01-14,25.36,25.36,25.36,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2018-01-21,25.62,25.62,25.62,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2018-01-28,24.69,24.69,24.69,0.0,0.0,24.85,24.85,24.85,0.0,0.0,23.87,23.87,23.87,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2018-02-04,23.75,23.75,23.75,0.0,0.0,24.01,24.01,24.01,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2018-02-11,24.42,24.42,24.42,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2018-02-18,24.36,24.36,24.36,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2018-02-25,23.38,23.38,23.38,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.61,23.61,23.61,0.0,0.0
2018-03-04,23.88,23.88,23.88,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2018-03-11,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2018-03-18,23.13,23.13,23.13,0.0,0.0,23.24,23.24,23.24,0.0,0.0,22.91,22.91,22.91,0.0,0.0,23.24,23.24,23.24,0.0,0.0
2018-03-25,23.14,23.14,23.14,0.0,0.0,23.15,23.15,23.15,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.76,22.76,22.76,0.0,0.0
2018-04-01,23.23,23.23,23.23,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.18,23.18,23.18,0.0,0.0
2018-04-08,23.66,23.66,23.66,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.67,23.67,23.67,0.0,0.0
2018-04-15,23.91,23.91,23.91,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2018-04-22,23.56,23.56,23.56,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0
2018-04-29,23.25,23.25,23.25,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.24,23.24,23.24,0.0,0.0
2018-05-06,23.54,23.54,23.54,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.45,23.45,23.45,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2018-05-13,22.98,22.98,22.98,0.0,0.0,23.06,23.06,23.06,0.0,0.0,22.98,22.98,22.98,0.0,0.0,23.03,23.03,23.03,0.0,0.0
2018-05-20,22.28,22.28,22.28,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.21,22.21,22.21,0.0,0.0,22.3,22.3,22.3,0.0,0.0
2018-05-27,21.98,21.98,21.98,0.0,0.0,22.0,22.0,22.0,0.0,0.0,21.87,21.87,21.87,0.0,0.0,21.87,21.87,21.87,0.0,0.0
2018-06-03,21.97,21.97,21.97,0.0,0.0,22.19,22.19,22.19,0.0,0.0,21.96,21.96,21.96,0.0,0.0,22.17,22.17,22.17,0.0,0.0
2018-06-10,21.34,21.34,21.34,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.29,21.29,21.29,0.0,0.0,21.41,21.41,21.41,0.0,0.0
2018-06-17,20.37,20.37,20.37,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.27,20.27,20.27,0.0,0.0
2018-06-24,19.94,19.94,19.94,0.0,0.0,20.12,20.12,20.12,0.0,0.0,19.91,19.91,19.91,0.0,0.0,20.09,20.09,20.09,0.0,0.0
2018-07-01,20.75,20.75,20.75,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.71,20.71,20.71,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2018-07-08,20.43,20.43,20.43,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.4,20.4,20.4,0.0,0.0,20.49,20.49,20.49,0.0,0.0
2018-07-15,20.46,20.46,20.46,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.46,20.46,20.46,0.0,0.0,20.54,20.54,20.54,0.0,0.0
2018-07-22,21.0,21.0,21.0,0.0,0.0,21.12,21.12,21.12,0.0,0.0,20.99,20.99,20.99,0.0,0.0,21.01,21.01,21.01,0.0,0.0
2018-07-29,20.5,20.5,20.5,0.0,0.0,20.57,20.57,20.57,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.53,20.53,20.53,0.0,0.0
2018-08-05,19.99,19.99,19.99,0.0,0.0,20.02,20.02,20.02,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2018-08-12,19.74,19.74,19.74,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.78,19.78,19.78,0.0,0.0
2018-08-19,20.22,20.22,20.22,0.0,0.0,20.42,20.42,20.42,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.41,20.41,20.41,0.0,0.0
2018-08-26,20.01,20.01,20.01,0.0,0.0,20.07,20.07,20.07,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.92,19.92,19.92,0.0,0.0
2018-09-02,19.99,19.99,19.99,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.98,19.98,19.98,0.0,0.0
2018-09-09,20.27,20.27,20.27,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.25,20.25,20.25,0.0,0.0
2018-09-16,21.12,21.12,21.12,0.0,0.0,21.12,21.12,21.12,0.0,0.0,20.89,20.89,20.89,0.0,0.0,20.89,20.89,20.89,0.0,0.0
2018-09-23,20.3,20.3,20.3,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.14,20.14,20.14,0.0,0.0
2018-09-30,19.56,19.56,19.56,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.69,19.69,19.69,0.0,0.0
2018-10-07,19.12,19.12,19.12,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2018-10-14,18.76,18.76,18.76,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.66,18.66,18.66,0.0,0.0
2018-10-21,18.45,18.45,18.45,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.09,18.09,18.09,0.0,0.0,18.22,18.22,18.22,0.0,0.0
2018-10-28,18.94,18.94,18.94,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2018-11-04,18.72,18.72,18.72,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.51,18.51,18.51,0.0,0.0
2018-11-11,18.65,18.65,18.65,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.55,18.55,18.55,0.0,0.0
2018-11-18,18.62,18.62,18.62,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.67,18.67,18.67,0.0,0.0
2018-11-25,18.72,18.72,18.72,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2018-12-02,17.45,17.45,17.45,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.32,17.32,17.32,0.0,0.0
2018-12-09,17.37,17.37,17.37,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.19,17.19,17.19,0.0,0.0
2018-12-16,16.5,16.5,16.5,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.38,16.38,16.38,0.0,0.0
2018-12-23,16.95,16.95,16.95,0.0,0.0,17.03,17.03,17.03,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2018-12-30,17.37,17.37,17.37,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.42,17.42,17.42,0.0,0.0
2019-01-06,17.59,17.59,17.59,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.76,17.76,17.76,0.0,0.0
2019-01-13,18.17,18.17,18.17,0.0,0.0,18.22,18.22,18.22,0.0,0.0,18.11,18.11,18.11,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2019-01-20,18.14,18.14,18.14,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.09,18.09,18.09,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2019-01-27,17.86,17.86,17.86,0.0,0.0,17.97,17.97,17.97,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.96,17.96,17.96,0.0,0.0
2019-02-03,17.74,17.74,17.74,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.68,17.68,17.68,0.0,0.0,17.71,17.71,17.71,0.0,0.0
2019-02-10,18.03,18.03,18.03,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2019-02-17,18.36,18.36,18.36,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.31,18.31,18.31,0.0,0.0,18.32,18.32,18.32,0.0,0.0
2019-02-24,18.77,18.77,18.77,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.72,18.72,18.72,0.0,0.0
2019-03-03,18.2,18.2,18.2,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.34,18.34,18.34,0.0,0.0
2019-03-10,19.05,19.05,19.05,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2019-03-17,18.21,18.21,18.21,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.22,18.22,18.22,0.0,0.0
2019-03-24,18.43,18.43,18.43,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2019-03-31,18.98,18.98,18.98,0.0,0.0,19.02,19.02,19.02,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2019-04-07,19.53,19.53,19.53,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.54,19.54,19.54,0.0,0.0
