Date,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Open_average,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Open_max,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Open_min,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Open_volatility,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Open_change,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_High_average,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_High_max,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_High_min,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_High_volatility,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_High_change,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Low_average,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Low_max,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Low_min,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Low_volatility,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Low_change,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Close_average,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Close_max,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Close_min,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Close_volatility,Guggenheim Invest S&P 500 Equal Weight EnergyEtf_Close_change
2018-01-14,61.4,61.4,61.4,0.0,0.0,61.46,61.46,61.46,0.0,0.0,61.06,61.06,61.06,0.0,0.0,61.41,61.41,61.41,0.0,0.0
2018-01-21,62.38,62.38,62.38,0.0,0.0,62.45,62.45,62.45,0.0,0.0,61.99,61.99,61.99,0.0,0.0,62.36,62.36,62.36,0.0,0.0
2018-01-28,59.89,59.89,59.89,0.0,0.0,59.89,59.89,59.89,0.0,0.0,57.61,57.61,57.61,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2018-02-04,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0,50.53,50.53,50.53,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2018-02-11,54.18,54.18,54.18,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.19,54.19,54.19,0.0,0.0
2018-02-18,54.16,54.16,54.16,0.0,0.0,55.0,55.0,55.0,0.0,0.0,54.1,54.1,54.1,0.0,0.0,54.96,54.96,54.96,0.0,0.0
2018-02-25,52.49,52.49,52.49,0.0,0.0,53.6,53.6,53.6,0.0,0.0,52.06,52.06,52.06,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2018-03-04,54.48,54.48,54.48,0.0,0.0,55.14,55.14,55.14,0.0,0.0,54.48,54.48,54.48,0.0,0.0,55.07,55.07,55.07,0.0,0.0
2018-03-11,53.53,53.53,53.53,0.0,0.0,54.41,54.41,54.41,0.0,0.0,53.46,53.46,53.46,0.0,0.0,54.18,54.18,54.18,0.0,0.0
2018-03-18,54.8,54.8,54.8,0.0,0.0,55.48,55.48,55.48,0.0,0.0,53.97,53.97,53.97,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2018-03-25,53.42,53.42,53.42,0.0,0.0,54.41,54.41,54.41,0.0,0.0,53.42,53.42,53.42,0.0,0.0,54.41,54.41,54.41,0.0,0.0
2018-04-01,54.62,54.62,54.62,0.0,0.0,54.85,54.85,54.85,0.0,0.0,53.18,53.18,53.18,0.0,0.0,53.98,53.98,53.98,0.0,0.0
2018-04-08,57.33,57.33,57.33,0.0,0.0,58.13,58.13,58.13,0.0,0.0,57.33,57.33,57.33,0.0,0.0,57.76,57.76,57.76,0.0,0.0
2018-04-15,59.49,59.49,59.49,0.0,0.0,59.6,59.6,59.6,0.0,0.0,58.98,58.98,58.98,0.0,0.0,59.4,59.4,59.4,0.0,0.0
2018-04-22,60.38,60.38,60.38,0.0,0.0,60.38,60.38,60.38,0.0,0.0,59.87,59.87,59.87,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2018-04-29,59.77,59.77,59.77,0.0,0.0,60.49,60.49,60.49,0.0,0.0,59.59,59.59,59.59,0.0,0.0,60.26,60.26,60.26,0.0,0.0
2018-05-06,62.38,62.38,62.38,0.0,0.0,62.6,62.6,62.6,0.0,0.0,62.03,62.03,62.03,0.0,0.0,62.14,62.14,62.14,0.0,0.0
2018-05-13,64.46,64.46,64.46,0.0,0.0,64.46,64.46,64.46,0.0,0.0,63.85,63.85,63.85,0.0,0.0,64.04,64.04,64.04,0.0,0.0
2018-05-20,61.48,61.48,61.48,0.0,0.0,61.48,61.48,61.48,0.0,0.0,60.1,60.1,60.1,0.0,0.0,60.89,60.89,60.89,0.0,0.0
2018-05-27,62.1,62.1,62.1,0.0,0.0,62.75,62.75,62.75,0.0,0.0,61.98,61.98,61.98,0.0,0.0,62.26,62.26,62.26,0.0,0.0
2018-06-03,62.46,62.46,62.46,0.0,0.0,62.46,62.46,62.46,0.0,0.0,61.82,61.82,61.82,0.0,0.0,62.19,62.19,62.19,0.0,0.0
2018-06-10,61.27,61.27,61.27,0.0,0.0,61.27,61.27,61.27,0.0,0.0,60.14,60.14,60.14,0.0,0.0,60.17,60.17,60.17,0.0,0.0
2018-06-17,62.27,62.27,62.27,0.0,0.0,62.65,62.65,62.65,0.0,0.0,61.87,61.87,61.87,0.0,0.0,61.87,61.87,61.87,0.0,0.0
2018-06-24,62.02,62.02,62.02,0.0,0.0,63.08,63.08,63.08,0.0,0.0,62.02,62.02,62.02,0.0,0.0,62.39,62.39,62.39,0.0,0.0
2018-07-01,61.46,61.46,61.46,0.0,0.0,62.69,62.69,62.69,0.0,0.0,61.46,61.46,61.46,0.0,0.0,62.57,62.57,62.57,0.0,0.0
2018-07-08,62.3,62.3,62.3,0.0,0.0,63.29,63.29,63.29,0.0,0.0,62.3,62.3,62.3,0.0,0.0,62.78,62.78,62.78,0.0,0.0
2018-07-15,61.97,61.97,61.97,0.0,0.0,61.97,61.97,61.97,0.0,0.0,61.41,61.41,61.41,0.0,0.0,61.62,61.62,61.62,0.0,0.0
2018-07-22,63.19,63.19,63.19,0.0,0.0,63.61,63.61,63.61,0.0,0.0,62.81,62.81,62.81,0.0,0.0,63.03,63.03,63.03,0.0,0.0
2018-07-29,62.34,62.34,62.34,0.0,0.0,62.45,62.45,62.45,0.0,0.0,61.62,61.62,61.62,0.0,0.0,61.86,61.86,61.86,0.0,0.0
2018-08-05,61.28,61.28,61.28,0.0,0.0,61.85,61.85,61.85,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.78,61.78,61.78,0.0,0.0
2018-08-12,59.44,59.44,59.44,0.0,0.0,59.55,59.55,59.55,0.0,0.0,59.18,59.18,59.18,0.0,0.0,59.33,59.33,59.33,0.0,0.0
2018-08-19,61.65,61.65,61.65,0.0,0.0,61.83,61.83,61.83,0.0,0.0,61.44,61.44,61.44,0.0,0.0,61.45,61.45,61.45,0.0,0.0
2018-08-26,62.0,62.0,62.0,0.0,0.0,62.0,62.0,62.0,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.55,61.55,61.55,0.0,0.0
2018-09-02,59.07,59.07,59.07,0.0,0.0,59.32,59.32,59.32,0.0,0.0,58.7,58.7,58.7,0.0,0.0,59.29,59.29,59.29,0.0,0.0
2018-09-09,60.25,60.25,60.25,0.0,0.0,61.04,61.04,61.04,0.0,0.0,60.25,60.25,60.25,0.0,0.0,60.69,60.69,60.69,0.0,0.0
2018-09-16,61.27,61.27,61.27,0.0,0.0,61.94,61.94,61.94,0.0,0.0,61.27,61.27,61.27,0.0,0.0,61.71,61.71,61.71,0.0,0.0
2018-09-23,61.83,61.83,61.83,0.0,0.0,62.74,62.74,62.74,0.0,0.0,61.83,61.83,61.83,0.0,0.0,62.13,62.13,62.13,0.0,0.0
2018-09-30,63.28,63.28,63.28,0.0,0.0,63.52,63.52,63.52,0.0,0.0,62.72,62.72,62.72,0.0,0.0,63.21,63.21,63.21,0.0,0.0
2018-10-07,60.21,60.21,60.21,0.0,0.0,60.46,60.46,60.46,0.0,0.0,58.91,58.91,58.91,0.0,0.0,59.88,59.88,59.88,0.0,0.0
2018-10-14,58.65,58.65,58.65,0.0,0.0,59.28,59.28,59.28,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-10-21,52.9,52.9,52.9,0.0,0.0,53.82,53.82,53.82,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2018-10-28,54.48,54.48,54.48,0.0,0.0,54.6,54.6,54.6,0.0,0.0,52.9,52.9,52.9,0.0,0.0,53.22,53.22,53.22,0.0,0.0
2018-11-04,53.39,53.39,53.39,0.0,0.0,54.49,54.49,54.49,0.0,0.0,53.24,53.24,53.24,0.0,0.0,54.14,54.14,54.14,0.0,0.0
2018-11-11,52.59,52.59,52.59,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.05,52.05,52.05,0.0,0.0,52.65,52.65,52.65,0.0,0.0
2018-11-18,49.93,49.93,49.93,0.0,0.0,50.22,50.22,50.22,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.66,49.66,49.66,0.0,0.0
