Date,DGX_stock_Open_average,DGX_stock_Open_max,DGX_stock_Open_min,DGX_stock_Open_volatility,DGX_stock_Open_change,DGX_stock_High_average,DGX_stock_High_max,DGX_stock_High_min,DGX_stock_High_volatility,DGX_stock_High_change,DGX_stock_Low_average,DGX_stock_Low_max,DGX_stock_Low_min,DGX_stock_Low_volatility,DGX_stock_Low_change,DGX_stock_Close_average,DGX_stock_Close_max,DGX_stock_Close_min,DGX_stock_Close_volatility,DGX_stock_Close_change,DGX_stock_Volume_average,DGX_stock_Volume_max,DGX_stock_Volume_min,DGX_stock_Volume_volatility,DGX_stock_Volume_change
2018-01-14,101.795,102.14,101.49,0.6500000000000057,0.269999999999996,102.41499999999999,103.59,101.74,1.8500000000000085,1.3400000000000034,101.365,102.14,101.02,1.1200000000000045,0.9500000000000028,101.835,103.06,101.22,1.8400000000000034,1.8400000000000034,639208,876549,520500,356049,296138
2018-01-21,104.082,105.6,103.08,2.519999999999996,2.3699999999999903,104.794,106.64,103.37,3.269999999999996,3.0600000000000023,103.394,104.71,102.14,2.569999999999993,1.7999999999999972,104.616,106.62,103.12,3.5,3.0500000000000114,834725,1064019,589546,474473,142955
2018-01-28,106.134,107.47,103.3,4.170000000000002,-3.700000000000003,107.002,108.81,104.45,4.359999999999999,-4.359999999999999,104.474,106.62,102.0,4.6200000000000045,-3.8100000000000023,105.50999999999999,107.88,103.11,4.769999999999996,-4.769999999999996,1381340,1814662,1102717,711945,99223
2018-02-04,99.794,102.75,97.49,5.260000000000005,-5.25,101.68,104.43,99.12,5.310000000000002,-5.310000000000002,97.592,100.52,95.27,5.25,-4.829999999999998,99.314,101.13,96.42,4.709999999999994,-1.759999999999991,1659925,2169918,1431987,737931,-653695
2018-02-11,100.842,102.7,98.71,3.990000000000009,3.990000000000009,102.278,104.79,99.71,5.0800000000000125,5.0800000000000125,100.304,102.35,97.89,4.459999999999994,4.459999999999994,101.918,104.53,99.07,5.460000000000008,5.460000000000008,1041291,1306178,782955,523223,-191051
2018-02-18,102.39,104.0,101.0,3.0,-3.0,103.275,104.36,102.6,1.7600000000000051,-1.7600000000000051,101.2,102.02,100.26,1.759999999999991,-1.759999999999991,101.905,102.6,100.85,1.75,0.3399999999999892,941547,1108295,766595,341700,-341700
2018-02-25,103.0,104.99,100.14,4.849999999999994,-2.5999999999999943,104.20400000000001,106.0,101.86,4.140000000000001,-2.230000000000004,101.962,103.95,100.06,3.8900000000000006,-2.469999999999999,102.756,104.79,100.41,4.38000000000001,-2.6500000000000057,1254232,1648900,850160,798740,-168129
2018-03-04,103.706,105.21,101.0,4.209999999999994,4.209999999999994,105.16799999999999,107.52,103.08,4.439999999999998,4.439999999999998,102.902,104.16,100.54,3.6199999999999903,3.6199999999999903,104.604,106.99,102.89,4.099999999999994,4.099999999999994,911711,1416188,472215,943973,555650
2018-03-11,105.844,106.99,104.94,2.049999999999997,-1.9299999999999926,106.072,107.0,105.47,1.5300000000000011,-1.5,104.584,105.59,104.05,1.5400000000000063,-1.5400000000000063,104.92399999999999,105.6,104.35,1.25,-1.25,938985,1374067,689756,684311,349984
2018-03-18,103.51,104.37,102.21,2.160000000000011,-2.160000000000011,104.17,104.82,102.86,1.9599999999999937,-1.9599999999999937,102.358,103.36,99.6,3.760000000000005,-3.760000000000005,102.628,103.86,99.78,4.079999999999998,-4.079999999999998,797720,902647,669667,232980,188044
