Date,ProShares UltraShort SmallCap600_Open_average,ProShares UltraShort SmallCap600_Open_max,ProShares UltraShort SmallCap600_Open_min,ProShares UltraShort SmallCap600_Open_volatility,ProShares UltraShort SmallCap600_Open_change,ProShares UltraShort SmallCap600_High_average,ProShares UltraShort SmallCap600_High_max,ProShares UltraShort SmallCap600_High_min,ProShares UltraShort SmallCap600_High_volatility,ProShares UltraShort SmallCap600_High_change,ProShares UltraShort SmallCap600_Low_average,ProShares UltraShort SmallCap600_Low_max,ProShares UltraShort SmallCap600_Low_min,ProShares UltraShort SmallCap600_Low_volatility,ProShares UltraShort SmallCap600_Low_change,ProShares UltraShort SmallCap600_Close_average,ProShares UltraShort SmallCap600_Close_max,ProShares UltraShort SmallCap600_Close_min,ProShares UltraShort SmallCap600_Close_volatility,ProShares UltraShort SmallCap600_Close_change
2018-01-14,14.5,14.5,14.5,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.49,14.49,14.49,0.0,0.0
2018-01-21,14.22,14.22,14.22,0.0,0.0,14.22,14.22,14.22,0.0,0.0,14.22,14.22,14.22,0.0,0.0,14.22,14.22,14.22,0.0,0.0
2018-01-28,15.65,15.65,15.65,0.0,0.0,16.41,16.41,16.41,0.0,0.0,15.49,15.49,15.49,0.0,0.0,16.41,16.41,16.41,0.0,0.0
2018-02-04,16.75,16.75,16.75,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2018-02-11,15.71,15.71,15.71,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2018-02-18,15.04,15.04,15.04,0.0,0.0,15.18,15.18,15.18,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2018-02-25,15.49,15.49,15.49,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2018-03-04,14.28,14.28,14.28,0.0,0.0,14.28,14.28,14.28,0.0,0.0,14.22,14.22,14.22,0.0,0.0,14.22,14.22,14.22,0.0,0.0
2018-03-11,14.95,14.95,14.95,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2018-03-18,15.73,15.73,15.73,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2018-03-25,15.75,15.75,15.75,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.84,15.84,15.84,0.0,0.0
2018-04-01,15.29,15.29,15.29,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.07,15.07,15.07,0.0,0.0
2018-04-08,14.71,14.71,14.71,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.45,14.45,14.45,0.0,0.0
2018-04-15,14.46,14.46,14.46,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.45,14.45,14.45,0.0,0.0
2018-04-22,14.73,14.73,14.73,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.73,14.73,14.73,0.0,0.0
2018-04-29,14.89,14.89,14.89,0.0,0.0,14.91,14.91,14.91,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.89,14.89,14.89,0.0,0.0
