Date,iShares US Energy_Open_average,iShares US Energy_Open_max,iShares US Energy_Open_min,iShares US Energy_Open_volatility,iShares US Energy_Open_change,iShares US Energy_High_average,iShares US Energy_High_max,iShares US Energy_High_min,iShares US Energy_High_volatility,iShares US Energy_High_change,iShares US Energy_Low_average,iShares US Energy_Low_max,iShares US Energy_Low_min,iShares US Energy_Low_volatility,iShares US Energy_Low_change,iShares US Energy_Close_average,iShares US Energy_Close_max,iShares US Energy_Close_min,iShares US Energy_Close_volatility,iShares US Energy_Close_change
2018-01-14,40.53,40.53,40.53,0.0,0.0,41.33,41.33,41.33,0.0,0.0,40.53,40.53,40.53,0.0,0.0,41.33,41.33,41.33,0.0,0.0
2018-01-21,40.81,40.81,40.81,0.0,0.0,41.01,41.01,41.01,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2018-01-28,37.78,37.78,37.78,0.0,0.0,38.3,38.3,38.3,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.72,36.72,36.72,0.0,0.0
2018-02-04,35.74,35.74,35.74,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2018-02-11,36.07,36.07,36.07,0.0,0.0,36.45,36.45,36.45,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-02-18,36.6,36.6,36.6,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2018-02-25,35.34,35.34,35.34,0.0,0.0,36.07,36.07,36.07,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-03-04,36.3,36.3,36.3,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.32,36.32,36.32,0.0,0.0
2018-03-11,35.87,35.87,35.87,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2018-03-18,35.87,35.87,35.87,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.43,35.43,35.43,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-03-25,35.64,35.64,35.64,0.0,0.0,35.73,35.73,35.73,0.0,0.0,34.46,34.46,34.46,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2018-04-01,35.91,35.91,35.91,0.0,0.0,36.34,36.34,36.34,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.89,35.89,35.89,0.0,0.0
2018-04-08,38.04,38.04,38.04,0.0,0.0,38.46,38.46,38.46,0.0,0.0,37.83,37.83,37.83,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2018-04-15,38.88,38.88,38.88,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.63,38.63,38.63,0.0,0.0,39.18,39.18,39.18,0.0,0.0
2018-04-22,39.19,39.19,39.19,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.16,39.16,39.16,0.0,0.0,39.22,39.22,39.22,0.0,0.0
2018-04-29,39.58,39.58,39.58,0.0,0.0,40.21,40.21,40.21,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2018-05-06,40.95,40.95,40.95,0.0,0.0,41.26,41.26,41.26,0.0,0.0,40.95,40.95,40.95,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2018-05-13,41.83,41.83,41.83,0.0,0.0,42.08,42.08,42.08,0.0,0.0,41.68,41.68,41.68,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2018-05-20,40.1,40.1,40.1,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2018-05-27,40.87,40.87,40.87,0.0,0.0,41.11,41.11,41.11,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.28,40.28,40.28,0.0,0.0
2018-06-03,40.9,40.9,40.9,0.0,0.0,41.29,41.29,41.29,0.0,0.0,40.8,40.8,40.8,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2018-06-10,39.53,39.53,39.53,0.0,0.0,40.37,40.37,40.37,0.0,0.0,39.53,39.53,39.53,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2018-06-17,40.28,40.28,40.28,0.0,0.0,40.32,40.32,40.32,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2018-06-24,40.28,40.28,40.28,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.93,39.93,39.93,0.0,0.0
2018-07-01,40.72,40.72,40.72,0.0,0.0,41.16,41.16,41.16,0.0,0.0,40.69,40.69,40.69,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2018-07-08,40.32,40.32,40.32,0.0,0.0,40.51,40.51,40.51,0.0,0.0,39.9,39.9,39.9,0.0,0.0,40.25,40.25,40.25,0.0,0.0
2018-07-15,40.08,40.08,40.08,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.82,39.82,39.82,0.0,0.0
2018-07-22,41.08,41.08,41.08,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.03,41.03,41.03,0.0,0.0,41.19,41.19,41.19,0.0,0.0
2018-07-29,40.29,40.29,40.29,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.34,40.34,40.34,0.0,0.0
2018-08-05,40.11,40.11,40.11,0.0,0.0,40.22,40.22,40.22,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.64,39.64,39.64,0.0,0.0
2018-08-12,38.73,38.73,38.73,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.73,38.73,38.73,0.0,0.0,39.01,39.01,39.01,0.0,0.0
2018-08-19,39.97,39.97,39.97,0.0,0.0,40.2,40.2,40.2,0.0,0.0,39.92,39.92,39.92,0.0,0.0,40.13,40.13,40.13,0.0,0.0
2018-08-26,39.94,39.94,39.94,0.0,0.0,39.94,39.94,39.94,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.78,39.78,39.78,0.0,0.0
2018-09-02,38.95,38.95,38.95,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2018-09-09,39.76,39.76,39.76,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2018-09-16,40.77,40.77,40.77,0.0,0.0,41.23,41.23,41.23,0.0,0.0,40.77,40.77,40.77,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2018-09-23,40.79,40.79,40.79,0.0,0.0,41.33,41.33,41.33,0.0,0.0,40.79,40.79,40.79,0.0,0.0,41.21,41.21,41.21,0.0,0.0
