Date,Guggenheim Invest S&P MidCap 400 Pure Value_Open_average,Guggenheim Invest S&P MidCap 400 Pure Value_Open_max,Guggenheim Invest S&P MidCap 400 Pure Value_Open_min,Guggenheim Invest S&P MidCap 400 Pure Value_Open_volatility,Guggenheim Invest S&P MidCap 400 Pure Value_Open_change,Guggenheim Invest S&P MidCap 400 Pure Value_High_average,Guggenheim Invest S&P MidCap 400 Pure Value_High_max,Guggenheim Invest S&P MidCap 400 Pure Value_High_min,Guggenheim Invest S&P MidCap 400 Pure Value_High_volatility,Guggenheim Invest S&P MidCap 400 Pure Value_High_change,Guggenheim Invest S&P MidCap 400 Pure Value_Low_average,Guggenheim Invest S&P MidCap 400 Pure Value_Low_max,Guggenheim Invest S&P MidCap 400 Pure Value_Low_min,Guggenheim Invest S&P MidCap 400 Pure Value_Low_volatility,Guggenheim Invest S&P MidCap 400 Pure Value_Low_change,Guggenheim Invest S&P MidCap 400 Pure Value_Close_average,Guggenheim Invest S&P MidCap 400 Pure Value_Close_max,Guggenheim Invest S&P MidCap 400 Pure Value_Close_min,Guggenheim Invest S&P MidCap 400 Pure Value_Close_volatility,Guggenheim Invest S&P MidCap 400 Pure Value_Close_change
2018-01-14,73.08,73.08,73.08,0.0,0.0,73.8,73.8,73.8,0.0,0.0,73.08,73.08,73.08,0.0,0.0,73.79,73.79,73.79,0.0,0.0
2018-01-21,72.66,72.66,72.66,0.0,0.0,72.81,72.81,72.81,0.0,0.0,72.41,72.41,72.41,0.0,0.0,72.41,72.41,72.41,0.0,0.0
2018-01-28,67.93,67.93,67.93,0.0,0.0,68.4,68.4,68.4,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.7,65.7,65.7,0.0,0.0
2018-02-04,65.14,65.14,65.14,0.0,0.0,65.39,65.39,65.39,0.0,0.0,64.98,64.98,64.98,0.0,0.0,65.34,65.34,65.34,0.0,0.0
2018-02-11,67.67,67.67,67.67,0.0,0.0,68.5,68.5,68.5,0.0,0.0,67.67,67.67,67.67,0.0,0.0,68.24,68.24,68.24,0.0,0.0
2018-02-18,68.04,68.04,68.04,0.0,0.0,68.32,68.32,68.32,0.0,0.0,67.74,67.74,67.74,0.0,0.0,68.32,68.32,68.32,0.0,0.0
2018-02-25,68.11,68.11,68.11,0.0,0.0,68.42,68.42,68.42,0.0,0.0,68.09,68.09,68.09,0.0,0.0,68.42,68.42,68.42,0.0,0.0
2018-03-04,69.86,69.86,69.86,0.0,0.0,69.86,69.86,69.86,0.0,0.0,69.54,69.54,69.54,0.0,0.0,69.54,69.54,69.54,0.0,0.0
2018-03-11,67.81,67.81,67.81,0.0,0.0,67.81,67.81,67.81,0.0,0.0,67.43,67.43,67.43,0.0,0.0,67.67,67.67,67.67,0.0,0.0
2018-03-18,65.39,65.39,65.39,0.0,0.0,65.8,65.8,65.8,0.0,0.0,64.55,64.55,64.55,0.0,0.0,65.8,65.8,65.8,0.0,0.0
