Date,IP_Open_average,IP_Open_max,IP_Open_min,IP_Open_volatility,IP_Open_change,IP_High_average,IP_High_max,IP_High_min,IP_High_volatility,IP_High_change,IP_Low_average,IP_Low_max,IP_Low_min,IP_Low_volatility,IP_Low_change,IP_Close_average,IP_Close_max,IP_Close_min,IP_Close_volatility,IP_Close_change,IP_Volume_average,IP_Volume_max,IP_Volume_min,IP_Volume_volatility,IP_Volume_change
2018-01-14,62.228,63.32,61.24,2.0799999999999983,1.2199999999999989,62.828,63.71,61.79,1.9200000000000017,1.240000000000002,61.784,62.8,60.88,1.9199999999999946,1.8799999999999955,62.46,63.5,61.23,2.270000000000003,2.230000000000004,2586683,4445345,1547373,2897972,132464
2018-01-21,64.218,66.94,63.14,3.799999999999997,3.799999999999997,65.124,66.94,63.57,3.3699999999999974,3.3699999999999974,63.562,64.95,62.99,1.9600000000000009,1.9600000000000009,64.042,65.08,63.32,1.759999999999998,1.759999999999998,2399924,3762933,1599321,2163612,2034213
2018-01-28,62.794000000000004,64.42,61.49,2.9299999999999997,-2.5900000000000034,63.532,65.07,62.83,2.239999999999995,-2.239999999999995,61.583999999999996,63.66,59.23,4.43,-4.43,62.068,64.2,59.44,4.760000000000005,-4.760000000000005,3865880,4886907,2431718,2455189,1051715
2018-02-04,58.314,59.33,56.95,2.3799999999999955,-0.9200000000000017,59.126,60.6,57.74,2.8599999999999994,-1.4499999999999957,56.94,59.13,55.13,4.0,-0.12000000000000455,57.99,59.57,56.05,3.520000000000003,-1.6899999999999977,3574100,4315790,2578879,1736911,-1736911
2018-02-11,58.1375,58.84,57.57,1.2700000000000031,0.7399999999999949,58.7975,59.58,58.14,1.4399999999999977,1.4399999999999977,57.6425,58.29,57.02,1.269999999999996,1.269999999999996,58.4875,58.94,58.03,0.9099999999999966,0.9099999999999966,2370422,2865437,2030583,834854,103306
2018-02-18,58.706,59.85,58.0,1.8500000000000014,1.6200000000000045,59.58,60.75,59.05,1.7000000000000028,1.7000000000000028,58.352,59.52,57.8,1.720000000000006,1.6600000000000037,58.956,60.57,58.0,2.5700000000000003,2.5700000000000003,2079596,2809559,1490358,1319201,-1283346
2018-02-25,59.362,60.6,57.99,2.6099999999999994,-2.490000000000002,59.95,61.3,58.67,2.6299999999999955,-2.1299999999999955,58.68,60.16,57.68,2.479999999999997,-2.1099999999999994,59.104,60.16,58.36,1.7999999999999972,-1.2199999999999989,2071965,2358563,1832164,526399,161382
2018-03-04,55.988,58.34,55.0,3.3400000000000034,-2.8300000000000054,56.26,58.6,55.32,3.280000000000001,-2.780000000000001,55.06,57.19,54.28,2.9099999999999966,-2.289999999999999,55.564,57.7,54.9,2.8000000000000043,-2.720000000000006,4549934,7476810,3340191,4136619,-1117174
2018-03-11,54.884,55.36,54.46,0.8999999999999986,-0.7999999999999972,55.156,55.64,54.59,1.0499999999999972,-1.0499999999999972,54.174,54.9,52.89,2.009999999999998,-2.009999999999998,54.392,55.0,53.22,1.7800000000000011,-1.7800000000000011,3075429,3989656,2534264,1455392,129477
2018-03-18,52.525999999999996,53.51,51.26,2.25,-2.25,53.13,54.04,51.97,2.0700000000000003,-1.4799999999999969,51.456,53.0,50.04,2.960000000000001,-1.990000000000002,52.132,53.53,50.15,3.3800000000000026,-0.8300000000000054,3281385,4579123,2819636,1759487,1701364
2018-03-25,52.67,53.18,52.26,0.9200000000000017,0.759999999999998,53.3275,53.97,52.9,1.0700000000000003,0.37000000000000455,51.78,52.82,50.42,2.3999999999999986,-1.3699999999999974,52.2675,53.43,51.13,2.299999999999997,-1.0,3089614,3425253,2797848,627405,-161260
2018-04-01,52.336,53.52,51.33,2.190000000000005,1.1300000000000026,53.054,53.72,52.55,1.1700000000000017,0.05000000000000426,51.858,53.15,51.18,1.9699999999999989,0.5799999999999983,52.654,53.43,51.99,1.4399999999999977,-0.519999999999996,2869671,3283766,2339735,944031,-30315
