Date,PowerShares PureBeta FTSE Developed ex-North Ameri_Open_average,PowerShares PureBeta FTSE Developed ex-North Ameri_Open_max,PowerShares PureBeta FTSE Developed ex-North Ameri_Open_min,PowerShares PureBeta FTSE Developed ex-North Ameri_Open_volatility,PowerShares PureBeta FTSE Developed ex-North Ameri_Open_change,PowerShares PureBeta FTSE Developed ex-North Ameri_High_average,PowerShares PureBeta FTSE Developed ex-North Ameri_High_max,PowerShares PureBeta FTSE Developed ex-North Ameri_High_min,PowerShares PureBeta FTSE Developed ex-North Ameri_High_volatility,PowerShares PureBeta FTSE Developed ex-North Ameri_High_change,PowerShares PureBeta FTSE Developed ex-North Ameri_Low_average,PowerShares PureBeta FTSE Developed ex-North Ameri_Low_max,PowerShares PureBeta FTSE Developed ex-North Ameri_Low_min,PowerShares PureBeta FTSE Developed ex-North Ameri_Low_volatility,PowerShares PureBeta FTSE Developed ex-North Ameri_Low_change,PowerShares PureBeta FTSE Developed ex-North Ameri_Close_average,PowerShares PureBeta FTSE Developed ex-North Ameri_Close_max,PowerShares PureBeta FTSE Developed ex-North Ameri_Close_min,PowerShares PureBeta FTSE Developed ex-North Ameri_Close_volatility,PowerShares PureBeta FTSE Developed ex-North Ameri_Close_change
2018-01-14,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2018-01-21,27.84,27.84,27.84,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2018-01-28,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2018-02-04,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-02-11,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2018-02-18,26.32,26.32,26.32,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-02-25,25.48,25.48,25.48,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2018-03-04,26.22,26.22,26.22,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2018-03-11,26.19,26.19,26.19,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2018-03-18,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-03-25,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2018-04-01,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2018-04-08,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-04-15,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2018-04-22,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2018-04-29,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-05-06,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-05-13,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-05-20,25.94,25.94,25.94,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2018-05-27,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2018-06-03,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-06-10,25.81,25.81,25.81,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2018-06-17,25.14,25.14,25.14,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2018-06-24,24.83,24.83,24.83,0.0,0.0,25.22,25.22,25.22,0.0,0.0,24.83,24.83,24.83,0.0,0.0,25.22,25.22,25.22,0.0,0.0
