Date,ROGStock_Open_average,ROGStock_Open_max,ROGStock_Open_min,ROGStock_Open_volatility,ROGStock_Open_change,ROGStock_High_average,ROGStock_High_max,ROGStock_High_min,ROGStock_High_volatility,ROGStock_High_change,ROGStock_Low_average,ROGStock_Low_max,ROGStock_Low_min,ROGStock_Low_volatility,ROGStock_Low_change,ROGStock_Close_average,ROGStock_Close_max,ROGStock_Close_min,ROGStock_Close_volatility,ROGStock_Close_change,ROGStock_Volume_average,ROGStock_Volume_max,ROGStock_Volume_min,ROGStock_Volume_volatility,ROGStock_Volume_change
2018-01-14,173.97,175.4,172.0,3.4000000000000057,2.0999999999999943,177.135,178.9,176.15,2.75,2.3600000000000136,172.635,173.59,171.74,1.8499999999999943,1.2699999999999818,175.445,178.46,173.29,5.170000000000016,5.170000000000016,97789,130620,77151,53469,-40055
2018-01-21,171.57,178.66,166.4,12.259999999999991,-7.789999999999992,173.208,178.66,170.38,8.280000000000001,-6.590000000000003,167.79,169.0,165.44,3.5600000000000023,1.2800000000000011,169.898,171.93,167.92,4.010000000000019,4.010000000000019,113900,204763,45499,159264,-159264
2018-01-28,166.388,171.93,162.73,9.200000000000017,-9.200000000000017,168.274,172.8,164.7,8.100000000000023,-7.6200000000000045,163.444,166.62,160.79,5.8300000000000125,-5.8300000000000125,165.012,167.58,161.42,6.160000000000025,-5.560000000000002,128132,223843,69040,154803,67196
2018-02-04,152.698,159.42,147.52,11.899999999999977,-11.899999999999977,155.034,160.59,148.85,11.740000000000009,-11.740000000000009,148.562,154.24,143.05,11.189999999999998,-11.189999999999998,150.436,154.55,145.61,8.939999999999998,-7.850000000000023,187106,279088,136439,142649,-4892
2018-02-11,152.996,158.57,146.34,12.22999999999999,11.329999999999984,156.636,159.12,152.66,6.460000000000008,6.050000000000011,151.846,155.42,146.05,9.369999999999976,9.369999999999976,155.812,158.63,151.61,7.019999999999982,5.899999999999977,129881,244294,71511,172783,-122209
2018-02-18,158.135,160.13,155.83,4.299999999999983,4.299999999999983,160.4975,161.8,159.36,2.4399999999999977,1.789999999999992,155.985,158.5,154.72,3.780000000000001,3.780000000000001,158.555,160.53,156.01,4.52000000000001,4.52000000000001,94785,145543,59424,86119,-41158
2018-02-25,145.594,160.93,126.29,34.64,-34.64,148.056,162.72,133.4,29.319999999999993,-29.319999999999993,137.994,159.0,122.57,36.43000000000001,-33.31999999999999,142.874,161.0,127.95,33.05,-28.860000000000014,394020,1074425,118413,956012,110170
2018-03-04,133.512,136.39,130.97,5.4199999999999875,5.4199999999999875,135.546,138.74,132.82,5.920000000000016,5.920000000000016,132.102,134.91,129.52,5.389999999999986,5.389999999999986,134.886,138.35,130.59,7.759999999999991,7.759999999999991,169988,211404,128504,82900,-61748
2018-03-11,138.10999999999999,139.84,136.76,3.0800000000000125,-1.6800000000000068,139.498,141.1,138.48,2.6200000000000045,-2.6200000000000045,135.59,137.35,133.21,4.139999999999986,-4.139999999999986,137.53,138.63,137.09,1.539999999999992,-1.0900000000000034,150218,225500,95655,129845,58587
2018-03-18,134.65,136.94,130.25,6.689999999999998,-6.689999999999998,135.712,138.42,130.25,8.169999999999987,-6.689999999999998,130.84,136.1,121.68,14.419999999999987,-10.819999999999993,131.922,136.5,121.89,14.61,-13.33999999999999,129112,255668,59743,195925,132892
