Date,NuShares ESG Large-Cap Growth_Open_average,NuShares ESG Large-Cap Growth_Open_max,NuShares ESG Large-Cap Growth_Open_min,NuShares ESG Large-Cap Growth_Open_volatility,NuShares ESG Large-Cap Growth_Open_change,NuShares ESG Large-Cap Growth_High_average,NuShares ESG Large-Cap Growth_High_max,NuShares ESG Large-Cap Growth_High_min,NuShares ESG Large-Cap Growth_High_volatility,NuShares ESG Large-Cap Growth_High_change,NuShares ESG Large-Cap Growth_Low_average,NuShares ESG Large-Cap Growth_Low_max,NuShares ESG Large-Cap Growth_Low_min,NuShares ESG Large-Cap Growth_Low_volatility,NuShares ESG Large-Cap Growth_Low_change,NuShares ESG Large-Cap Growth_Close_average,NuShares ESG Large-Cap Growth_Close_max,NuShares ESG Large-Cap Growth_Close_min,NuShares ESG Large-Cap Growth_Close_volatility,NuShares ESG Large-Cap Growth_Close_change
2018-01-14,33.24,33.24,33.24,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2018-01-21,33.69,33.69,33.69,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-01-28,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-02-04,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-02-11,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-02-18,33.26,33.26,33.26,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.21,33.21,33.21,0.0,0.0
2018-02-25,32.37,32.37,32.37,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2018-03-04,33.91,33.91,33.91,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.85,33.85,33.85,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2018-03-11,33.71,33.71,33.71,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2018-03-18,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2018-03-25,32.09,32.09,32.09,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2018-04-01,32.36,32.36,32.36,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2018-04-08,32.76,32.76,32.76,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-04-15,32.84,32.84,32.84,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-04-22,32.69,32.69,32.69,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2018-04-29,33.28,33.28,33.28,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2018-05-06,34.05,34.05,34.05,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2018-05-13,34.02,34.02,34.02,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2018-05-20,34.03,34.03,34.03,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-05-27,34.46,34.46,34.46,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2018-06-03,35.95,35.95,35.95,0.0,0.0,35.95,35.95,35.95,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2018-06-10,35.14,35.14,35.14,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.16,35.16,35.16,0.0,0.0
2018-06-17,34.47,34.47,34.47,0.0,0.0,34.47,34.47,34.47,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2018-06-24,34.29,34.29,34.29,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2018-07-01,35.18,35.18,35.18,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-07-08,35.49,35.49,35.49,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2018-07-15,35.15,35.15,35.15,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.29,35.29,35.29,0.0,0.0
2018-07-22,35.21,35.21,35.21,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-07-29,35.74,35.74,35.74,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.89,35.89,35.89,0.0,0.0
2018-08-05,35.75,35.75,35.75,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.68,35.68,35.68,0.0,0.0
