Date,PFE_Open_average,PFE_Open_max,PFE_Open_min,PFE_Open_volatility,PFE_Open_change,PFE_High_average,PFE_High_max,PFE_High_min,PFE_High_volatility,PFE_High_change,PFE_Low_average,PFE_Low_max,PFE_Low_min,PFE_Low_volatility,PFE_Low_change,PFE_Close_average,PFE_Close_max,PFE_Close_min,PFE_Close_volatility,PFE_Close_change,PFE_Volume_average,PFE_Volume_max,PFE_Volume_min,PFE_Volume_volatility,PFE_Volume_change
2018-01-14,36.928,37.19,36.57,0.6199999999999974,0.3200000000000003,37.174,37.37,36.98,0.39000000000000057,0.09000000000000341,36.634,36.77,36.47,0.30000000000000426,0.259999999999998,36.928,37.18,36.6,0.5799999999999983,0.3299999999999983,24351002,29538600,18924552,10614048,-8687096
2018-01-21,37.416,39.0,36.82,2.1799999999999997,2.1799999999999997,38.002,39.43,37.07,2.3599999999999994,2.3500000000000014,37.248,38.77,36.54,2.230000000000004,2.230000000000004,37.802,39.02,36.82,2.200000000000003,2.200000000000003,27402094,48805856,17578034,31227822,17316630
2018-01-28,37.164,38.21,36.48,1.730000000000004,-1.730000000000004,37.618,38.75,36.7,2.049999999999997,-2.049999999999997,36.26,37.35,34.0,3.3500000000000014,-3.3500000000000014,36.589999999999996,37.8,34.67,3.1299999999999955,-3.1299999999999955,34552968,45999704,24277892,21721812,-5711576
2018-02-04,34.586,35.13,34.16,0.970000000000006,0.29000000000000625,35.12,35.65,34.43,1.2199999999999989,-0.6099999999999994,33.96,34.97,33.2,1.769999999999996,0.030000000000001137,34.542,35.28,33.63,1.6499999999999986,-0.6200000000000045,42018462,53164236,29370002,23794234,-16405548
2018-02-11,35.1,35.76,34.57,1.1899999999999977,1.1899999999999977,35.69,36.66,35.03,1.6299999999999955,1.6299999999999955,34.9325,35.68,34.41,1.2700000000000031,1.2700000000000031,35.525,36.26,34.94,1.3200000000000003,1.3200000000000003,22842084,26242464,20454978,5787486,5787486
2018-02-18,36.016,36.29,35.87,0.4200000000000017,0.269999999999996,36.548,37.21,36.15,1.0600000000000023,0.7199999999999989,35.852,36.21,35.61,0.6000000000000014,0.3299999999999983,36.172,37.09,35.74,1.3500000000000014,1.0800000000000054,22847336,25808704,17020896,8787808,-1703076
2018-02-25,36.318,37.07,35.55,1.5200000000000031,-1.25,36.626,37.28,36.07,1.2100000000000009,-0.9499999999999957,35.884,36.74,35.2,1.5399999999999991,-0.9699999999999989,36.162,36.8,35.63,1.1699999999999946,-0.6799999999999997,24056518,28731400,21130332,7601068,-1160856
2018-03-04,36.272,36.92,35.6,1.3200000000000003,0.6799999999999997,36.548,37.0,36.08,0.9200000000000017,0.759999999999998,36.052,36.53,35.55,0.980000000000004,0.75,36.338,36.77,35.88,0.8900000000000006,0.7299999999999969,20676044,25210276,17081100,8129176,8129176
2018-03-11,36.686,36.84,36.35,0.490000000000002,0.0,36.92,37.04,36.8,0.240000000000002,-0.1600000000000037,36.332,36.62,36.08,0.5399999999999991,-0.3500000000000014,36.558,36.78,36.33,0.45000000000000284,-0.4200000000000017,24208079,32376924,18978916,13398008,-9067310
2018-03-18,35.862,36.49,34.93,1.5600000000000023,-1.4399999999999977,36.013999999999996,36.73,35.15,1.5799999999999983,-1.3999999999999986,35.31,36.2,34.32,1.8800000000000026,-1.7999999999999972,35.546,36.33,34.49,1.8399999999999963,-1.2899999999999991,21968504,27880166,18094250,9785916,4393364
2018-03-25,35.325,35.52,35.18,0.3400000000000034,0.240000000000002,35.695,35.81,35.56,0.25,0.17999999999999972,34.9325,35.12,34.76,0.35999999999999943,-0.020000000000003126,35.2125,35.49,35.01,0.480000000000004,0.03999999999999915,25690928,27357878,23533906,3823972,-485686
2018-04-01,35.392,35.67,35.11,0.5600000000000023,0.18999999999999773,35.952,36.23,35.73,0.5,0.20000000000000284,35.160000000000004,35.53,34.89,0.6400000000000006,0.29999999999999716,35.634,36.13,35.17,0.9600000000000009,-0.21999999999999886,21230709,24460904,19409228,5051676,-844924
2018-04-08,36.134,36.5,35.73,0.7700000000000031,0.5,36.38,36.73,36.07,0.6599999999999966,0.6299999999999955,35.96,36.39,35.59,0.7999999999999972,0.6700000000000017,36.182,36.53,35.79,0.740000000000002,0.5799999999999983,17526095,22597698,13168781,9428917,-4768166
2018-04-15,36.538000000000004,36.75,36.38,0.36999999999999744,-0.0799999999999983,36.748,36.89,36.59,0.29999999999999716,0.10999999999999943,36.378,36.6,36.27,0.3299999999999983,0.3299999999999983,36.556,36.8,36.33,0.46999999999999886,0.46999999999999886,18352514,24080746,13901830,10178916,7310773
2018-04-22,36.908,37.13,36.78,0.3500000000000014,0.22000000000000597,37.14,37.27,37.04,0.23000000000000398,-0.09000000000000341,36.626,36.77,36.4,0.37000000000000455,-0.37000000000000455,36.84,37.06,36.61,0.45000000000000284,-0.45000000000000284,22383907,26846132,13686126,13160006,1128484
2018-04-29,34.984,35.58,34.56,1.019999999999996,-0.7899999999999991,35.284,36.05,34.88,1.1699999999999946,-0.9199999999999946,34.576,34.74,34.37,0.37000000000000455,0.07000000000000028,34.964,35.4,34.76,0.6400000000000006,-0.46999999999999886,27651279,48650996,18781706,29869290,-28176628
2018-05-06,35.114,35.51,34.91,0.6000000000000014,0.6000000000000014,35.458,35.92,35.09,0.8299999999999983,0.8299999999999983,35.006,35.49,34.71,0.7800000000000011,0.7800000000000011,35.31,35.86,34.98,0.8800000000000026,0.8800000000000026,23284914,29323228,19383496,9939732,-6436970
