Date,Xtrackers International Real Estate_Open_average,Xtrackers International Real Estate_Open_max,Xtrackers International Real Estate_Open_min,Xtrackers International Real Estate_Open_volatility,Xtrackers International Real Estate_Open_change,Xtrackers International Real Estate_High_average,Xtrackers International Real Estate_High_max,Xtrackers International Real Estate_High_min,Xtrackers International Real Estate_High_volatility,Xtrackers International Real Estate_High_change,Xtrackers International Real Estate_Low_average,Xtrackers International Real Estate_Low_max,Xtrackers International Real Estate_Low_min,Xtrackers International Real Estate_Low_volatility,Xtrackers International Real Estate_Low_change,Xtrackers International Real Estate_Close_average,Xtrackers International Real Estate_Close_max,Xtrackers International Real Estate_Close_min,Xtrackers International Real Estate_Close_volatility,Xtrackers International Real Estate_Close_change
2018-01-14,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-01-21,30.53,30.53,30.53,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-01-28,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2018-02-04,27.88,27.88,27.88,0.0,0.0,28.47,28.47,28.47,0.0,0.0,27.57,27.57,27.57,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-02-11,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2018-02-18,29.59,29.59,29.59,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-02-25,28.79,28.79,28.79,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.92,28.92,28.92,0.0,0.0
2018-03-04,29.91,29.91,29.91,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2018-03-11,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-03-18,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2018-03-25,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-04-01,29.09,29.09,29.09,0.0,0.0,29.25,29.25,29.25,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-04-08,29.19,29.19,29.19,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2018-04-15,28.94,28.94,28.94,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2018-04-22,29.48,29.48,29.48,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2018-04-29,29.57,29.57,29.57,0.0,0.0,30.19,30.19,30.19,0.0,0.0,29.57,29.57,29.57,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-05-06,30.0,30.0,30.0,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-05-13,30.2,30.2,30.2,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.2,30.2,30.2,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-05-20,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-05-27,29.65,29.65,29.65,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-06-03,29.68,29.68,29.68,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2018-06-10,29.02,29.02,29.02,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2018-06-17,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0
