Date,Direxion Daily Small Cap Bull 1.25X Shares_Open_average,Direxion Daily Small Cap Bull 1.25X Shares_Open_max,Direxion Daily Small Cap Bull 1.25X Shares_Open_min,Direxion Daily Small Cap Bull 1.25X Shares_Open_volatility,Direxion Daily Small Cap Bull 1.25X Shares_Open_change,Direxion Daily Small Cap Bull 1.25X Shares_High_average,Direxion Daily Small Cap Bull 1.25X Shares_High_max,Direxion Daily Small Cap Bull 1.25X Shares_High_min,Direxion Daily Small Cap Bull 1.25X Shares_High_volatility,Direxion Daily Small Cap Bull 1.25X Shares_High_change,Direxion Daily Small Cap Bull 1.25X Shares_Low_average,Direxion Daily Small Cap Bull 1.25X Shares_Low_max,Direxion Daily Small Cap Bull 1.25X Shares_Low_min,Direxion Daily Small Cap Bull 1.25X Shares_Low_volatility,Direxion Daily Small Cap Bull 1.25X Shares_Low_change,Direxion Daily Small Cap Bull 1.25X Shares_Close_average,Direxion Daily Small Cap Bull 1.25X Shares_Close_max,Direxion Daily Small Cap Bull 1.25X Shares_Close_min,Direxion Daily Small Cap Bull 1.25X Shares_Close_volatility,Direxion Daily Small Cap Bull 1.25X Shares_Close_change
2018-01-14,37.41,37.41,37.41,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2018-01-21,37.58,37.58,37.58,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.63,37.63,37.63,0.0,0.0
2018-01-28,35.0,35.0,35.0,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2018-02-04,34.12,34.12,34.12,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2018-02-11,35.79,35.79,35.79,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-02-18,36.32,36.32,36.32,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-02-25,35.05,35.05,35.05,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2018-03-04,37.14,37.14,37.14,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.14,37.14,37.14,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-03-11,37.12,37.12,37.12,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2018-03-18,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2018-03-25,35.93,35.93,35.93,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2018-04-01,36.79,36.79,36.79,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2018-04-08,36.78,36.78,36.78,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-04-15,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-04-22,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2018-04-29,38.05,38.05,38.05,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.04,38.04,38.04,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2018-05-06,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2018-05-13,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.26,39.26,39.26,0.0,0.0,39.27,39.27,39.27,0.0,0.0
2018-05-20,38.94,38.94,38.94,0.0,0.0,38.95,38.95,38.95,0.0,0.0,38.94,38.94,38.94,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2018-05-27,39.44,39.44,39.44,0.0,0.0,39.99,39.99,39.99,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2018-06-03,41.14,41.14,41.14,0.0,0.0,41.14,41.14,41.14,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.58,40.58,40.58,0.0,0.0
2018-06-10,40.54,40.54,40.54,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2018-06-17,41.0,41.0,41.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0
2018-06-24,39.51,39.51,39.51,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.51,39.51,39.51,0.0,0.0
2018-07-01,41.84,41.84,41.84,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2018-07-08,41.3,41.3,41.3,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.3,41.3,41.3,0.0,0.0
2018-07-15,41.51,41.51,41.51,0.0,0.0,41.56,41.56,41.56,0.0,0.0,41.49,41.49,41.49,0.0,0.0,41.49,41.49,41.49,0.0,0.0
2018-07-22,40.8,40.8,40.8,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2018-07-29,41.79,41.79,41.79,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.79,41.79,41.79,0.0,0.0
2018-08-05,42.12,42.12,42.12,0.0,0.0,42.12,42.12,42.12,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2018-08-12,42.59,42.59,42.59,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.58,42.58,42.58,0.0,0.0
