Date,iShares MSCI EAFE ESG Optimized_Open_average,iShares MSCI EAFE ESG Optimized_Open_max,iShares MSCI EAFE ESG Optimized_Open_min,iShares MSCI EAFE ESG Optimized_Open_volatility,iShares MSCI EAFE ESG Optimized_Open_change,iShares MSCI EAFE ESG Optimized_High_average,iShares MSCI EAFE ESG Optimized_High_max,iShares MSCI EAFE ESG Optimized_High_min,iShares MSCI EAFE ESG Optimized_High_volatility,iShares MSCI EAFE ESG Optimized_High_change,iShares MSCI EAFE ESG Optimized_Low_average,iShares MSCI EAFE ESG Optimized_Low_max,iShares MSCI EAFE ESG Optimized_Low_min,iShares MSCI EAFE ESG Optimized_Low_volatility,iShares MSCI EAFE ESG Optimized_Low_change,iShares MSCI EAFE ESG Optimized_Close_average,iShares MSCI EAFE ESG Optimized_Close_max,iShares MSCI EAFE ESG Optimized_Close_min,iShares MSCI EAFE ESG Optimized_Close_volatility,iShares MSCI EAFE ESG Optimized_Close_change
2018-01-14,71.36,71.36,71.36,0.0,0.0,71.66,71.66,71.66,0.0,0.0,71.36,71.36,71.36,0.0,0.0,71.66,71.66,71.66,0.0,0.0
2018-01-21,71.84,71.84,71.84,0.0,0.0,72.02,72.02,72.02,0.0,0.0,71.64,71.64,71.64,0.0,0.0,71.81,71.81,71.81,0.0,0.0
2018-01-28,68.99,68.99,68.99,0.0,0.0,69.18,69.18,69.18,0.0,0.0,66.84,66.84,66.84,0.0,0.0,66.92,66.92,66.92,0.0,0.0
2018-02-04,66.61,66.61,66.61,0.0,0.0,67.23,67.23,67.23,0.0,0.0,66.5,66.5,66.5,0.0,0.0,67.08,67.08,67.08,0.0,0.0
2018-02-11,68.71,68.71,68.71,0.0,0.0,69.19,69.19,69.19,0.0,0.0,68.71,68.71,68.71,0.0,0.0,68.96,68.96,68.96,0.0,0.0
2018-02-18,69.19,69.19,69.19,0.0,0.0,69.56,69.56,69.56,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.56,69.56,69.56,0.0,0.0
2018-02-25,66.41,66.41,66.41,0.0,0.0,67.34,67.34,67.34,0.0,0.0,66.41,66.41,66.41,0.0,0.0,67.22,67.22,67.22,0.0,0.0
2018-03-04,68.41,68.41,68.41,0.0,0.0,68.41,68.41,68.41,0.0,0.0,68.31,68.31,68.31,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2018-03-11,67.76,67.76,67.76,0.0,0.0,67.76,67.76,67.76,0.0,0.0,67.18,67.18,67.18,0.0,0.0,67.49,67.49,67.49,0.0,0.0
2018-03-18,66.54,66.54,66.54,0.0,0.0,66.78,66.78,66.78,0.0,0.0,65.95,65.95,65.95,0.0,0.0,66.75,66.75,66.75,0.0,0.0
