Date,PowerShares Global Clean Energy_etf_Open_average,PowerShares Global Clean Energy_etf_Open_max,PowerShares Global Clean Energy_etf_Open_min,PowerShares Global Clean Energy_etf_Open_volatility,PowerShares Global Clean Energy_etf_Open_change,PowerShares Global Clean Energy_etf_High_average,PowerShares Global Clean Energy_etf_High_max,PowerShares Global Clean Energy_etf_High_min,PowerShares Global Clean Energy_etf_High_volatility,PowerShares Global Clean Energy_etf_High_change,PowerShares Global Clean Energy_etf_Low_average,PowerShares Global Clean Energy_etf_Low_max,PowerShares Global Clean Energy_etf_Low_min,PowerShares Global Clean Energy_etf_Low_volatility,PowerShares Global Clean Energy_etf_Low_change,PowerShares Global Clean Energy_etf_Close_average,PowerShares Global Clean Energy_etf_Close_max,PowerShares Global Clean Energy_etf_Close_min,PowerShares Global Clean Energy_etf_Close_volatility,PowerShares Global Clean Energy_etf_Close_change
2018-01-14,13.73,13.73,13.73,0.0,0.0,13.73,13.73,13.73,0.0,0.0,13.64,13.64,13.64,0.0,0.0,13.67,13.67,13.67,0.0,0.0
2018-01-21,13.7,13.7,13.7,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.65,13.65,13.65,0.0,0.0
2018-01-28,13.34,13.34,13.34,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.15,13.15,13.15,0.0,0.0
2018-02-04,12.51,12.51,12.51,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.55,12.55,12.55,0.0,0.0
2018-02-11,13.23,13.23,13.23,0.0,0.0,13.42,13.42,13.42,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.24,13.24,13.24,0.0,0.0
2018-02-18,13.19,13.19,13.19,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.05,13.05,13.05,0.0,0.0,13.29,13.29,13.29,0.0,0.0
2018-02-25,12.84,12.84,12.84,0.0,0.0,13.14,13.14,13.14,0.0,0.0,12.83,12.83,12.83,0.0,0.0,13.14,13.14,13.14,0.0,0.0
2018-03-04,13.27,13.27,13.27,0.0,0.0,13.31,13.31,13.31,0.0,0.0,13.02,13.02,13.02,0.0,0.0,13.29,13.29,13.29,0.0,0.0
2018-03-11,13.36,13.36,13.36,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.24,13.24,13.24,0.0,0.0
2018-03-18,13.03,13.03,13.03,0.0,0.0,13.27,13.27,13.27,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.85,12.85,12.85,0.0,0.0
2018-03-25,12.65,12.65,12.65,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.65,12.65,12.65,0.0,0.0,12.88,12.88,12.88,0.0,0.0
2018-04-01,12.81,12.81,12.81,0.0,0.0,13.0,13.0,13.0,0.0,0.0,12.7,12.7,12.7,0.0,0.0,12.71,12.71,12.71,0.0,0.0
2018-04-08,13.14,13.14,13.14,0.0,0.0,13.14,13.14,13.14,0.0,0.0,12.96,12.96,12.96,0.0,0.0,12.96,12.96,12.96,0.0,0.0
2018-04-15,12.92,12.92,12.92,0.0,0.0,13.04,13.04,13.04,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.95,12.95,12.95,0.0,0.0
2018-04-22,13.01,13.01,13.01,0.0,0.0,13.01,13.01,13.01,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.89,12.89,12.89,0.0,0.0
2018-04-29,12.76,12.76,12.76,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.82,12.82,12.82,0.0,0.0
