Date,AdvisorShares Wilshire BuybackEtf_Open_average,AdvisorShares Wilshire BuybackEtf_Open_max,AdvisorShares Wilshire BuybackEtf_Open_min,AdvisorShares Wilshire BuybackEtf_Open_volatility,AdvisorShares Wilshire BuybackEtf_Open_change,AdvisorShares Wilshire BuybackEtf_High_average,AdvisorShares Wilshire BuybackEtf_High_max,AdvisorShares Wilshire BuybackEtf_High_min,AdvisorShares Wilshire BuybackEtf_High_volatility,AdvisorShares Wilshire BuybackEtf_High_change,AdvisorShares Wilshire BuybackEtf_Low_average,AdvisorShares Wilshire BuybackEtf_Low_max,AdvisorShares Wilshire BuybackEtf_Low_min,AdvisorShares Wilshire BuybackEtf_Low_volatility,AdvisorShares Wilshire BuybackEtf_Low_change,AdvisorShares Wilshire BuybackEtf_Close_average,AdvisorShares Wilshire BuybackEtf_Close_max,AdvisorShares Wilshire BuybackEtf_Close_min,AdvisorShares Wilshire BuybackEtf_Close_volatility,AdvisorShares Wilshire BuybackEtf_Close_change
2018-01-14,73.69,73.69,73.69,0.0,0.0,74.22,74.22,74.22,0.0,0.0,73.69,73.69,73.69,0.0,0.0,74.22,74.22,74.22,0.0,0.0
2018-01-21,74.63,74.63,74.63,0.0,0.0,75.63,75.63,75.63,0.0,0.0,74.63,74.63,74.63,0.0,0.0,75.63,75.63,75.63,0.0,0.0
2018-01-28,73.74,73.74,73.74,0.0,0.0,73.74,73.74,73.74,0.0,0.0,72.36,72.36,72.36,0.0,0.0,72.61,72.61,72.61,0.0,0.0
2018-02-04,68.83,68.83,68.83,0.0,0.0,69.19,69.19,69.19,0.0,0.0,66.97,66.97,66.97,0.0,0.0,68.81,68.81,68.81,0.0,0.0
2018-02-11,71.34,71.34,71.34,0.0,0.0,71.55,71.55,71.55,0.0,0.0,71.33,71.33,71.33,0.0,0.0,71.5,71.5,71.5,0.0,0.0
2018-02-18,70.72,70.72,70.72,0.0,0.0,71.14,71.14,71.14,0.0,0.0,70.67,70.67,70.67,0.0,0.0,71.14,71.14,71.14,0.0,0.0
2018-02-25,68.77,68.77,68.77,0.0,0.0,69.94,69.94,69.94,0.0,0.0,68.72,68.72,68.72,0.0,0.0,69.94,69.94,69.94,0.0,0.0
2018-03-04,71.18,71.18,71.18,0.0,0.0,71.9,71.9,71.9,0.0,0.0,71.18,71.18,71.18,0.0,0.0,71.9,71.9,71.9,0.0,0.0
2018-03-11,70.35,70.35,70.35,0.0,0.0,70.97,70.97,70.97,0.0,0.0,70.35,70.35,70.35,0.0,0.0,70.62,70.62,70.62,0.0,0.0
2018-03-18,68.42,68.42,68.42,0.0,0.0,68.5,68.5,68.5,0.0,0.0,67.55,67.55,67.55,0.0,0.0,67.55,67.55,67.55,0.0,0.0
2018-03-25,68.51,68.51,68.51,0.0,0.0,68.61,68.61,68.61,0.0,0.0,68.22,68.22,68.22,0.0,0.0,68.48,68.48,68.48,0.0,0.0
2018-04-01,68.49,68.49,68.49,0.0,0.0,68.55,68.55,68.55,0.0,0.0,67.19,67.19,67.19,0.0,0.0,67.19,67.19,67.19,0.0,0.0
2018-04-08,67.89,67.89,67.89,0.0,0.0,68.12,68.12,68.12,0.0,0.0,67.89,67.89,67.89,0.0,0.0,67.98,67.98,67.98,0.0,0.0
2018-04-15,68.56,68.56,68.56,0.0,0.0,68.7,68.7,68.7,0.0,0.0,68.06,68.06,68.06,0.0,0.0,68.14,68.14,68.14,0.0,0.0
2018-04-22,68.21,68.21,68.21,0.0,0.0,68.38,68.38,68.38,0.0,0.0,68.21,68.21,68.21,0.0,0.0,68.24,68.24,68.24,0.0,0.0
2018-04-29,66.8,66.8,66.8,0.0,0.0,67.81,67.81,67.81,0.0,0.0,66.8,66.8,66.8,0.0,0.0,67.61,67.61,67.61,0.0,0.0
2018-05-06,68.71,68.71,68.71,0.0,0.0,68.81,68.81,68.81,0.0,0.0,68.42,68.42,68.42,0.0,0.0,68.66,68.66,68.66,0.0,0.0
2018-05-13,69.01,69.01,69.01,0.0,0.0,69.01,69.01,69.01,0.0,0.0,68.91,68.91,68.91,0.0,0.0,69.0,69.0,69.0,0.0,0.0
2018-05-20,68.53,68.53,68.53,0.0,0.0,68.72,68.72,68.72,0.0,0.0,68.53,68.53,68.53,0.0,0.0,68.72,68.72,68.72,0.0,0.0
2018-05-27,68.54,68.54,68.54,0.0,0.0,68.62,68.62,68.62,0.0,0.0,68.42,68.42,68.42,0.0,0.0,68.5,68.5,68.5,0.0,0.0
2018-06-03,69.49,69.49,69.49,0.0,0.0,70.23,70.23,70.23,0.0,0.0,69.49,69.49,69.49,0.0,0.0,70.06,70.06,70.06,0.0,0.0
2018-06-10,69.4,69.4,69.4,0.0,0.0,69.94,69.94,69.94,0.0,0.0,69.4,69.4,69.4,0.0,0.0,69.9,69.9,69.9,0.0,0.0
2018-06-17,69.77,69.77,69.77,0.0,0.0,69.85,69.85,69.85,0.0,0.0,69.45,69.45,69.45,0.0,0.0,69.55,69.55,69.55,0.0,0.0
2018-06-24,68.46,68.46,68.46,0.0,0.0,68.49,68.49,68.49,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.26,68.26,68.26,0.0,0.0
2018-07-01,68.8,68.8,68.8,0.0,0.0,68.8,68.8,68.8,0.0,0.0,68.68,68.68,68.68,0.0,0.0,68.68,68.68,68.68,0.0,0.0
2018-07-08,69.15,69.15,69.15,0.0,0.0,69.19,69.19,69.19,0.0,0.0,68.92,68.92,68.92,0.0,0.0,68.92,68.92,68.92,0.0,0.0
2018-07-15,68.8,68.8,68.8,0.0,0.0,68.88,68.88,68.88,0.0,0.0,68.65,68.65,68.65,0.0,0.0,68.65,68.65,68.65,0.0,0.0
2018-07-22,69.53,69.53,69.53,0.0,0.0,69.65,69.65,69.65,0.0,0.0,69.14,69.14,69.14,0.0,0.0,69.14,69.14,69.14,0.0,0.0
2018-07-29,69.64,69.64,69.64,0.0,0.0,69.84,69.84,69.84,0.0,0.0,69.59,69.59,69.59,0.0,0.0,69.71,69.71,69.71,0.0,0.0
2018-08-05,69.32,69.32,69.32,0.0,0.0,69.57,69.57,69.57,0.0,0.0,69.3,69.3,69.3,0.0,0.0,69.3,69.3,69.3,0.0,0.0
2018-08-12,69.71,69.71,69.71,0.0,0.0,70.17,70.17,70.17,0.0,0.0,69.71,69.71,69.71,0.0,0.0,70.17,70.17,70.17,0.0,0.0
2018-08-19,70.41,70.41,70.41,0.0,0.0,70.41,70.41,70.41,0.0,0.0,70.3,70.3,70.3,0.0,0.0,70.3,70.3,70.3,0.0,0.0
2018-08-26,70.08,70.08,70.08,0.0,0.0,70.4,70.4,70.4,0.0,0.0,70.08,70.08,70.08,0.0,0.0,70.33,70.33,70.33,0.0,0.0
2018-09-02,70.08,70.08,70.08,0.0,0.0,70.08,70.08,70.08,0.0,0.0,69.92,69.92,69.92,0.0,0.0,69.98,69.98,69.98,0.0,0.0
2018-09-09,69.98,69.98,69.98,0.0,0.0,70.46,70.46,70.46,0.0,0.0,69.98,69.98,69.98,0.0,0.0,70.46,70.46,70.46,0.0,0.0
2018-09-16,71.4,71.4,71.4,0.0,0.0,71.4,71.4,71.4,0.0,0.0,71.37,71.37,71.37,0.0,0.0,71.37,71.37,71.37,0.0,0.0
2018-09-23,70.07,70.07,70.07,0.0,0.0,70.25,70.25,70.25,0.0,0.0,70.07,70.07,70.07,0.0,0.0,70.18,70.18,70.18,0.0,0.0
2018-09-30,69.38,69.38,69.38,0.0,0.0,69.38,69.38,69.38,0.0,0.0,68.91,68.91,68.91,0.0,0.0,69.01,69.01,69.01,0.0,0.0
2018-10-07,65.63,65.63,65.63,0.0,0.0,65.75,65.75,65.75,0.0,0.0,64.92,64.92,64.92,0.0,0.0,65.48,65.48,65.48,0.0,0.0
2018-10-14,66.2,66.2,66.2,0.0,0.0,66.8,66.8,66.8,0.0,0.0,66.2,66.2,66.2,0.0,0.0,66.28,66.28,66.28,0.0,0.0
2018-10-21,63.27,63.27,63.27,0.0,0.0,63.61,63.61,63.61,0.0,0.0,62.4,62.4,62.4,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2018-10-28,65.5,65.5,65.5,0.0,0.0,65.51,65.51,65.51,0.0,0.0,64.73,64.73,64.73,0.0,0.0,65.13,65.13,65.13,0.0,0.0
2018-11-04,66.48,66.48,66.48,0.0,0.0,66.91,66.91,66.91,0.0,0.0,66.39,66.39,66.39,0.0,0.0,66.91,66.91,66.91,0.0,0.0
2018-11-11,65.07,65.07,65.07,0.0,0.0,65.76,65.76,65.76,0.0,0.0,65.07,65.07,65.07,0.0,0.0,65.65,65.65,65.65,0.0,0.0
2018-11-18,63.14,63.14,63.14,0.0,0.0,64.34,64.34,64.34,0.0,0.0,63.14,63.14,63.14,0.0,0.0,64.32,64.32,64.32,0.0,0.0
2018-11-25,65.65,65.65,65.65,0.0,0.0,66.45,66.45,66.45,0.0,0.0,64.84,64.84,64.84,0.0,0.0,65.82,65.82,65.82,0.0,0.0
2018-12-02,64.06,64.06,64.06,0.0,0.0,64.06,64.06,64.06,0.0,0.0,63.23,63.23,63.23,0.0,0.0,63.24,63.24,63.24,0.0,0.0
2018-12-09,62.53,62.53,62.53,0.0,0.0,62.66,62.66,62.66,0.0,0.0,62.08,62.08,62.08,0.0,0.0,62.08,62.08,62.08,0.0,0.0
2018-12-16,58.63,58.63,58.63,0.0,0.0,59.38,59.38,59.38,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.66,57.66,57.66,0.0,0.0
2018-12-23,58.89,58.89,58.89,0.0,0.0,59.25,59.25,59.25,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-12-30,59.52,59.52,59.52,0.0,0.0,60.47,60.47,60.47,0.0,0.0,59.41,59.41,59.41,0.0,0.0,60.38,60.38,60.38,0.0,0.0
2019-01-06,61.67,61.67,61.67,0.0,0.0,61.67,61.67,61.67,0.0,0.0,61.07,61.07,61.07,0.0,0.0,61.34,61.34,61.34,0.0,0.0
