Date,WisdomTree Global ex US Quality Dividend Growth_Open_average,WisdomTree Global ex US Quality Dividend Growth_Open_max,WisdomTree Global ex US Quality Dividend Growth_Open_volatility,WisdomTree Global ex US Quality Dividend Growth_Open_change,WisdomTree Global ex US Quality Dividend Growth_High_average,WisdomTree Global ex US Quality Dividend Growth_High_max,WisdomTree Global ex US Quality Dividend Growth_High_volatility,WisdomTree Global ex US Quality Dividend Growth_High_change,WisdomTree Global ex US Quality Dividend Growth_Low_average,WisdomTree Global ex US Quality Dividend Growth_Low_max,WisdomTree Global ex US Quality Dividend Growth_Low_volatility,WisdomTree Global ex US Quality Dividend Growth_Low_change,WisdomTree Global ex US Quality Dividend Growth_Close_average,WisdomTree Global ex US Quality Dividend Growth_Close_max,WisdomTree Global ex US Quality Dividend Growth_Close_volatility,WisdomTree Global ex US Quality Dividend Growth_Close_change
2016-01-03,42.04,42.04,0.0,0.0,42.04,42.04,0.0,0.0,41.6,41.6,0.0,0.0,41.6,41.6,0.0,0.0
2016-01-10,40.65,40.65,0.0,0.0,40.9,40.9,0.0,0.0,40.35,40.35,0.0,0.0,40.77,40.77,0.0,0.0
2016-01-17,41.35,41.35,0.0,0.0,41.55,41.55,0.0,0.0,41.1,41.1,0.0,0.0,41.1,41.1,0.0,0.0
2016-01-24,42.77,42.77,0.0,0.0,43.18,43.18,0.0,0.0,42.74,42.74,0.0,0.0,43.15,43.15,0.0,0.0
2016-01-31,41.43,41.43,0.0,0.0,41.43,41.43,0.0,0.0,41.16,41.16,0.0,0.0,41.38,41.38,0.0,0.0
2016-02-07,40.86,40.86,0.0,0.0,41.06,41.06,0.0,0.0,40.78,40.78,0.0,0.0,41.06,41.06,0.0,0.0
2016-02-14,43.03,43.03,0.0,0.0,43.32,43.32,0.0,0.0,43.03,43.03,0.0,0.0,43.32,43.32,0.0,0.0
2016-02-21,42.59,42.59,0.0,0.0,42.92,42.92,0.0,0.0,42.59,42.59,0.0,0.0,42.65,42.65,0.0,0.0
2016-02-28,45.22,45.22,0.0,0.0,45.54,45.54,0.0,0.0,45.22,45.22,0.0,0.0,45.36,45.36,0.0,0.0
2016-03-06,45.86,45.86,0.0,0.0,46.04,46.04,0.0,0.0,45.78,45.78,0.0,0.0,46.04,46.04,0.0,0.0
2016-03-13,46.33,46.33,0.0,0.0,46.61,46.61,0.0,0.0,46.33,46.33,0.0,0.0,46.56,46.56,0.0,0.0
2016-03-20,45.8,45.8,0.0,0.0,45.99,45.99,0.0,0.0,45.8,45.8,0.0,0.0,45.88,45.88,0.0,0.0
2016-03-27,46.68,46.68,0.0,0.0,46.68,46.68,0.0,0.0,46.27,46.27,0.0,0.0,46.3,46.3,0.0,0.0
2016-04-03,46.9,46.9,0.0,0.0,46.93,46.93,0.0,0.0,46.64,46.64,0.0,0.0,46.64,46.64,0.0,0.0
2016-04-10,47.42,47.42,0.0,0.0,47.55,47.55,0.0,0.0,47.42,47.42,0.0,0.0,47.55,47.55,0.0,0.0
2016-04-17,47.53,47.53,0.0,0.0,47.63,47.63,0.0,0.0,47.44,47.44,0.0,0.0,47.51,47.51,0.0,0.0
2016-04-24,47.95,47.95,0.0,0.0,47.98,47.98,0.0,0.0,47.8,47.8,0.0,0.0,47.98,47.98,0.0,0.0
2016-05-01,46.51,46.51,0.0,0.0,46.51,46.51,0.0,0.0,46.26,46.26,0.0,0.0,46.37,46.37,0.0,0.0
2016-05-08,46.53,46.53,0.0,0.0,46.69,46.69,0.0,0.0,46.53,46.53,0.0,0.0,46.59,46.59,0.0,0.0
2016-05-15,46.1,46.1,0.0,0.0,46.1,46.1,0.0,0.0,45.92,45.92,0.0,0.0,46.0,46.0,0.0,0.0
