Date,ProShares Ultra Dow30_etf_Open_average,ProShares Ultra Dow30_etf_Open_max,ProShares Ultra Dow30_etf_Open_min,ProShares Ultra Dow30_etf_Open_volatility,ProShares Ultra Dow30_etf_Open_change,ProShares Ultra Dow30_etf_High_average,ProShares Ultra Dow30_etf_High_max,ProShares Ultra Dow30_etf_High_min,ProShares Ultra Dow30_etf_High_volatility,ProShares Ultra Dow30_etf_High_change,ProShares Ultra Dow30_etf_Low_average,ProShares Ultra Dow30_etf_Low_max,ProShares Ultra Dow30_etf_Low_min,ProShares Ultra Dow30_etf_Low_volatility,ProShares Ultra Dow30_etf_Low_change,ProShares Ultra Dow30_etf_Close_average,ProShares Ultra Dow30_etf_Close_max,ProShares Ultra Dow30_etf_Close_min,ProShares Ultra Dow30_etf_Close_volatility,ProShares Ultra Dow30_etf_Close_change
2018-01-14,48.64,48.64,48.64,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-01-21,50.23,50.23,50.23,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-01-28,48.35,48.35,48.35,0.0,0.0,48.47,48.47,48.47,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2018-02-04,41.55,41.55,41.55,0.0,0.0,42.46,42.46,42.46,0.0,0.0,38.99,38.99,38.99,0.0,0.0,41.82,41.82,41.82,0.0,0.0
2018-02-11,45.21,45.21,45.21,0.0,0.0,46.24,46.24,46.24,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.46,45.46,45.46,0.0,0.0
2018-02-18,45.09,45.09,45.09,0.0,0.0,45.85,45.85,45.85,0.0,0.0,44.75,44.75,44.75,0.0,0.0,45.85,45.85,45.85,0.0,0.0
2018-02-25,42.33,42.33,42.33,0.0,0.0,43.21,43.21,43.21,0.0,0.0,41.92,41.92,41.92,0.0,0.0,43.03,43.03,43.03,0.0,0.0
2018-03-04,44.94,44.94,44.94,0.0,0.0,45.9,45.9,45.9,0.0,0.0,44.75,44.75,44.75,0.0,0.0,45.9,45.9,45.9,0.0,0.0
2018-03-11,44.31,44.31,44.31,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.42,44.42,44.42,0.0,0.0
2018-03-18,41.12,41.12,41.12,0.0,0.0,41.39,41.39,41.39,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.46,39.46,39.46,0.0,0.0
2018-03-25,40.9,40.9,40.9,0.0,0.0,42.0,42.0,42.0,0.0,0.0,40.7,40.7,40.7,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2018-04-01,41.72,41.72,41.72,0.0,0.0,42.39,42.39,42.39,0.0,0.0,39.97,39.97,39.97,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2018-04-08,43.18,43.18,43.18,0.0,0.0,43.18,43.18,43.18,0.0,0.0,41.69,41.69,41.69,0.0,0.0,42.09,42.09,42.09,0.0,0.0
