Date,MTZ_Open_average,MTZ_Open_max,MTZ_Open_min,MTZ_Open_volatility,MTZ_Open_change,MTZ_High_average,MTZ_High_max,MTZ_High_min,MTZ_High_volatility,MTZ_High_change,MTZ_Low_average,MTZ_Low_max,MTZ_Low_min,MTZ_Low_volatility,MTZ_Low_change,MTZ_Close_average,MTZ_Close_max,MTZ_Close_min,MTZ_Close_volatility,MTZ_Close_change,MTZ_Volume_average,MTZ_Volume_max,MTZ_Volume_min,MTZ_Volume_volatility,MTZ_Volume_change
2018-01-14,52.5,53.4,51.45,1.9499999999999957,0.29999999999999716,53.196,54.25,52.05,2.200000000000003,0.8500000000000014,51.646,52.98,50.8,2.1799999999999997,1.8799999999999955,52.449999999999996,53.85,51.15,2.700000000000003,2.700000000000003,781263,907570,649982,257588,-257588
2018-01-21,53.43,53.85,53.1,0.75,-0.75,53.95,54.6,53.6,1.0,0.6499999999999986,52.524,53.05,51.9,1.1499999999999986,-0.0799999999999983,53.19,53.9,52.75,1.1499999999999986,0.6499999999999986,663802,890804,497349,393455,393455
2018-01-28,53.54,54.25,52.8,1.4500000000000028,-0.3500000000000014,54.554,55.52,53.75,1.7700000000000031,-0.25,52.57,53.25,50.8,2.450000000000003,-1.6500000000000057,53.21,54.75,50.9,3.8500000000000014,-2.75,881311,1117643,766108,351535,-73484
2018-02-04,50.63,52.1,49.15,2.950000000000003,-0.6000000000000014,51.658,52.9,50.1,2.799999999999997,-2.4499999999999957,49.116,51.7,47.58,4.1200000000000045,-0.8999999999999986,50.45,52.25,49.0,3.25,-2.6499999999999986,1030575,1215529,549777,665752,-62540
2018-02-11,49.625,50.45,48.3,2.1500000000000057,0.9500000000000028,50.55,51.35,50.0,1.3500000000000014,1.2000000000000028,49.09,50.2,48.16,2.0400000000000063,1.5,50.0625,51.0,48.75,2.25,2.25,709114,848266,583107,265159,-125332
2018-02-18,51.6,53.0,50.5,2.5,1.9500000000000028,52.594,53.7,51.65,2.0500000000000043,1.25,50.97,52.05,50.15,1.8999999999999986,1.3500000000000014,51.8,52.75,50.25,2.5,2.5,976183,1442078,526924,915154,407090
2018-02-25,50.58,52.75,48.8,3.950000000000003,-3.950000000000003,51.44,53.45,49.65,3.8000000000000043,-3.3500000000000014,49.5,51.15,48.3,2.8500000000000014,-2.3500000000000014,50.17,51.45,49.25,2.200000000000003,-1.8500000000000014,1741152,2564297,862645,1701652,-918561
2018-03-04,50.66,51.65,49.15,2.5,1.8499999999999943,51.376,52.2,50.0,2.200000000000003,2.200000000000003,50.17,51.4,48.75,2.6499999999999986,2.6499999999999986,51.06,51.8,49.75,2.049999999999997,2.049999999999997,752788,974546,513735,460811,-340453
2018-03-11,50.86,52.2,49.25,2.950000000000003,-2.25,51.384,52.77,50.15,2.6200000000000045,-2.6200000000000045,49.836,51.65,49.05,2.6000000000000014,-2.6000000000000014,50.33,51.9,49.25,2.6499999999999986,-2.1499999999999986,1108318,1717203,510171,1207032,597645
2018-03-18,48.129999999999995,49.9,45.8,4.100000000000001,-4.100000000000001,48.97,50.3,46.6,3.6999999999999957,-3.299999999999997,46.654,48.2,44.72,3.480000000000004,-3.480000000000004,47.3,49.45,45.2,4.25,-1.7999999999999972,1095281,1508477,638047,870430,523918
