Date,MARK_Open_average,MARK_Open_max,MARK_Open_min,MARK_Open_volatility,MARK_Open_change,MARK_High_average,MARK_High_max,MARK_High_min,MARK_High_volatility,MARK_High_change,MARK_Low_average,MARK_Low_max,MARK_Low_min,MARK_Low_volatility,MARK_Low_change,MARK_Close_average,MARK_Close_max,MARK_Close_min,MARK_Close_volatility,MARK_Close_change,MARK_Volume_average,MARK_Volume_max,MARK_Volume_min,MARK_Volume_volatility,MARK_Volume_change
2018-01-14,13.4025,13.87,13.0,0.8699999999999992,0.17999999999999972,13.92925,14.447000000000001,13.34,1.107000000000001,0.05000000000000071,12.647,12.8,12.38,0.41999999999999993,0.14500000000000135,13.2525,13.99,12.92,1.0700000000000003,0.17999999999999972,1476208,1833336,1017511,815825,256254
2018-01-21,12.284,12.84,11.77,1.0700000000000003,-0.7400000000000002,12.6972,13.377,12.28,1.0970000000000013,-0.8780000000000001,11.7244,12.26,11.252,1.0079999999999991,-0.629999999999999,12.018,12.41,11.71,0.6999999999999993,-0.6999999999999993,1238102,1988191,874522,1113669,-346840
2018-01-28,10.066,11.56,9.31,2.25,-2.25,10.2664,11.66,9.6,2.0600000000000005,-2.0600000000000005,9.1602,10.57,8.42,2.1500000000000004,-1.67,9.442,10.6,8.74,1.8599999999999994,-1.2799999999999994,2516257,4134333,1347954,2786379,496543
2018-02-04,7.688,9.69,6.03,3.6599999999999993,-3.6599999999999993,8.3402,10.49,6.9510000000000005,3.5389999999999997,-3.33,6.538,9.11,5.5,3.6099999999999994,-3.209999999999999,7.192,9.25,6.19,3.0599999999999996,-2.24,4317978,11525804,1873041,9652763,184800
2018-02-11,7.754,8.62,7.11,1.509999999999999,0.4899999999999993,8.4388,8.805,7.7989999999999995,1.0060000000000002,-0.5410000000000004,7.442,7.81,7.11,0.6999999999999993,0.14999999999999947,7.86,8.48,7.34,1.1400000000000006,-0.45999999999999996,1538121,2311607,612802,1698805,-1698805
2018-02-18,6.8475,7.22,6.56,0.6600000000000001,-0.6600000000000001,7.2425,7.48,6.95,0.5300000000000002,-0.5300000000000002,6.5375,6.72,6.34,0.3799999999999999,0.16000000000000014,6.7625,6.9,6.63,0.27000000000000046,0.05999999999999961,1002240,1173588,787506,386082,-3487
2018-02-25,7.008,7.45,6.55,0.9000000000000004,-0.21999999999999975,7.474,7.64,7.38,0.2599999999999998,-0.020000000000000462,6.7466,6.932,6.55,0.38200000000000056,-0.1900000000000004,7.212,7.48,6.91,0.5700000000000003,-0.0600000000000005,772202,1004900,490053,514847,-295255
2018-03-04,8.152,9.18,7.42,1.7599999999999998,1.7599999999999998,8.694,9.35,7.9,1.4499999999999993,1.4499999999999993,7.9042,8.631,7.29,1.3410000000000002,1.3410000000000002,8.39,8.98,7.58,1.4000000000000004,1.2799999999999994,835794,1036242,574507,461735,23312
2018-03-11,8.982,9.45,8.38,1.0699999999999985,-0.47999999999999865,9.3018,9.699,8.64,1.0589999999999993,-1.0589999999999993,8.452,8.86,7.88,0.9799999999999995,-0.8399999999999999,8.892,9.4,8.41,0.9900000000000002,-0.7900000000000009,737297,1212944,336080,876864,-591916
2018-03-18,8.186,8.55,7.36,1.1900000000000004,-1.1900000000000004,8.382,8.74,7.82,0.9199999999999999,-0.7699999999999996,7.7982000000000005,8.24,7.28,0.96,-0.7410000000000005,7.973999999999999,8.53,7.35,1.1799999999999997,-1.089999999999999,520786,884798,333025,551773,41130
