Date,ProShares S&P 500 ex Energy_Open_average,ProShares S&P 500 ex Energy_Open_max,ProShares S&P 500 ex Energy_Open_min,ProShares S&P 500 ex Energy_Open_volatility,ProShares S&P 500 ex Energy_Open_change,ProShares S&P 500 ex Energy_High_average,ProShares S&P 500 ex Energy_High_max,ProShares S&P 500 ex Energy_High_min,ProShares S&P 500 ex Energy_High_volatility,ProShares S&P 500 ex Energy_High_change,ProShares S&P 500 ex Energy_Low_average,ProShares S&P 500 ex Energy_Low_max,ProShares S&P 500 ex Energy_Low_min,ProShares S&P 500 ex Energy_Low_volatility,ProShares S&P 500 ex Energy_Low_change,ProShares S&P 500 ex Energy_Close_average,ProShares S&P 500 ex Energy_Close_max,ProShares S&P 500 ex Energy_Close_min,ProShares S&P 500 ex Energy_Close_volatility,ProShares S&P 500 ex Energy_Close_change
2018-01-14,58.78,58.78,58.78,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.79,58.79,58.79,0.0,0.0
2018-01-21,59.3,59.3,59.3,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.14,59.14,59.14,0.0,0.0,59.16,59.16,59.16,0.0,0.0
2018-01-28,58.87,58.87,58.87,0.0,0.0,58.87,58.87,58.87,0.0,0.0,58.87,58.87,58.87,0.0,0.0,58.87,58.87,58.87,0.0,0.0
2018-02-04,55.66,55.66,55.66,0.0,0.0,55.66,55.66,55.66,0.0,0.0,55.6,55.6,55.6,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2018-02-11,57.05,57.05,57.05,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.05,57.05,57.05,0.0,0.0,57.22,57.22,57.22,0.0,0.0
2018-02-18,58.16,58.16,58.16,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.16,58.16,58.16,0.0,0.0
2018-02-25,56.48,56.48,56.48,0.0,0.0,56.48,56.48,56.48,0.0,0.0,56.48,56.48,56.48,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2018-03-04,58.48,58.48,58.48,0.0,0.0,58.48,58.48,58.48,0.0,0.0,58.48,58.48,58.48,0.0,0.0,58.48,58.48,58.48,0.0,0.0
2018-03-11,57.5,57.5,57.5,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.5,57.5,57.5,0.0,0.0
2018-03-18,57.13,57.13,57.13,0.0,0.0,57.13,57.13,57.13,0.0,0.0,57.13,57.13,57.13,0.0,0.0,57.13,57.13,57.13,0.0,0.0
