Date,SPDR Solactive Germany_Open_average,SPDR Solactive Germany_Open_max,SPDR Solactive Germany_Open_min,SPDR Solactive Germany_Open_volatility,SPDR Solactive Germany_Open_change,SPDR Solactive Germany_High_average,SPDR Solactive Germany_High_max,SPDR Solactive Germany_High_min,SPDR Solactive Germany_High_volatility,SPDR Solactive Germany_High_change,SPDR Solactive Germany_Low_average,SPDR Solactive Germany_Low_max,SPDR Solactive Germany_Low_min,SPDR Solactive Germany_Low_volatility,SPDR Solactive Germany_Low_change,SPDR Solactive Germany_Close_average,SPDR Solactive Germany_Close_max,SPDR Solactive Germany_Close_min,SPDR Solactive Germany_Close_volatility,SPDR Solactive Germany_Close_change
2018-01-14,69.69,69.69,69.69,0.0,0.0,70.07,70.07,70.07,0.0,0.0,69.59,69.59,69.59,0.0,0.0,70.07,70.07,70.07,0.0,0.0
2018-01-21,69.39,69.39,69.39,0.0,0.0,69.45,69.45,69.45,0.0,0.0,69.29,69.29,69.29,0.0,0.0,69.29,69.29,69.29,0.0,0.0
2018-01-28,66.56,66.56,66.56,0.0,0.0,66.77,66.77,66.77,0.0,0.0,63.99,63.99,63.99,0.0,0.0,65.04,65.04,65.04,0.0,0.0
2018-02-04,62.36,62.36,62.36,0.0,0.0,62.36,62.36,62.36,0.0,0.0,62.36,62.36,62.36,0.0,0.0,62.36,62.36,62.36,0.0,0.0
2018-02-11,66.32,66.32,66.32,0.0,0.0,66.4,66.4,66.4,0.0,0.0,66.32,66.32,66.32,0.0,0.0,66.4,66.4,66.4,0.0,0.0
2018-02-18,65.83,65.83,65.83,0.0,0.0,65.86,65.86,65.86,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.86,65.86,65.86,0.0,0.0
2018-02-25,63.42,63.42,63.42,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.42,63.42,63.42,0.0,0.0,63.45,63.45,63.45,0.0,0.0
2018-03-04,65.38,65.38,65.38,0.0,0.0,65.42,65.42,65.42,0.0,0.0,65.31,65.31,65.31,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2018-03-11,64.77,64.77,64.77,0.0,0.0,64.82,64.82,64.82,0.0,0.0,64.76,64.76,64.76,0.0,0.0,64.76,64.76,64.76,0.0,0.0
2018-03-18,63.02,63.02,63.02,0.0,0.0,63.58,63.58,63.58,0.0,0.0,63.02,63.02,63.02,0.0,0.0,63.58,63.58,63.58,0.0,0.0
