Date,PowerShares Nasdaq Internet_Open_average,PowerShares Nasdaq Internet_Open_max,PowerShares Nasdaq Internet_Open_min,PowerShares Nasdaq Internet_Open_volatility,PowerShares Nasdaq Internet_Open_change,PowerShares Nasdaq Internet_High_average,PowerShares Nasdaq Internet_High_max,PowerShares Nasdaq Internet_High_min,PowerShares Nasdaq Internet_High_volatility,PowerShares Nasdaq Internet_High_change,PowerShares Nasdaq Internet_Low_average,PowerShares Nasdaq Internet_Low_max,PowerShares Nasdaq Internet_Low_min,PowerShares Nasdaq Internet_Low_volatility,PowerShares Nasdaq Internet_Low_change,PowerShares Nasdaq Internet_Close_average,PowerShares Nasdaq Internet_Close_max,PowerShares Nasdaq Internet_Close_min,PowerShares Nasdaq Internet_Close_volatility,PowerShares Nasdaq Internet_Close_change
2018-01-14,124.31,124.31,124.31,0.0,0.0,124.37,124.37,124.37,0.0,0.0,123.68,123.68,123.68,0.0,0.0,124.18,124.18,124.18,0.0,0.0
2018-01-21,130.05,130.05,130.05,0.0,0.0,131.34,131.34,131.34,0.0,0.0,129.43,129.43,129.43,0.0,0.0,131.34,131.34,131.34,0.0,0.0
2018-01-28,129.02,129.02,129.02,0.0,0.0,130.38,130.38,130.38,0.0,0.0,127.93,127.93,127.93,0.0,0.0,127.97,127.97,127.97,0.0,0.0
2018-02-04,121.0,121.0,121.0,0.0,0.0,122.25,122.25,122.25,0.0,0.0,116.59,116.59,116.59,0.0,0.0,121.05,121.05,121.05,0.0,0.0
2018-02-11,129.98,129.98,129.98,0.0,0.0,130.1,130.1,130.1,0.0,0.0,128.82,128.82,128.82,0.0,0.0,129.23,129.23,129.23,0.0,0.0
2018-02-18,130.78,130.78,130.78,0.0,0.0,132.11,132.11,132.11,0.0,0.0,130.22,130.22,130.22,0.0,0.0,132.07,132.07,132.07,0.0,0.0
2018-02-25,127.68,127.68,127.68,0.0,0.0,131.71,131.71,131.71,0.0,0.0,127.19,127.19,127.19,0.0,0.0,131.55,131.55,131.55,0.0,0.0
2018-03-04,139.16,139.16,139.16,0.0,0.0,139.81,139.81,139.81,0.0,0.0,138.47,138.47,138.47,0.0,0.0,139.81,139.81,139.81,0.0,0.0
2018-03-11,140.42,140.42,140.42,0.0,0.0,140.42,140.42,140.42,0.0,0.0,138.6,138.6,138.6,0.0,0.0,138.84,138.84,138.84,0.0,0.0
2018-03-18,131.9,131.9,131.9,0.0,0.0,132.56,132.56,132.56,0.0,0.0,128.88,128.88,128.88,0.0,0.0,128.94,128.94,128.94,0.0,0.0
2018-03-25,125.53,125.53,125.53,0.0,0.0,128.5,128.5,128.5,0.0,0.0,124.72,124.72,124.72,0.0,0.0,127.82,127.82,127.82,0.0,0.0
2018-04-01,126.25,126.25,126.25,0.0,0.0,127.09,127.09,127.09,0.0,0.0,123.78,123.78,123.78,0.0,0.0,124.48,124.48,124.48,0.0,0.0
2018-04-08,129.05,129.05,129.05,0.0,0.0,129.05,129.05,129.05,0.0,0.0,126.28,126.28,126.28,0.0,0.0,126.91,126.91,126.91,0.0,0.0
2018-04-15,132.3,132.3,132.3,0.0,0.0,132.3,132.3,132.3,0.0,0.0,130.17,130.17,130.17,0.0,0.0,130.65,130.65,130.65,0.0,0.0
2018-04-22,131.1,131.1,131.1,0.0,0.0,131.11,131.11,131.11,0.0,0.0,128.05,128.05,128.05,0.0,0.0,128.91,128.91,128.91,0.0,0.0
2018-04-29,127.69,127.69,127.69,0.0,0.0,130.11,130.11,130.11,0.0,0.0,127.33,127.33,127.33,0.0,0.0,130.09,130.09,130.09,0.0,0.0
2018-05-06,133.82,133.82,133.82,0.0,0.0,134.11,134.11,134.11,0.0,0.0,133.0,133.0,133.0,0.0,0.0,133.63,133.63,133.63,0.0,0.0
2018-05-13,131.72,131.72,131.72,0.0,0.0,132.17,132.17,132.17,0.0,0.0,131.62,131.62,131.62,0.0,0.0,131.66,131.66,131.66,0.0,0.0
2018-05-20,133.29,133.29,133.29,0.0,0.0,134.25,134.25,134.25,0.0,0.0,133.29,133.29,133.29,0.0,0.0,133.82,133.82,133.82,0.0,0.0
2018-05-27,135.72,135.72,135.72,0.0,0.0,137.68,137.68,137.68,0.0,0.0,135.72,135.72,135.72,0.0,0.0,137.47,137.47,137.47,0.0,0.0
2018-06-03,139.27,139.27,139.27,0.0,0.0,140.84,140.84,140.84,0.0,0.0,139.09,139.09,139.09,0.0,0.0,140.83,140.83,140.83,0.0,0.0
2018-06-10,145.62,145.62,145.62,0.0,0.0,146.02,146.02,146.02,0.0,0.0,144.61,144.61,144.61,0.0,0.0,145.86,145.86,145.86,0.0,0.0
