Date,SPDR Russell 1000 Yield Focus_Open_average,SPDR Russell 1000 Yield Focus_Open_max,SPDR Russell 1000 Yield Focus_Open_min,SPDR Russell 1000 Yield Focus_Open_volatility,SPDR Russell 1000 Yield Focus_Open_change,SPDR Russell 1000 Yield Focus_High_average,SPDR Russell 1000 Yield Focus_High_max,SPDR Russell 1000 Yield Focus_High_min,SPDR Russell 1000 Yield Focus_High_volatility,SPDR Russell 1000 Yield Focus_High_change,SPDR Russell 1000 Yield Focus_Low_average,SPDR Russell 1000 Yield Focus_Low_max,SPDR Russell 1000 Yield Focus_Low_min,SPDR Russell 1000 Yield Focus_Low_volatility,SPDR Russell 1000 Yield Focus_Low_change,SPDR Russell 1000 Yield Focus_Close_average,SPDR Russell 1000 Yield Focus_Close_max,SPDR Russell 1000 Yield Focus_Close_min,SPDR Russell 1000 Yield Focus_Close_volatility,SPDR Russell 1000 Yield Focus_Close_change
2018-01-14,72.2,72.2,72.2,0.0,0.0,72.46,72.46,72.46,0.0,0.0,72.2,72.2,72.2,0.0,0.0,72.39,72.39,72.39,0.0,0.0
2018-01-21,72.94,72.94,72.94,0.0,0.0,72.94,72.94,72.94,0.0,0.0,72.72,72.72,72.72,0.0,0.0,72.75,72.75,72.75,0.0,0.0
2018-01-28,69.7,69.7,69.7,0.0,0.0,69.96,69.96,69.96,0.0,0.0,69.19,69.19,69.19,0.0,0.0,69.19,69.19,69.19,0.0,0.0
2018-02-04,68.21,68.21,68.21,0.0,0.0,68.21,68.21,68.21,0.0,0.0,67.88,67.88,67.88,0.0,0.0,67.94,67.94,67.94,0.0,0.0
2018-02-11,69.68,69.68,69.68,0.0,0.0,69.95,69.95,69.95,0.0,0.0,69.68,69.68,69.68,0.0,0.0,69.95,69.95,69.95,0.0,0.0
2018-02-18,70.02,70.02,70.02,0.0,0.0,70.02,70.02,70.02,0.0,0.0,69.9,69.9,69.9,0.0,0.0,69.9,69.9,69.9,0.0,0.0
2018-02-25,69.02,69.02,69.02,0.0,0.0,69.23,69.23,69.23,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.0,69.0,69.0,0.0,0.0
2018-03-04,70.03,70.03,70.03,0.0,0.0,70.03,70.03,70.03,0.0,0.0,69.97,69.97,69.97,0.0,0.0,70.01,70.01,70.01,0.0,0.0
2018-03-11,69.28,69.28,69.28,0.0,0.0,69.28,69.28,69.28,0.0,0.0,68.54,68.54,68.54,0.0,0.0,68.54,68.54,68.54,0.0,0.0
2018-03-18,67.03,67.03,67.03,0.0,0.0,67.08,67.08,67.08,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.08,67.08,67.08,0.0,0.0
2018-03-25,67.63,67.63,67.63,0.0,0.0,67.7,67.7,67.7,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.7,67.7,67.7,0.0,0.0
2018-04-01,68.07,68.07,68.07,0.0,0.0,68.17,68.17,68.17,0.0,0.0,67.93,67.93,67.93,0.0,0.0,67.99,67.99,67.99,0.0,0.0
