Date,FCFS_Open_average,FCFS_Open_max,FCFS_Open_min,FCFS_Open_volatility,FCFS_Open_change,FCFS_High_average,FCFS_High_max,FCFS_High_min,FCFS_High_volatility,FCFS_High_change,FCFS_Low_average,FCFS_Low_max,FCFS_Low_min,FCFS_Low_volatility,FCFS_Low_change,FCFS_Close_average,FCFS_Close_max,FCFS_Close_min,FCFS_Close_volatility,FCFS_Close_change,FCFS_Volume_average,FCFS_Volume_max,FCFS_Volume_min,FCFS_Volume_volatility,FCFS_Volume_change
2018-01-14,70.82000000000001,71.4,70.15,1.25,0.75,71.37,71.65,71.2,0.45000000000000284,0.30000000000001137,70.364,70.75,70.15,0.5999999999999943,0.5999999999999943,70.98,71.65,70.4,1.25,1.0,157501,214737,105167,109570,-109570
2018-01-21,72.35,73.2,71.35,1.8500000000000085,1.5500000000000114,72.81,73.3,71.95,1.3499999999999943,1.3499999999999943,71.73,72.3,71.25,1.0499999999999972,1.0,72.39,73.1,71.7,1.3999999999999915,0.3999999999999915,181616,256906,110102,146804,88459
2018-01-28,73.71,75.25,72.2,3.049999999999997,1.3499999999999943,74.62,75.35,73.45,1.8999999999999915,1.5,71.884,73.05,68.65,4.3999999999999915,0.6200000000000045,73.43,74.25,72.7,1.5499999999999972,-0.45000000000000284,388587,637848,176825,461023,139750
2018-02-04,72.7,73.75,71.3,2.450000000000003,2.049999999999997,73.854,74.1,73.67,0.4299999999999926,0.37999999999999545,71.498,72.75,70.6,2.1500000000000057,1.9000000000000057,72.81,73.55,70.8,2.75,0.0,279036,393855,228031,165824,-8961
2018-02-11,72.3,72.65,71.75,0.9000000000000057,-0.10000000000000853,73.2075,73.7,72.6,1.1000000000000085,-0.20000000000000284,71.95,72.2,71.55,0.6500000000000057,-0.25,72.325,72.6,72.15,0.44999999999998863,-0.09999999999999432,285158,367260,242505,124755,-22933
2018-02-18,73.98,75.95,71.75,4.200000000000003,4.200000000000003,75.19,76.2,72.95,3.25,3.25,73.67,75.2,71.6,3.6000000000000085,3.6000000000000085,74.59,75.95,72.75,3.200000000000003,2.700000000000003,237362,315207,172266,142941,-30189
2018-02-25,74.26,75.6,72.55,3.049999999999997,-1.25,75.4,76.15,74.2,1.9500000000000028,-0.30000000000001137,73.46,74.9,72.3,2.6000000000000085,-0.8500000000000085,74.35000000000001,75.45,73.05,2.4000000000000057,0.5499999999999972,225803,281895,178191,103704,32089
2018-03-04,77.41,78.8,75.8,3.0,3.0,78.62,80.55,76.95,3.5999999999999943,3.5999999999999943,76.82,78.35,75.25,3.0999999999999943,3.0999999999999943,78.31,80.35,76.95,3.3999999999999915,3.3999999999999915,232918,325909,204058,121851,-120813
2018-03-11,80.94,81.8,80.5,1.2999999999999972,1.2999999999999972,81.53,82.1,81.1,1.0,1.0,80.44,81.1,79.95,1.1499999999999915,1.1499999999999915,81.13,81.95,80.45,1.5,1.1000000000000085,340211,539862,167504,372358,-47572
2018-03-18,81.57,82.1,80.7,1.3999999999999915,-1.25,82.46000000000001,83.9,81.4,2.5,-0.5500000000000114,80.87,82.1,79.75,2.3499999999999943,-1.2000000000000028,81.4,82.55,79.75,2.799999999999997,-0.6999999999999886,266358,316724,240233,76491,-18709
