Date,JPMorgan Global Bond Opportunities ETF_Open_average,JPMorgan Global Bond Opportunities ETF_Open_max,JPMorgan Global Bond Opportunities ETF_Open_min,JPMorgan Global Bond Opportunities ETF_Open_volatility,JPMorgan Global Bond Opportunities ETF_Open_change,JPMorgan Global Bond Opportunities ETF_High_average,JPMorgan Global Bond Opportunities ETF_High_max,JPMorgan Global Bond Opportunities ETF_High_min,JPMorgan Global Bond Opportunities ETF_High_volatility,JPMorgan Global Bond Opportunities ETF_High_change,JPMorgan Global Bond Opportunities ETF_Low_average,JPMorgan Global Bond Opportunities ETF_Low_max,JPMorgan Global Bond Opportunities ETF_Low_min,JPMorgan Global Bond Opportunities ETF_Low_volatility,JPMorgan Global Bond Opportunities ETF_Low_change,JPMorgan Global Bond Opportunities ETF_Close_average,JPMorgan Global Bond Opportunities ETF_Close_max,JPMorgan Global Bond Opportunities ETF_Close_min,JPMorgan Global Bond Opportunities ETF_Close_volatility,JPMorgan Global Bond Opportunities ETF_Close_change
2018-01-14,51.49,51.49,51.49,0.0,0.0,51.52,51.52,51.52,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2018-01-21,51.34,51.34,51.34,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.36,51.36,51.36,0.0,0.0
2018-01-28,51.06,51.06,51.06,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-02-04,50.62,50.62,50.62,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2018-02-11,50.77,50.77,50.77,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2018-02-18,50.58,50.58,50.58,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2018-02-25,50.55,50.55,50.55,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.58,50.58,50.58,0.0,0.0
2018-03-04,50.58,50.58,50.58,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.6,50.6,50.6,0.0,0.0
2018-03-11,50.54,50.54,50.54,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.55,50.55,50.55,0.0,0.0
2018-03-18,50.4,50.4,50.4,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.55,50.55,50.55,0.0,0.0
2018-03-25,50.46,50.46,50.46,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2018-04-01,50.54,50.54,50.54,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2018-04-08,50.49,50.49,50.49,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2018-04-15,50.45,50.45,50.45,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.4,50.4,50.4,0.0,0.0
2018-04-22,50.35,50.35,50.35,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.41,50.41,50.41,0.0,0.0
