Date,First Trust Technology AlphaDEX_Open_average,First Trust Technology AlphaDEX_Open_max,First Trust Technology AlphaDEX_Open_min,First Trust Technology AlphaDEX_Open_volatility,First Trust Technology AlphaDEX_Open_change,First Trust Technology AlphaDEX_High_average,First Trust Technology AlphaDEX_High_max,First Trust Technology AlphaDEX_High_min,First Trust Technology AlphaDEX_High_volatility,First Trust Technology AlphaDEX_High_change,First Trust Technology AlphaDEX_Low_average,First Trust Technology AlphaDEX_Low_max,First Trust Technology AlphaDEX_Low_min,First Trust Technology AlphaDEX_Low_volatility,First Trust Technology AlphaDEX_Low_change,First Trust Technology AlphaDEX_Close_average,First Trust Technology AlphaDEX_Close_max,First Trust Technology AlphaDEX_Close_min,First Trust Technology AlphaDEX_Close_volatility,First Trust Technology AlphaDEX_Close_change
2018-01-14,56.06,56.06,56.06,0.0,0.0,56.18,56.18,56.18,0.0,0.0,55.69,55.69,55.69,0.0,0.0,56.18,56.18,56.18,0.0,0.0
2018-01-21,56.3,56.3,56.3,0.0,0.0,56.45,56.45,56.45,0.0,0.0,55.85,55.85,55.85,0.0,0.0,56.03,56.03,56.03,0.0,0.0
2018-01-28,53.86,53.86,53.86,0.0,0.0,54.7,54.7,54.7,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.26,52.26,52.26,0.0,0.0
2018-02-04,52.18,52.18,52.18,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.06,52.06,52.06,0.0,0.0,52.77,52.77,52.77,0.0,0.0
2018-02-11,54.75,54.75,54.75,0.0,0.0,55.14,55.14,55.14,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.61,54.61,54.61,0.0,0.0
2018-02-18,55.76,55.76,55.76,0.0,0.0,56.23,56.23,56.23,0.0,0.0,55.67,55.67,55.67,0.0,0.0,56.22,56.22,56.22,0.0,0.0
2018-02-25,55.71,55.71,55.71,0.0,0.0,56.63,56.63,56.63,0.0,0.0,55.56,55.56,55.56,0.0,0.0,56.49,56.49,56.49,0.0,0.0
2018-03-04,59.18,59.18,59.18,0.0,0.0,59.49,59.49,59.49,0.0,0.0,58.99,58.99,58.99,0.0,0.0,59.34,59.34,59.34,0.0,0.0
2018-03-11,58.12,58.12,58.12,0.0,0.0,58.31,58.31,58.31,0.0,0.0,57.08,57.08,57.08,0.0,0.0,57.68,57.68,57.68,0.0,0.0
2018-03-18,56.02,56.02,56.02,0.0,0.0,56.73,56.73,56.73,0.0,0.0,55.4,55.4,55.4,0.0,0.0,56.71,56.71,56.71,0.0,0.0
2018-03-25,54.69,54.69,54.69,0.0,0.0,54.95,54.95,54.95,0.0,0.0,52.96,52.96,52.96,0.0,0.0,53.44,53.44,53.44,0.0,0.0
