Date,Guggenheim S&P 500 Equal Weight Real Estate_Open_average,Guggenheim S&P 500 Equal Weight Real Estate_Open_max,Guggenheim S&P 500 Equal Weight Real Estate_Open_min,Guggenheim S&P 500 Equal Weight Real Estate_Open_volatility,Guggenheim S&P 500 Equal Weight Real Estate_Open_change,Guggenheim S&P 500 Equal Weight Real Estate_High_average,Guggenheim S&P 500 Equal Weight Real Estate_High_max,Guggenheim S&P 500 Equal Weight Real Estate_High_min,Guggenheim S&P 500 Equal Weight Real Estate_High_volatility,Guggenheim S&P 500 Equal Weight Real Estate_High_change,Guggenheim S&P 500 Equal Weight Real Estate_Low_average,Guggenheim S&P 500 Equal Weight Real Estate_Low_max,Guggenheim S&P 500 Equal Weight Real Estate_Low_min,Guggenheim S&P 500 Equal Weight Real Estate_Low_volatility,Guggenheim S&P 500 Equal Weight Real Estate_Low_change,Guggenheim S&P 500 Equal Weight Real Estate_Close_average,Guggenheim S&P 500 Equal Weight Real Estate_Close_max,Guggenheim S&P 500 Equal Weight Real Estate_Close_min,Guggenheim S&P 500 Equal Weight Real Estate_Close_volatility,Guggenheim S&P 500 Equal Weight Real Estate_Close_change
2018-01-14,26.29,26.29,26.29,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2018-01-21,26.61,26.61,26.61,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2018-01-28,25.94,25.94,25.94,0.0,0.0,26.14,26.14,26.14,0.0,0.0,23.75,23.75,23.75,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2018-02-04,24.55,24.55,24.55,0.0,0.0,25.13,25.13,25.13,0.0,0.0,24.55,24.55,24.55,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-02-11,25.43,25.43,25.43,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-02-18,25.57,25.57,25.57,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2018-02-25,24.86,24.86,24.86,0.0,0.0,25.36,25.36,25.36,0.0,0.0,24.86,24.86,24.86,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2018-03-04,25.72,25.72,25.72,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-03-11,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2018-03-18,25.1,25.1,25.1,0.0,0.0,25.17,25.17,25.17,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.17,25.17,25.17,0.0,0.0
