Date,PureFunds ISE Junior SilverEtf_Open_average,PureFunds ISE Junior SilverEtf_Open_max,PureFunds ISE Junior SilverEtf_Open_min,PureFunds ISE Junior SilverEtf_Open_volatility,PureFunds ISE Junior SilverEtf_Open_change,PureFunds ISE Junior SilverEtf_High_average,PureFunds ISE Junior SilverEtf_High_max,PureFunds ISE Junior SilverEtf_High_min,PureFunds ISE Junior SilverEtf_High_volatility,PureFunds ISE Junior SilverEtf_High_change,PureFunds ISE Junior SilverEtf_Low_average,PureFunds ISE Junior SilverEtf_Low_max,PureFunds ISE Junior SilverEtf_Low_min,PureFunds ISE Junior SilverEtf_Low_volatility,PureFunds ISE Junior SilverEtf_Low_change,PureFunds ISE Junior SilverEtf_Close_average,PureFunds ISE Junior SilverEtf_Close_max,PureFunds ISE Junior SilverEtf_Close_min,PureFunds ISE Junior SilverEtf_Close_volatility,PureFunds ISE Junior SilverEtf_Close_change
2018-01-14,11.82,11.82,11.82,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.83,11.83,11.83,0.0,0.0
2018-01-21,12.02,12.02,12.02,0.0,0.0,12.05,12.05,12.05,0.0,0.0,11.84,11.84,11.84,0.0,0.0,11.9,11.9,11.9,0.0,0.0
2018-01-28,11.17,11.17,11.17,0.0,0.0,11.27,11.27,11.27,0.0,0.0,10.82,10.82,10.82,0.0,0.0,10.82,10.82,10.82,0.0,0.0
2018-02-04,10.5,10.5,10.5,0.0,0.0,10.53,10.53,10.53,0.0,0.0,9.89,9.89,9.89,0.0,0.0,10.22,10.22,10.22,0.0,0.0
2018-02-11,11.42,11.42,11.42,0.0,0.0,11.42,11.42,11.42,0.0,0.0,11.04,11.04,11.04,0.0,0.0,11.1,11.1,11.1,0.0,0.0
2018-02-18,10.6,10.6,10.6,0.0,0.0,10.76,10.76,10.76,0.0,0.0,10.6,10.6,10.6,0.0,0.0,10.72,10.72,10.72,0.0,0.0
2018-02-25,10.73,10.73,10.73,0.0,0.0,10.87,10.87,10.87,0.0,0.0,10.61,10.61,10.61,0.0,0.0,10.61,10.61,10.61,0.0,0.0
2018-03-04,10.68,10.68,10.68,0.0,0.0,10.86,10.86,10.86,0.0,0.0,10.67,10.67,10.67,0.0,0.0,10.83,10.83,10.83,0.0,0.0
2018-03-11,10.61,10.61,10.61,0.0,0.0,10.67,10.67,10.67,0.0,0.0,10.51,10.51,10.51,0.0,0.0,10.65,10.65,10.65,0.0,0.0
2018-03-18,10.87,10.87,10.87,0.0,0.0,10.95,10.95,10.95,0.0,0.0,10.83,10.83,10.83,0.0,0.0,10.86,10.86,10.86,0.0,0.0
