Date,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Open_average,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Open_max,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Open_min,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Open_volatility,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Open_change,iShares iBonds Dec 2021 AMT Free MunicipalEtf_High_average,iShares iBonds Dec 2021 AMT Free MunicipalEtf_High_max,iShares iBonds Dec 2021 AMT Free MunicipalEtf_High_min,iShares iBonds Dec 2021 AMT Free MunicipalEtf_High_volatility,iShares iBonds Dec 2021 AMT Free MunicipalEtf_High_change,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Low_average,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Low_max,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Low_min,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Low_volatility,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Low_change,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Close_average,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Close_max,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Close_min,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Close_volatility,iShares iBonds Dec 2021 AMT Free MunicipalEtf_Close_change
2018-01-14,25.47,25.47,25.47,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.48,25.48,25.48,0.0,0.0
2018-01-21,25.52,25.52,25.52,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-01-28,25.45,25.45,25.45,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2018-02-04,25.43,25.43,25.43,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2018-02-11,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2018-02-18,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2018-02-25,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-03-04,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2018-03-11,25.41,25.41,25.41,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2018-03-18,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.36,25.36,25.36,0.0,0.0
