Date,Direxion Daily Total Bond Market Bear 1X Shares_Open_average,Direxion Daily Total Bond Market Bear 1X Shares_Open_max,Direxion Daily Total Bond Market Bear 1X Shares_Open_min,Direxion Daily Total Bond Market Bear 1X Shares_Open_volatility,Direxion Daily Total Bond Market Bear 1X Shares_Open_change,Direxion Daily Total Bond Market Bear 1X Shares_High_average,Direxion Daily Total Bond Market Bear 1X Shares_High_max,Direxion Daily Total Bond Market Bear 1X Shares_High_min,Direxion Daily Total Bond Market Bear 1X Shares_High_volatility,Direxion Daily Total Bond Market Bear 1X Shares_High_change,Direxion Daily Total Bond Market Bear 1X Shares_Low_average,Direxion Daily Total Bond Market Bear 1X Shares_Low_max,Direxion Daily Total Bond Market Bear 1X Shares_Low_min,Direxion Daily Total Bond Market Bear 1X Shares_Low_volatility,Direxion Daily Total Bond Market Bear 1X Shares_Low_change,Direxion Daily Total Bond Market Bear 1X Shares_Close_average,Direxion Daily Total Bond Market Bear 1X Shares_Close_max,Direxion Daily Total Bond Market Bear 1X Shares_Close_min,Direxion Daily Total Bond Market Bear 1X Shares_Close_volatility,Direxion Daily Total Bond Market Bear 1X Shares_Close_change
2018-01-14,31.46,31.46,31.46,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2018-01-21,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2018-01-28,31.71,31.71,31.71,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2018-02-04,31.98,31.98,31.98,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-02-11,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2018-02-18,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2018-02-25,31.98,31.98,31.98,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-03-04,31.96,31.96,31.96,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2018-03-11,31.92,31.92,31.92,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-03-18,31.84,31.84,31.84,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-03-25,31.51,31.51,31.51,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2018-04-01,31.72,31.72,31.72,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.75,31.75,31.75,0.0,0.0
