Date,iShares North American Tech_Open_average,iShares North American Tech_Open_max,iShares North American Tech_Open_min,iShares North American Tech_Open_volatility,iShares North American Tech_Open_change,iShares North American Tech_High_average,iShares North American Tech_High_max,iShares North American Tech_High_min,iShares North American Tech_High_volatility,iShares North American Tech_High_change,iShares North American Tech_Low_average,iShares North American Tech_Low_max,iShares North American Tech_Low_min,iShares North American Tech_Low_volatility,iShares North American Tech_Low_change,iShares North American Tech_Close_average,iShares North American Tech_Close_max,iShares North American Tech_Close_min,iShares North American Tech_Close_volatility,iShares North American Tech_Close_change
2018-01-14,180.93,180.93,180.93,0.0,0.0,182.72,182.72,182.72,0.0,0.0,180.84,180.84,180.84,0.0,0.0,182.72,182.72,182.72,0.0,0.0
2018-01-21,185.94,185.94,185.94,0.0,0.0,186.24,186.24,186.24,0.0,0.0,184.77,184.77,184.77,0.0,0.0,185.23,185.23,185.23,0.0,0.0
2018-01-28,177.97,177.97,177.97,0.0,0.0,181.35,181.35,181.35,0.0,0.0,172.65,172.65,172.65,0.0,0.0,172.98,172.98,172.98,0.0,0.0
2018-02-04,173.26,173.26,173.26,0.0,0.0,175.53,175.53,175.53,0.0,0.0,172.0,172.0,172.0,0.0,0.0,174.75,174.75,174.75,0.0,0.0
2018-02-11,181.81,181.81,181.81,0.0,0.0,183.7,183.7,183.7,0.0,0.0,181.69,181.69,181.69,0.0,0.0,182.02,182.02,182.02,0.0,0.0
2018-02-18,186.39,186.39,186.39,0.0,0.0,188.05,188.05,188.05,0.0,0.0,186.39,186.39,186.39,0.0,0.0,188.03,188.03,188.03,0.0,0.0
2018-02-25,184.08,184.08,184.08,0.0,0.0,187.51,187.51,187.51,0.0,0.0,183.51,183.51,183.51,0.0,0.0,186.95,186.95,186.95,0.0,0.0
2018-03-04,194.22,194.22,194.22,0.0,0.0,194.8,194.8,194.8,0.0,0.0,193.5,193.5,193.5,0.0,0.0,194.15,194.15,194.15,0.0,0.0
2018-03-11,190.08,190.08,190.08,0.0,0.0,190.08,190.08,190.08,0.0,0.0,186.4,186.4,186.4,0.0,0.0,188.09,188.09,188.09,0.0,0.0
2018-03-18,181.39,181.39,181.39,0.0,0.0,184.71,184.71,184.71,0.0,0.0,178.98,178.98,178.98,0.0,0.0,184.56,184.56,184.56,0.0,0.0
2018-03-25,178.23,178.23,178.23,0.0,0.0,178.32,178.32,178.32,0.0,0.0,172.6,172.6,172.6,0.0,0.0,174.34,174.34,174.34,0.0,0.0
2018-04-01,176.55,176.55,176.55,0.0,0.0,179.68,179.68,179.68,0.0,0.0,176.05,176.05,176.05,0.0,0.0,176.06,176.06,176.06,0.0,0.0
2018-04-08,182.44,182.44,182.44,0.0,0.0,183.14,183.14,183.14,0.0,0.0,181.21,181.21,181.21,0.0,0.0,182.42,182.42,182.42,0.0,0.0
2018-04-15,183.58,183.58,183.58,0.0,0.0,183.99,183.99,183.99,0.0,0.0,181.35,181.35,181.35,0.0,0.0,181.86,181.86,181.86,0.0,0.0
