Date,USAA MSCI USA Small Cap Value Momentum Blend_Open_average,USAA MSCI USA Small Cap Value Momentum Blend_Open_max,USAA MSCI USA Small Cap Value Momentum Blend_Open_min,USAA MSCI USA Small Cap Value Momentum Blend_Open_volatility,USAA MSCI USA Small Cap Value Momentum Blend_Open_change,USAA MSCI USA Small Cap Value Momentum Blend_High_average,USAA MSCI USA Small Cap Value Momentum Blend_High_max,USAA MSCI USA Small Cap Value Momentum Blend_High_min,USAA MSCI USA Small Cap Value Momentum Blend_High_volatility,USAA MSCI USA Small Cap Value Momentum Blend_High_change,USAA MSCI USA Small Cap Value Momentum Blend_Low_average,USAA MSCI USA Small Cap Value Momentum Blend_Low_max,USAA MSCI USA Small Cap Value Momentum Blend_Low_min,USAA MSCI USA Small Cap Value Momentum Blend_Low_volatility,USAA MSCI USA Small Cap Value Momentum Blend_Low_change,USAA MSCI USA Small Cap Value Momentum Blend_Close_average,USAA MSCI USA Small Cap Value Momentum Blend_Close_max,USAA MSCI USA Small Cap Value Momentum Blend_Close_min,USAA MSCI USA Small Cap Value Momentum Blend_Close_volatility,USAA MSCI USA Small Cap Value Momentum Blend_Close_change
2018-01-14,52.69,52.69,52.69,0.0,0.0,52.71,52.71,52.71,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2018-01-21,52.72,52.72,52.72,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.43,52.43,52.43,0.0,0.0
2018-01-28,50.47,50.47,50.47,0.0,0.0,50.48,50.48,50.48,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2018-02-04,48.36,48.36,48.36,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2018-02-11,50.25,50.25,50.25,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2018-02-18,50.61,50.61,50.61,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-02-25,49.64,49.64,49.64,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.49,49.49,49.49,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-03-04,51.85,51.85,51.85,0.0,0.0,52.12,52.12,52.12,0.0,0.0,51.85,51.85,51.85,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2018-03-11,51.64,51.64,51.64,0.0,0.0,51.64,51.64,51.64,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2018-03-18,50.13,50.13,50.13,0.0,0.0,50.62,50.62,50.62,0.0,0.0,49.71,49.71,49.71,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2018-03-25,50.31,50.31,50.31,0.0,0.0,50.33,50.33,50.33,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-04-01,50.41,50.41,50.41,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-04-08,51.7,51.7,51.7,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.58,51.58,51.58,0.0,0.0
2018-04-15,51.7,51.7,51.7,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.44,51.44,51.44,0.0,0.0
2018-04-22,51.25,51.25,51.25,0.0,0.0,51.25,51.25,51.25,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2018-04-29,51.69,51.69,51.69,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.77,51.77,51.77,0.0,0.0
2018-05-06,52.76,52.76,52.76,0.0,0.0,52.78,52.78,52.78,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-05-13,53.56,53.56,53.56,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.75,53.75,53.75,0.0,0.0
2018-05-20,53.4,53.4,53.4,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2018-05-27,54.39,54.39,54.39,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.44,54.44,54.44,0.0,0.0
2018-06-03,55.07,55.07,55.07,0.0,0.0,55.1,55.1,55.1,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.99,54.99,54.99,0.0,0.0
2018-06-10,54.77,54.77,54.77,0.0,0.0,55.18,55.18,55.18,0.0,0.0,54.77,54.77,54.77,0.0,0.0,55.17,55.17,55.17,0.0,0.0
2018-06-17,55.29,55.29,55.29,0.0,0.0,55.29,55.29,55.29,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.25,54.25,54.25,0.0,0.0
2018-06-24,53.86,53.86,53.86,0.0,0.0,54.33,54.33,54.33,0.0,0.0,53.83,53.83,53.83,0.0,0.0,54.33,54.33,54.33,0.0,0.0
2018-07-01,55.76,55.76,55.76,0.0,0.0,55.76,55.76,55.76,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.72,55.72,55.72,0.0,0.0
2018-07-08,55.19,55.19,55.19,0.0,0.0,55.19,55.19,55.19,0.0,0.0,54.93,54.93,54.93,0.0,0.0,54.93,54.93,54.93,0.0,0.0
2018-07-15,55.31,55.31,55.31,0.0,0.0,55.6,55.6,55.6,0.0,0.0,55.31,55.31,55.31,0.0,0.0,55.54,55.54,55.54,0.0,0.0
2018-07-22,54.79,54.79,54.79,0.0,0.0,54.79,54.79,54.79,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.49,54.49,54.49,0.0,0.0
2018-07-29,55.67,55.67,55.67,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.63,55.63,55.63,0.0,0.0,55.84,55.84,55.84,0.0,0.0
2018-08-05,55.92,55.92,55.92,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.5,55.5,55.5,0.0,0.0
2018-08-12,56.32,56.32,56.32,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.21,56.21,56.21,0.0,0.0,56.37,56.37,56.37,0.0,0.0
2018-08-19,57.25,57.25,57.25,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.07,57.07,57.07,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2018-08-26,56.86,56.86,56.86,0.0,0.0,57.0,57.0,57.0,0.0,0.0,56.86,56.86,56.86,0.0,0.0,56.99,56.99,56.99,0.0,0.0
2018-09-02,56.45,56.45,56.45,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.17,56.17,56.17,0.0,0.0,56.28,56.28,56.28,0.0,0.0
2018-09-09,56.55,56.55,56.55,0.0,0.0,56.55,56.55,56.55,0.0,0.0,55.76,55.76,55.76,0.0,0.0,55.82,55.82,55.82,0.0,0.0
2018-09-16,55.82,55.82,55.82,0.0,0.0,55.82,55.82,55.82,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.56,55.56,55.56,0.0,0.0
2018-09-23,55.93,55.93,55.93,0.0,0.0,55.93,55.93,55.93,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.99,54.99,54.99,0.0,0.0
2018-09-30,53.6,53.6,53.6,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2018-10-07,51.35,51.35,51.35,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.73,51.73,51.73,0.0,0.0
2018-10-14,51.56,51.56,51.56,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2018-10-21,50.59,50.59,50.59,0.0,0.0,50.59,50.59,50.59,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2018-10-28,52.01,52.01,52.01,0.0,0.0,52.08,52.08,52.08,0.0,0.0,51.76,51.76,51.76,0.0,0.0,52.08,52.08,52.08,0.0,0.0
2018-11-04,51.96,51.96,51.96,0.0,0.0,51.96,51.96,51.96,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.39,51.39,51.39,0.0,0.0
2018-11-11,50.75,50.75,50.75,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2018-11-18,50.5,50.5,50.5,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2018-11-25,51.6,51.6,51.6,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-12-02,49.08,49.08,49.08,0.0,0.0,49.08,49.08,49.08,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-12-09,47.45,47.45,47.45,0.0,0.0,47.46,47.46,47.46,0.0,0.0,46.2,46.2,46.2,0.0,0.0,46.2,46.2,46.2,0.0,0.0
2018-12-16,43.43,43.43,43.43,0.0,0.0,43.45,43.45,43.45,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.68,42.68,42.68,0.0,0.0
2018-12-23,45.25,45.25,45.25,0.0,0.0,45.39,45.39,45.39,0.0,0.0,44.99,44.99,44.99,0.0,0.0,45.39,45.39,45.39,0.0,0.0
2018-12-30,46.3,46.3,46.3,0.0,0.0,47.05,47.05,47.05,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.91,46.91,46.91,0.0,0.0
2019-01-06,48.11,48.11,48.11,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.93,47.93,47.93,0.0,0.0
2019-01-13,49.3,49.3,49.3,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2019-01-20,49.3,49.3,49.3,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2019-01-27,50.2,50.2,50.2,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2019-02-03,50.48,50.48,50.48,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.82,50.82,50.82,0.0,0.0
2019-02-10,52.02,52.02,52.02,0.0,0.0,52.26,52.26,52.26,0.0,0.0,51.78,51.78,51.78,0.0,0.0,52.22,52.22,52.22,0.0,0.0
2019-02-17,52.97,52.97,52.97,0.0,0.0,53.05,53.05,53.05,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2019-02-24,52.59,52.59,52.59,0.0,0.0,52.59,52.59,52.59,0.0,0.0,51.82,51.82,51.82,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2019-03-03,50.8,50.8,50.8,0.0,0.0,51.29,51.29,51.29,0.0,0.0,50.79,50.79,50.79,0.0,0.0,51.29,51.29,51.29,0.0,0.0
2019-03-10,51.41,51.41,51.41,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.65,51.65,51.65,0.0,0.0
2019-03-17,50.34,50.34,50.34,0.0,0.0,50.55,50.55,50.55,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2019-03-24,51.29,51.29,51.29,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.25,51.25,51.25,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2019-03-31,51.97,51.97,51.97,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.83,51.83,51.83,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2019-04-07,52.28,52.28,52.28,0.0,0.0,52.28,52.28,52.28,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2019-04-14,51.32,51.32,51.32,0.0,0.0,51.32,51.32,51.32,0.0,0.0,50.93,50.93,50.93,0.0,0.0,51.11,51.11,51.11,0.0,0.0
