Date,SPDR S&P 500 High Dividend_Open_average,SPDR S&P 500 High Dividend_Open_max,SPDR S&P 500 High Dividend_Open_volatility,SPDR S&P 500 High Dividend_Open_change,SPDR S&P 500 High Dividend_High_average,SPDR S&P 500 High Dividend_High_max,SPDR S&P 500 High Dividend_High_volatility,SPDR S&P 500 High Dividend_High_change,SPDR S&P 500 High Dividend_Low_average,SPDR S&P 500 High Dividend_Low_max,SPDR S&P 500 High Dividend_Low_volatility,SPDR S&P 500 High Dividend_Low_change,SPDR S&P 500 High Dividend_Close_average,SPDR S&P 500 High Dividend_Close_max,SPDR S&P 500 High Dividend_Close_volatility,SPDR S&P 500 High Dividend_Close_change
2016-01-03,28.29,28.29,0.0,0.0,28.29,28.29,0.0,0.0,27.93,27.93,0.0,0.0,28.07,28.07,0.0,0.0
2016-01-10,29.28,29.28,0.0,0.0,29.28,29.28,0.0,0.0,27.4,27.4,0.0,0.0,27.65,27.65,0.0,0.0
2016-01-17,27.88,27.88,0.0,0.0,27.99,27.99,0.0,0.0,27.66,27.66,0.0,0.0,27.66,27.66,0.0,0.0
2016-01-24,28.87,28.87,0.0,0.0,28.87,28.87,0.0,0.0,28.68,28.68,0.0,0.0,28.84,28.84,0.0,0.0
2016-01-31,28.63,28.63,0.0,0.0,28.63,28.63,0.0,0.0,28.33,28.33,0.0,0.0,28.59,28.59,0.0,0.0
2016-02-07,28.17,28.17,0.0,0.0,28.17,28.17,0.0,0.0,27.94,27.94,0.0,0.0,28.01,28.01,0.0,0.0
2016-02-14,29.48,29.48,0.0,0.0,29.63,29.63,0.0,0.0,29.44,29.44,0.0,0.0,29.63,29.63,0.0,0.0
2016-02-21,30.16,30.16,0.0,0.0,30.16,30.16,0.0,0.0,29.77,29.77,0.0,0.0,29.82,29.82,0.0,0.0
2016-02-28,31.24,31.24,0.0,0.0,31.82,31.82,0.0,0.0,31.24,31.24,0.0,0.0,31.59,31.59,0.0,0.0
2016-03-06,31.75,31.75,0.0,0.0,31.76,31.76,0.0,0.0,31.57,31.57,0.0,0.0,31.76,31.76,0.0,0.0
2016-03-13,32.3,32.3,0.0,0.0,32.3,32.3,0.0,0.0,31.87,31.87,0.0,0.0,32.06,32.06,0.0,0.0
2016-03-20,31.89,31.89,0.0,0.0,31.89,31.89,0.0,0.0,31.5,31.5,0.0,0.0,31.78,31.78,0.0,0.0
2016-03-27,32.25,32.25,0.0,0.0,32.25,32.25,0.0,0.0,31.93,31.93,0.0,0.0,31.93,31.93,0.0,0.0
2016-04-03,31.83,31.83,0.0,0.0,32.02,32.02,0.0,0.0,31.77,31.77,0.0,0.0,31.86,31.86,0.0,0.0
2016-04-10,32.27,32.27,0.0,0.0,32.45,32.45,0.0,0.0,32.0,32.0,0.0,0.0,32.33,32.33,0.0,0.0
2016-04-17,32.48,32.48,0.0,0.0,32.48,32.48,0.0,0.0,32.07,32.07,0.0,0.0,32.34,32.34,0.0,0.0
2016-04-24,32.85,32.85,0.0,0.0,32.85,32.85,0.0,0.0,32.55,32.55,0.0,0.0,32.73,32.73,0.0,0.0
2016-05-01,32.38,32.38,0.0,0.0,32.38,32.38,0.0,0.0,32.2,32.2,0.0,0.0,32.34,32.34,0.0,0.0
2016-05-08,32.18,32.18,0.0,0.0,32.39,32.39,0.0,0.0,32.18,32.18,0.0,0.0,32.33,32.33,0.0,0.0
2016-05-15,31.8,31.8,0.0,0.0,31.83,31.83,0.0,0.0,31.69,31.69,0.0,0.0,31.69,31.69,0.0,0.0
2016-05-22,32.25,32.25,0.0,0.0,32.51,32.51,0.0,0.0,32.25,32.25,0.0,0.0,32.5,32.5,0.0,0.0
2016-05-29,33.13,33.13,0.0,0.0,33.33,33.33,0.0,0.0,33.1,33.1,0.0,0.0,33.29,33.29,0.0,0.0
2016-06-05,33.09,33.09,0.0,0.0,33.2,33.2,0.0,0.0,32.92,32.92,0.0,0.0,32.93,32.93,0.0,0.0
2016-06-12,33.43,33.43,0.0,0.0,33.43,33.43,0.0,0.0,33.05,33.05,0.0,0.0,33.09,33.09,0.0,0.0
2016-06-19,32.25,32.25,0.0,0.0,32.6,32.6,0.0,0.0,31.75,31.75,0.0,0.0,31.88,31.88,0.0,0.0
2016-06-26,33.55,33.55,0.0,0.0,33.87,33.87,0.0,0.0,33.34,33.34,0.0,0.0,33.65,33.65,0.0,0.0
