Date,SPDR S&P 500 Growth_Open_average,SPDR S&P 500 Growth_Open_max,SPDR S&P 500 Growth_Open_min,SPDR S&P 500 Growth_Open_volatility,SPDR S&P 500 Growth_Open_change,SPDR S&P 500 Growth_High_average,SPDR S&P 500 Growth_High_max,SPDR S&P 500 Growth_High_min,SPDR S&P 500 Growth_High_volatility,SPDR S&P 500 Growth_High_change,SPDR S&P 500 Growth_Low_average,SPDR S&P 500 Growth_Low_max,SPDR S&P 500 Growth_Low_min,SPDR S&P 500 Growth_Low_volatility,SPDR S&P 500 Growth_Low_change,SPDR S&P 500 Growth_Close_average,SPDR S&P 500 Growth_Close_max,SPDR S&P 500 Growth_Close_min,SPDR S&P 500 Growth_Close_volatility,SPDR S&P 500 Growth_Close_change
2018-01-14,34.97,34.97,34.97,0.0,0.0,35.25,35.25,35.25,0.0,0.0,34.93,34.93,34.93,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2018-01-21,35.8,35.8,35.8,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2018-01-28,34.15,34.15,34.15,0.0,0.0,34.7,34.7,34.7,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-02-04,33.18,33.18,33.18,0.0,0.0,33.61,33.61,33.61,0.0,0.0,32.93,32.93,32.93,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-02-11,34.44,34.44,34.44,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2018-02-18,35.07,35.07,35.07,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-02-25,34.13,34.13,34.13,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-03-04,35.78,35.78,35.78,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2018-03-11,35.04,35.04,35.04,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2018-03-18,33.55,33.55,33.55,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-03-25,33.39,33.39,33.39,0.0,0.0,33.45,33.45,33.45,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-04-01,33.18,33.18,33.18,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-04-08,33.92,33.92,33.92,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2018-04-15,34.02,34.02,34.02,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2018-04-22,33.88,33.88,33.88,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-04-29,34.25,34.25,34.25,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.32,34.32,34.32,0.0,0.0
2018-05-06,35.18,35.18,35.18,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2018-05-13,35.05,35.05,35.05,0.0,0.0,35.16,35.16,35.16,0.0,0.0,34.94,34.94,34.94,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2018-05-20,35.1,35.1,35.1,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2018-05-27,35.61,35.61,35.61,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-06-03,36.05,36.05,36.05,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.07,36.07,36.07,0.0,0.0
2018-06-10,35.94,35.94,35.94,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2018-06-17,35.56,35.56,35.56,0.0,0.0,35.56,35.56,35.56,0.0,0.0,34.84,34.84,34.84,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2018-06-24,34.9,34.9,34.9,0.0,0.0,35.34,35.34,35.34,0.0,0.0,34.84,34.84,34.84,0.0,0.0,35.33,35.33,35.33,0.0,0.0
2018-07-01,35.97,35.97,35.97,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2018-07-08,36.59,36.59,36.59,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.41,36.41,36.41,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2018-07-15,36.56,36.56,36.56,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2018-07-22,36.55,36.55,36.55,0.0,0.0,36.55,36.55,36.55,0.0,0.0,35.97,35.97,35.97,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2018-07-29,36.89,36.89,36.89,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.8,36.8,36.8,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2018-08-05,36.96,36.96,36.96,0.0,0.0,37.13,37.13,37.13,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-08-12,37.14,37.14,37.14,0.0,0.0,37.14,37.14,37.14,0.0,0.0,36.97,36.97,36.97,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-08-19,37.69,37.69,37.69,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.81,37.81,37.81,0.0,0.0
2018-08-26,38.02,38.02,38.02,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.97,37.97,37.97,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2018-09-02,37.66,37.66,37.66,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.58,37.58,37.58,0.0,0.0
2018-09-09,38.03,38.03,38.03,0.0,0.0,38.03,38.03,38.03,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.68,37.68,37.68,0.0,0.0
2018-09-16,37.91,37.91,37.91,0.0,0.0,38.06,38.06,38.06,0.0,0.0,37.76,37.76,37.76,0.0,0.0,38.05,38.05,38.05,0.0,0.0
2018-09-23,38.45,38.45,38.45,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2018-09-30,37.36,37.36,37.36,0.0,0.0,37.52,37.52,37.52,0.0,0.0,36.92,36.92,36.92,0.0,0.0,37.3,37.3,37.3,0.0,0.0
2018-10-07,35.94,35.94,35.94,0.0,0.0,36.02,36.02,36.02,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-10-14,35.97,35.97,35.97,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.86,35.86,35.86,0.0,0.0
2018-10-21,35.02,35.02,35.02,0.0,0.0,35.18,35.18,35.18,0.0,0.0,33.48,33.48,33.48,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2018-10-28,35.27,35.27,35.27,0.0,0.0,35.35,35.35,35.35,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2018-11-04,35.81,35.81,35.81,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.08,35.08,35.08,0.0,0.0
