Date,ARZTY_Open_average,ARZTY_Open_max,ARZTY_Open_min,ARZTY_Open_volatility,ARZTY_Open_change,ARZTY_High_average,ARZTY_High_max,ARZTY_High_min,ARZTY_High_volatility,ARZTY_High_change,ARZTY_Low_average,ARZTY_Low_max,ARZTY_Low_min,ARZTY_Low_volatility,ARZTY_Low_change,ARZTY_Close_average,ARZTY_Close_max,ARZTY_Close_min,ARZTY_Close_volatility,ARZTY_Close_change,ARZTY_Volume_average,ARZTY_Volume_max,ARZTY_Volume_min,ARZTY_Volume_volatility,ARZTY_Volume_change
2018-01-14,19.47,19.73,19.1,0.629999999999999,0.40000000000000213,19.5,19.73,19.24,0.490000000000002,0.39000000000000057,19.416,19.62,19.1,0.5199999999999996,0.370000000000001,19.456,19.69,19.19,0.5,0.40000000000000213,5984,10381,0,10381,279
2018-01-21,16.868,19.95,14.2,5.75,-5.34,17.008,19.95,14.44,5.51,-5.389999999999999,16.716,19.89,13.98,5.91,-5.489999999999998,16.87,19.89,14.23,5.66,-5.559999999999999,7163,10783,3225,7558,2725
2018-01-28,13.584,14.0,13.39,0.6099999999999994,-0.129999999999999,13.642,14.0,13.39,0.6099999999999994,-0.129999999999999,13.384,13.72,12.92,0.8000000000000007,-0.3699999999999992,13.454,13.85,13.06,0.7899999999999991,-0.22999999999999865,16288,67130,3206,63924,160
2018-02-04,12.376,12.83,11.9,0.9299999999999997,-0.8000000000000007,12.542,13.07,12.1,0.9700000000000006,-0.8399999999999999,12.299999999999999,12.79,11.78,1.0099999999999998,-0.7999999999999989,12.438,13.07,11.99,1.08,-0.9900000000000002,12668,21891,6400,15491,2438
2018-02-11,12.5725,12.95,12.06,0.8899999999999988,0.8899999999999988,12.6375,13.08,12.14,0.9399999999999995,0.9399999999999995,12.5075,12.87,12.01,0.8599999999999994,0.8599999999999994,12.5775,12.9,12.09,0.8100000000000005,0.8100000000000005,5037,7884,2193,5691,-2385
2018-02-18,12.693999999999999,12.78,12.6,0.17999999999999972,0.03999999999999915,12.752,12.89,12.63,0.2599999999999998,0.05000000000000071,12.642,12.74,12.54,0.20000000000000107,0.07000000000000028,12.658,12.76,12.57,0.1899999999999995,0.08000000000000007,6209,9613,2680,6933,-4108
2018-02-25,12.154,12.68,11.77,0.9100000000000001,-0.6199999999999992,12.182,12.68,11.81,0.8699999999999992,-0.5899999999999999,12.072,12.56,11.7,0.8600000000000012,-0.5300000000000011,12.116,12.56,11.78,0.7800000000000011,-0.47000000000000064,7450,13440,4714,8726,-391
2018-03-04,12.4,12.59,12.23,0.35999999999999943,-0.2400000000000002,12.436,12.63,12.29,0.34000000000000163,-0.21000000000000085,12.34,12.53,12.17,0.35999999999999943,-0.2599999999999998,12.379999999999999,12.54,12.27,0.2699999999999996,-0.16000000000000014,9885,27267,2900,24367,-7591
2018-03-11,11.734,12.0,11.51,0.4900000000000002,-0.07000000000000028,11.85,12.0,11.62,0.3800000000000008,-0.019999999999999574,11.634,11.81,11.49,0.3200000000000003,-0.14000000000000057,11.682,11.87,11.59,0.27999999999999936,-0.129999999999999,13778,50910,2058,48852,2755
2018-03-18,11.124,11.34,10.87,0.47000000000000064,-0.3100000000000005,11.142,11.34,10.89,0.4499999999999993,-0.3100000000000005,10.97,11.21,10.74,0.47000000000000064,-0.33000000000000007,11.004,11.25,10.74,0.5099999999999998,-0.3600000000000012,10398,16833,5222,11611,3316
