Date,Vanguard Small-Cap Growth_Open_average,Vanguard Small-Cap Growth_Open_max,Vanguard Small-Cap Growth_Open_min,Vanguard Small-Cap Growth_Open_volatility,Vanguard Small-Cap Growth_Open_change,Vanguard Small-Cap Growth_High_average,Vanguard Small-Cap Growth_High_max,Vanguard Small-Cap Growth_High_min,Vanguard Small-Cap Growth_High_volatility,Vanguard Small-Cap Growth_High_change,Vanguard Small-Cap Growth_Low_average,Vanguard Small-Cap Growth_Low_max,Vanguard Small-Cap Growth_Low_min,Vanguard Small-Cap Growth_Low_volatility,Vanguard Small-Cap Growth_Low_change,Vanguard Small-Cap Growth_Close_average,Vanguard Small-Cap Growth_Close_max,Vanguard Small-Cap Growth_Close_min,Vanguard Small-Cap Growth_Close_volatility,Vanguard Small-Cap Growth_Close_change
2018-01-14,167.91,167.91,167.91,0.0,0.0,169.17,169.17,169.17,0.0,0.0,167.81,167.81,167.81,0.0,0.0,169.17,169.17,169.17,0.0,0.0
2018-01-21,169.98,169.98,169.98,0.0,0.0,170.4,170.4,170.4,0.0,0.0,169.22,169.22,169.22,0.0,0.0,169.32,169.32,169.32,0.0,0.0
2018-01-28,162.95,162.95,162.95,0.0,0.0,164.74,164.74,164.74,0.0,0.0,158.61,158.61,158.61,0.0,0.0,158.62,158.62,158.62,0.0,0.0
2018-02-04,156.24,156.24,156.24,0.0,0.0,158.78,158.78,158.78,0.0,0.0,155.24,155.24,155.24,0.0,0.0,157.87,157.87,157.87,0.0,0.0
2018-02-11,163.24,163.24,163.24,0.0,0.0,164.98,164.98,164.98,0.0,0.0,163.24,163.24,163.24,0.0,0.0,163.93,163.93,163.93,0.0,0.0
2018-02-18,165.5,165.5,165.5,0.0,0.0,165.96,165.96,165.96,0.0,0.0,164.47,164.47,164.47,0.0,0.0,165.77,165.77,165.77,0.0,0.0
2018-02-25,162.87,162.87,162.87,0.0,0.0,165.72,165.72,165.72,0.0,0.0,162.76,162.76,162.76,0.0,0.0,165.24,165.24,165.24,0.0,0.0
2018-03-04,170.98,170.98,170.98,0.0,0.0,171.55,171.55,171.55,0.0,0.0,170.45,170.45,170.45,0.0,0.0,171.12,171.12,171.12,0.0,0.0
2018-03-11,168.78,168.78,168.78,0.0,0.0,168.78,168.78,168.78,0.0,0.0,165.89,165.89,165.89,0.0,0.0,167.44,167.44,167.44,0.0,0.0
2018-03-18,163.98,163.98,163.98,0.0,0.0,165.7,165.7,165.7,0.0,0.0,162.45,162.45,162.45,0.0,0.0,165.67,165.67,165.67,0.0,0.0
2018-03-25,163.49,163.49,163.49,0.0,0.0,163.95,163.95,163.95,0.0,0.0,158.64,158.64,158.64,0.0,0.0,159.86,159.86,159.86,0.0,0.0
2018-04-01,162.26,162.26,162.26,0.0,0.0,163.54,163.54,163.54,0.0,0.0,161.25,161.25,161.25,0.0,0.0,161.37,161.37,161.37,0.0,0.0
2018-04-08,166.0,166.0,166.0,0.0,0.0,166.86,166.86,166.86,0.0,0.0,165.28,165.28,165.28,0.0,0.0,166.46,166.46,166.46,0.0,0.0
2018-04-15,167.2,167.2,167.2,0.0,0.0,167.91,167.91,167.91,0.0,0.0,165.97,165.97,165.97,0.0,0.0,166.7,166.7,166.7,0.0,0.0
2018-04-22,165.87,165.87,165.87,0.0,0.0,166.51,166.51,166.51,0.0,0.0,164.37,164.37,164.37,0.0,0.0,164.37,164.37,164.37,0.0,0.0
2018-04-29,168.0,168.0,168.0,0.0,0.0,169.64,169.64,169.64,0.0,0.0,167.75,167.75,167.75,0.0,0.0,168.93,168.93,168.93,0.0,0.0
2018-05-06,172.74,172.74,172.74,0.0,0.0,173.32,173.32,173.32,0.0,0.0,171.44,171.44,171.44,0.0,0.0,171.82,171.82,171.82,0.0,0.0
