Date,Fidelity MSCI Information Technology_Open_average,Fidelity MSCI Information Technology_Open_max,Fidelity MSCI Information Technology_Open_min,Fidelity MSCI Information Technology_Open_volatility,Fidelity MSCI Information Technology_Open_change,Fidelity MSCI Information Technology_High_average,Fidelity MSCI Information Technology_High_max,Fidelity MSCI Information Technology_High_min,Fidelity MSCI Information Technology_High_volatility,Fidelity MSCI Information Technology_High_change,Fidelity MSCI Information Technology_Low_average,Fidelity MSCI Information Technology_Low_max,Fidelity MSCI Information Technology_Low_min,Fidelity MSCI Information Technology_Low_volatility,Fidelity MSCI Information Technology_Low_change,Fidelity MSCI Information Technology_Close_average,Fidelity MSCI Information Technology_Close_max,Fidelity MSCI Information Technology_Close_min,Fidelity MSCI Information Technology_Close_volatility,Fidelity MSCI Information Technology_Close_change
2018-01-14,53.4,53.4,53.4,0.0,0.0,53.85,53.85,53.85,0.0,0.0,53.27,53.27,53.27,0.0,0.0,53.85,53.85,53.85,0.0,0.0
2018-01-21,54.32,54.32,54.32,0.0,0.0,54.33,54.33,54.33,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.95,53.95,53.95,0.0,0.0
2018-01-28,51.62,51.62,51.62,0.0,0.0,52.61,52.61,52.61,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-02-04,50.45,50.45,50.45,0.0,0.0,51.13,51.13,51.13,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2018-02-11,52.87,52.87,52.87,0.0,0.0,53.43,53.43,53.43,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.89,52.89,52.89,0.0,0.0
2018-02-18,54.1,54.1,54.1,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2018-02-25,53.27,53.27,53.27,0.0,0.0,54.27,54.27,54.27,0.0,0.0,53.16,53.16,53.16,0.0,0.0,54.09,54.09,54.09,0.0,0.0
2018-03-04,56.1,56.1,56.1,0.0,0.0,56.32,56.32,56.32,0.0,0.0,55.91,55.91,55.91,0.0,0.0,56.12,56.12,56.12,0.0,0.0
2018-03-11,54.81,54.81,54.81,0.0,0.0,55.02,55.02,55.02,0.0,0.0,53.69,53.69,53.69,0.0,0.0,54.17,54.17,54.17,0.0,0.0
2018-03-18,52.18,52.18,52.18,0.0,0.0,53.12,53.12,53.12,0.0,0.0,51.47,51.47,51.47,0.0,0.0,53.09,53.09,53.09,0.0,0.0
2018-03-25,51.64,51.64,51.64,0.0,0.0,51.84,51.84,51.84,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2018-04-01,51.13,51.13,51.13,0.0,0.0,52.06,52.06,52.06,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2018-04-08,52.9,52.9,52.9,0.0,0.0,53.13,53.13,53.13,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.9,52.9,52.9,0.0,0.0
2018-04-15,52.74,52.74,52.74,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2018-04-22,52.24,52.24,52.24,0.0,0.0,52.59,52.59,52.59,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.88,51.88,51.88,0.0,0.0
2018-04-29,53.9,53.9,53.9,0.0,0.0,54.35,54.35,54.35,0.0,0.0,53.83,53.83,53.83,0.0,0.0,54.13,54.13,54.13,0.0,0.0
2018-05-06,55.78,55.78,55.78,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.52,55.52,55.52,0.0,0.0
2018-05-13,55.3,55.3,55.3,0.0,0.0,55.57,55.57,55.57,0.0,0.0,54.97,54.97,54.97,0.0,0.0,55.23,55.23,55.23,0.0,0.0
2018-05-20,55.46,55.46,55.46,0.0,0.0,55.66,55.66,55.66,0.0,0.0,55.33,55.33,55.33,0.0,0.0,55.47,55.47,55.47,0.0,0.0
2018-05-27,56.75,56.75,56.75,0.0,0.0,57.11,57.11,57.11,0.0,0.0,56.67,56.67,56.67,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2018-06-03,57.04,57.04,57.04,0.0,0.0,57.25,57.25,57.25,0.0,0.0,56.89,56.89,56.89,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2018-06-10,57.0,57.0,57.0,0.0,0.0,57.53,57.53,57.53,0.0,0.0,56.78,56.78,56.78,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2018-06-17,56.08,56.08,56.08,0.0,0.0,56.08,56.08,56.08,0.0,0.0,54.72,54.72,54.72,0.0,0.0,55.21,55.21,55.21,0.0,0.0
2018-06-24,54.84,54.84,54.84,0.0,0.0,55.84,55.84,55.84,0.0,0.0,54.64,54.64,54.64,0.0,0.0,55.84,55.84,55.84,0.0,0.0
2018-07-01,56.98,56.98,56.98,0.0,0.0,57.13,57.13,57.13,0.0,0.0,56.65,56.65,56.65,0.0,0.0,57.13,57.13,57.13,0.0,0.0
2018-07-08,57.94,57.94,57.94,0.0,0.0,58.04,58.04,58.04,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.73,57.73,57.73,0.0,0.0
2018-07-15,57.98,57.98,57.98,0.0,0.0,58.32,58.32,58.32,0.0,0.0,57.62,57.62,57.62,0.0,0.0,58.3,58.3,58.3,0.0,0.0
2018-07-22,57.27,57.27,57.27,0.0,0.0,57.42,57.42,57.42,0.0,0.0,55.82,55.82,55.82,0.0,0.0,56.19,56.19,56.19,0.0,0.0
2018-07-29,57.86,57.86,57.86,0.0,0.0,58.28,58.28,58.28,0.0,0.0,57.75,57.75,57.75,0.0,0.0,58.28,58.28,58.28,0.0,0.0
2018-08-05,58.37,58.37,58.37,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2018-08-12,58.37,58.37,58.37,0.0,0.0,58.37,58.37,58.37,0.0,0.0,57.87,57.87,57.87,0.0,0.0,58.17,58.17,58.17,0.0,0.0
2018-08-19,59.71,59.71,59.71,0.0,0.0,59.98,59.98,59.98,0.0,0.0,59.55,59.55,59.55,0.0,0.0,59.91,59.91,59.91,0.0,0.0
2018-08-26,60.43,60.43,60.43,0.0,0.0,60.72,60.72,60.72,0.0,0.0,60.39,60.39,60.39,0.0,0.0,60.56,60.56,60.56,0.0,0.0
2018-09-02,59.16,59.16,59.16,0.0,0.0,59.19,59.19,59.19,0.0,0.0,58.76,58.76,58.76,0.0,0.0,59.1,59.1,59.1,0.0,0.0
