Date,ENSGStock_Open_average,ENSGStock_Open_max,ENSGStock_Open_min,ENSGStock_Open_volatility,ENSGStock_Open_change,ENSGStock_High_average,ENSGStock_High_max,ENSGStock_High_min,ENSGStock_High_volatility,ENSGStock_High_change,ENSGStock_Low_average,ENSGStock_Low_max,ENSGStock_Low_min,ENSGStock_Low_volatility,ENSGStock_Low_change,ENSGStock_Close_average,ENSGStock_Close_max,ENSGStock_Close_min,ENSGStock_Close_volatility,ENSGStock_Close_change,ENSGStock_Volume_average,ENSGStock_Volume_max,ENSGStock_Volume_min,ENSGStock_Volume_volatility,ENSGStock_Volume_change
2018-01-14,23.6275,23.98,23.3,0.6799999999999997,-0.6799999999999997,24.0,24.27,23.58,0.6900000000000013,-0.370000000000001,23.35,23.61,23.17,0.4399999999999977,-0.4399999999999977,23.5875,23.89,23.35,0.5399999999999991,0.28000000000000114,159324,220526,114368,106158,-15559
2018-01-21,23.782,23.96,23.46,0.5,-0.3999999999999986,23.954,24.11,23.74,0.370000000000001,-0.33999999999999986,23.436,23.68,23.06,0.620000000000001,-0.620000000000001,23.594,24.02,23.12,0.8999999999999986,-0.8999999999999986,113610,150453,92223,58230,-18811
2018-01-28,22.864,23.09,22.68,0.41000000000000014,-0.41000000000000014,23.104,23.29,22.89,0.3999999999999986,-0.39000000000000057,22.564,23.01,22.22,0.7900000000000027,-0.6500000000000021,22.854,23.05,22.53,0.5199999999999996,-0.5199999999999996,169689,321929,62228,259701,52211
2018-02-04,23.058,24.44,21.96,2.4800000000000004,2.0700000000000003,23.948,25.79,22.84,2.9499999999999993,2.9499999999999993,22.48,23.52,21.67,1.8499999999999979,1.2300000000000004,23.58,25.41,22.31,3.1000000000000014,3.1000000000000014,396819,543432,250578,292854,258559
2018-02-11,25.718,25.97,25.48,0.48999999999999844,0.48999999999999844,26.184,26.64,25.96,0.6799999999999997,0.6500000000000021,25.387999999999998,25.97,24.71,1.259999999999998,1.259999999999998,25.904,26.53,25.53,1.0,0.7300000000000004,272051,315516,221261,94255,-3595
2018-02-18,27.075,27.66,26.57,1.0899999999999999,0.5599999999999987,27.47,27.8,27.03,0.7699999999999996,0.33999999999999986,26.6525,26.94,26.2,0.740000000000002,0.46000000000000085,27.1025,27.65,26.87,0.7799999999999976,-0.0799999999999983,217839,255221,167341,87880,-51218
2018-02-25,26.956,27.86,26.18,1.6799999999999997,-0.6700000000000017,27.61,28.17,26.99,1.1800000000000033,-0.39000000000000057,26.578,27.17,26.18,0.990000000000002,-0.46000000000000085,27.068,27.85,26.43,1.4200000000000017,-0.6799999999999997,311151,465746,159941,305805,305805
2018-03-04,27.216,27.8,26.69,1.1099999999999994,1.1099999999999994,27.708000000000002,28.41,27.1,1.3099999999999987,1.3099999999999987,27.01,27.55,26.65,0.9000000000000021,0.5600000000000023,27.516,28.38,26.78,1.5999999999999979,1.5999999999999979,213013,252639,151481,101158,-47086
2018-03-11,28.046,28.5,27.56,0.9400000000000013,-0.33999999999999986,28.552,29.24,28.36,0.879999999999999,-0.8499999999999979,27.682,27.89,27.31,0.5800000000000018,0.10000000000000142,27.938,28.17,27.46,0.7100000000000009,0.1700000000000017,421837,965132,199126,766006,737264
2018-03-18,27.928,28.1,27.76,0.33999999999999986,-0.2799999999999976,28.244,28.46,28.09,0.370000000000001,-0.120000000000001,27.573999999999998,27.83,27.02,0.8099999999999987,-0.5899999999999999,27.768,28.17,27.05,1.120000000000001,-1.120000000000001,190182,251440,99229,152211,62940
2018-03-25,27.009999999999998,27.38,26.59,0.7899999999999991,-0.5399999999999991,27.1,27.38,26.84,0.5399999999999991,-0.5399999999999991,26.2675,26.39,26.11,0.28000000000000114,-0.14999999999999858,26.677500000000002,27.12,26.3,0.8200000000000003,-0.8200000000000003,261826,334183,226108,108075,108075
2018-04-01,26.516,27.33,25.95,1.379999999999999,1.0299999999999976,27.01,27.64,26.47,1.1700000000000017,1.1500000000000021,26.246,26.77,25.8,0.9699999999999989,0.9699999999999989,26.724,27.54,25.88,1.6600000000000001,1.2100000000000009,218903,282903,154377,128526,-7972
2018-04-08,27.27,27.69,26.79,0.9000000000000021,0.4200000000000017,27.740000000000002,28.03,27.5,0.5300000000000011,-0.33999999999999986,26.98,27.22,26.76,0.4599999999999973,0.129999999999999,27.259999999999998,27.67,26.83,0.8400000000000034,0.4499999999999993,206713,326378,115567,210811,-199598
2018-04-15,28.094,28.39,27.69,0.6999999999999993,0.389999999999997,28.374,28.75,28.14,0.6099999999999994,0.120000000000001,27.894,28.15,27.3,0.8499999999999979,0.620000000000001,28.168,28.49,27.97,0.5199999999999996,0.05000000000000071,149172,209425,86516,122909,-43259
2018-04-22,27.976,28.2,27.6,0.5999999999999979,-0.5199999999999996,28.152,28.48,27.88,0.6000000000000014,-0.3100000000000023,27.644,27.88,27.47,0.41000000000000014,-0.2799999999999976,27.878,28.07,27.6,0.46999999999999886,-0.2699999999999996,123447,204793,83777,121016,7792
2018-04-29,28.908,32.0,27.88,4.120000000000001,4.050000000000001,29.902,32.77,28.14,4.630000000000003,4.630000000000003,28.652,31.61,27.25,4.359999999999999,3.879999999999999,29.71,32.33,27.87,4.459999999999997,4.459999999999997,324467,496516,163336,333180,278592
2018-05-06,33.012,33.35,32.42,0.9299999999999997,0.7800000000000011,33.558,33.81,33.31,0.5,0.05999999999999517,32.272,32.78,31.65,1.1300000000000026,0.35999999999999943,33.024,33.12,32.79,0.3299999999999983,-0.03999999999999915,272205,369087,188885,180202,-71902
2018-05-13,33.452,34.16,32.81,1.3499999999999943,0.9399999999999977,34.044,35.05,33.41,1.6400000000000006,1.5599999999999952,33.084,33.94,32.57,1.3699999999999974,1.1299999999999955,33.71,34.74,32.89,1.8500000000000014,1.8500000000000014,245245,374714,171832,202882,202882
2018-05-20,35.292,35.86,34.8,1.0600000000000023,1.0600000000000023,35.686,36.24,34.85,1.3900000000000006,1.3200000000000003,34.87,35.59,33.97,1.6200000000000045,1.6200000000000045,35.472,36.16,34.66,1.5,1.5,347672,523395,251025,272370,-138526
2018-05-27,36.3425,36.8,35.94,0.8599999999999994,0.7100000000000009,36.8725,37.2,36.18,1.0200000000000031,0.9399999999999977,35.8875,36.45,35.22,1.230000000000004,0.9299999999999997,36.555,36.9,35.97,0.9299999999999997,0.7700000000000031,254219,310051,177472,132579,-23854
2018-06-03,37.424,38.29,36.75,1.5399999999999991,-0.04999999999999716,37.99,38.45,37.44,1.0100000000000051,0.23000000000000398,36.976,37.59,36.62,0.970000000000006,0.020000000000003126,37.552,38.21,36.89,1.3200000000000003,0.4399999999999977,352427,505805,239347,266458,32547
2018-06-10,37.53,37.88,37.24,0.6400000000000006,0.35999999999999943,37.834,38.14,37.36,0.7800000000000011,0.28999999999999915,37.192,37.64,36.6,1.0399999999999991,0.509999999999998,37.594,38.08,37.23,0.8500000000000014,0.6300000000000026,226320,394760,156238,238522,221828
2018-06-17,38.71,39.8,37.89,1.9099999999999966,0.8599999999999994,39.196,40.09,38.56,1.5300000000000011,0.25,37.955999999999996,38.72,37.33,1.3900000000000006,-0.35999999999999943,38.584,39.7,37.67,2.030000000000001,-0.8200000000000003,530524,1417038,196306,1220732,1153607
2018-06-24,37.258,37.9,36.46,1.4399999999999977,-1.0300000000000011,37.629999999999995,38.8,36.75,2.049999999999997,-1.0700000000000003,36.334,37.77,35.04,2.730000000000004,-0.8699999999999974,36.878,37.86,35.82,2.039999999999999,-1.9099999999999966,302061,402575,182199,220376,-109671
2018-07-01,36.9975,37.71,35.8,1.9100000000000037,1.9100000000000037,37.6125,37.94,37.01,0.9299999999999997,0.9299999999999997,36.7025,37.22,35.79,1.4299999999999997,1.4299999999999997,37.3575,37.82,36.98,0.8400000000000034,0.38000000000000256,199676,269716,127672,142044,-123470
2018-07-08,37.756,38.18,37.39,0.7899999999999991,0.22999999999999687,38.128,38.41,37.75,0.6599999999999966,0.10000000000000142,37.212,37.58,36.84,0.7399999999999949,0.4099999999999966,37.744,38.22,37.26,0.9600000000000009,0.240000000000002,149245,234201,86584,147617,-82654
2018-07-15,37.77,38.09,37.42,0.6700000000000017,0.6700000000000017,38.166,38.51,37.71,0.7999999999999972,0.759999999999998,37.37,37.88,37.03,0.8500000000000014,0.730000000000004,37.87,38.15,37.5,0.6499999999999986,0.4200000000000017,185438,228151,138715,89436,3679
2018-07-22,37.788,38.04,37.37,0.6700000000000017,0.14999999999999858,38.118,38.33,37.89,0.4399999999999977,-0.0899999999999963,37.284,37.82,36.98,0.8400000000000034,-0.8400000000000034,37.642,38.05,37.11,0.9399999999999977,-0.9100000000000037,162665,237367,120526,116841,-33172
