Date,ADP_Open_average,ADP_Open_max,ADP_Open_volatility,ADP_Open_change%,ADP_High_average,ADP_High_max,ADP_High_volatility,ADP_High_change%,ADP_Low_average,ADP_Low_max,ADP_Low_volatility,ADP_Low_change%,ADP_Close_average,ADP_Close_max,ADP_Close_volatility,ADP_Close_change%,ADP_Volume_average,ADP_Volume_max,ADP_Volume_volatility,ADP_Volume_change%
2016-01-03,80.61500000000001,82.93,4.480000000000004,-5.4021463885204435,81.12333333333333,83.21,4.179999999999993,-5.000601033778095,79.65166666666667,81.81,4.1000000000000085,-4.356923076923085,80.17,82.27,4.140000000000001,-4.337760448397695,2573275,5031269,3520244,-5.296913583819275
2016-01-10,78.16,79.34,2.5,-2.5615013948769922,79.30250000000001,79.8,1.3999999999999915,-1.3836477987421312,77.42750000000001,78.44,1.789999999999992,-2.2819989801121774,78.43,79.47,2.1299999999999955,-1.9504215427205198,2416780,2967815,1107796,50.25640869860624
2016-01-17,79.38,80.83,2.739999999999995,1.837303598580845,80.134,81.18,2.1400000000000006,1.9506670022653052,78.546,79.99,3.089999999999989,2.2105801175568485,79.556,81.11,2.8900000000000006,1.2387814435596056,2398121,3056544,1258065,-28.716590342124725
2016-01-24,80.862,81.52,1.4299999999999926,0.7866150580596771,82.268,83.42,1.9699999999999989,2.418661755678329,80.428,81.17,1.2800000000000011,0.6121174266083812,81.636,83.09,2.6099999999999994,2.5713932500927164,2214873,2837504,1172297,70.39947586095903
2016-01-31,82.21600000000001,83.12,2.719999999999999,-2.8163906684395,82.716,83.24,1.7399999999999949,-1.748040988547321,80.796,81.7,2.719999999999999,-3.3292533659730705,81.936,82.8,1.5499999999999972,-1.119630035292688,2631404,3690293,1867513,-36.400009430145516
2016-02-07,80.85499999999999,81.82,2.4399999999999977,0.3953057442865882,81.7075,82.57,2.019999999999996,0.06110228522546396,80.145,80.59,1.5100000000000051,0.2862832959920211,80.8625,81.74,1.5300000000000011,1.3263914714267921,2120357,2842420,1323709,-32.427523738292145
2016-02-14,84.704,85.99,2.9399999999999977,3.540036122817577,85.522,86.76,2.740000000000009,3.261128302785062,84.316,85.94,3.3499999999999943,4.056181135730711,85.196,86.4,2.6200000000000045,3.1272380042969736,1844046,2065408,502300,-21.633982244670303
2016-02-21,85.63166666666666,86.54,2.6200000000000045,-0.8244310264746957,86.06166666666667,86.57,1.0999999999999943,-0.5087881591119308,84.69833333333334,85.69,2.5999999999999943,-0.02361553902467354,85.345,85.92,1.230000000000004,-0.18856806128461592,1390907,1925525,1925525,3.3311313256962487
2016-02-28,85.644,86.36,1.5100000000000051,-0.16351319785097004,86.334,86.77,1.0499999999999972,-0.3572663362913476,85.186,85.48,0.6300000000000097,0.2580342481820301,86.07000000000001,86.77,1.1199999999999903,-0.7836809957358449,1664631,2059346,658625,-11.3400946020618
2016-03-06,86.05199999999999,86.81,1.480000000000004,1.4135514018691682,86.718,87.49,1.7199999999999989,1.509171116786623,85.336,86.57,2.2099999999999937,1.787184009406227,86.19,87.27,2.069999999999993,2.0821148672359353,1619733,1863537,551557,-25.37550288406464
2016-03-13,87.75,89.24,2.6899999999999977,1.9179664933564375,88.576,89.33,1.9899999999999949,2.278452026562852,87.38,88.14,1.730000000000004,2.0020830922346997,88.294,89.01,1.690000000000012,1.9354099862574576,1709668,3207912,2119917,31.80984449368402
2016-03-20,88.595,88.8,0.5699999999999932,0.011262529564129861,88.8825,89.01,0.2400000000000091,-0.05617346365578178,88.155,88.41,0.6400000000000006,-0.20359687818119288,88.555,88.75,0.45000000000000284,-0.38357400722022045,1191312,1325131,289720,9.007129595430214
2016-03-27,89.204,90.08,1.6599999999999966,1.877403302420263,90.002,90.4,0.9400000000000119,1.0507489380728952,88.91799999999999,89.47,1.2199999999999989,1.382436260623228,89.652,90.26,1.1099999999999994,0.31309404003129476,1501238,1711455,532362,-31.10581347449977
2016-04-03,90.344,90.95,1.2600000000000051,0.2866909251295679,90.75,90.99,0.539999999999992,0.33079722130333794,89.554,89.94,0.5999999999999943,0.33560800984449846,90.086,90.84,1.1300000000000097,-0.044568245125355156,1594708,1886283,799562,-12.45036209113024
2016-04-10,90.358,90.83,0.8999999999999915,0.03335927943954956,90.586,90.83,0.6700000000000017,0.6654835847382526,89.706,89.96,0.5499999999999972,0.3355329381500919,90.292,90.7,0.5900000000000034,0.6547552990789074,1604328,1802528,501513,-13.487887446445896
