Date,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Open_average,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Open_max,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Open_min,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Open_volatility,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Open_change,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_High_average,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_High_max,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_High_min,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_High_volatility,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_High_change,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Low_average,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Low_max,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Low_min,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Low_volatility,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Low_change,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Close_average,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Close_max,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Close_min,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Close_volatility,ETFS Bloomberg All Commodity Longer Dated StrategyEtf_Close_change
2018-01-14,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2018-01-21,26.73,26.73,26.73,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2018-01-28,26.41,26.41,26.41,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-02-04,25.71,25.71,25.71,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2018-02-11,26.27,26.27,26.27,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2018-02-18,26.27,26.27,26.27,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.39,26.39,26.39,0.0,0.0
2018-02-25,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2018-03-04,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2018-03-11,26.11,26.11,26.11,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0
2018-03-18,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-03-25,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2018-04-01,25.8,25.8,25.8,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.8,25.8,25.8,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-04-08,26.7,26.7,26.7,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2018-04-15,26.78,26.78,26.78,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.91,26.91,26.91,0.0,0.0
2018-04-22,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-04-29,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2018-05-06,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.02,27.02,27.02,0.0,0.0,27.02,27.02,27.02,0.0,0.0
2018-05-13,27.09,27.09,27.09,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-05-20,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2018-05-27,27.16,27.16,27.16,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2018-06-03,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2018-06-10,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2018-06-17,26.16,26.16,26.16,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.16,26.16,26.16,0.0,0.0
2018-06-24,26.22,26.22,26.22,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2018-07-01,25.86,25.86,25.86,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-07-08,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-07-15,25.12,25.12,25.12,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2018-07-22,25.64,25.64,25.64,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2018-07-29,25.57,25.57,25.57,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-08-05,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0
