Date,VanEck Vectors Africa_Open_average,VanEck Vectors Africa_Open_max,VanEck Vectors Africa_Open_min,VanEck Vectors Africa_Open_volatility,VanEck Vectors Africa_Open_change,VanEck Vectors Africa_High_average,VanEck Vectors Africa_High_max,VanEck Vectors Africa_High_min,VanEck Vectors Africa_High_volatility,VanEck Vectors Africa_High_change,VanEck Vectors Africa_Low_average,VanEck Vectors Africa_Low_max,VanEck Vectors Africa_Low_min,VanEck Vectors Africa_Low_volatility,VanEck Vectors Africa_Low_change,VanEck Vectors Africa_Close_average,VanEck Vectors Africa_Close_max,VanEck Vectors Africa_Close_min,VanEck Vectors Africa_Close_volatility,VanEck Vectors Africa_Close_change
2018-01-14,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.39,26.39,26.39,0.0,0.0
2018-01-21,27.01,27.01,27.01,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.5,26.5,26.5,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2018-01-28,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2018-02-04,24.4,24.4,24.4,0.0,0.0,24.77,24.77,24.77,0.0,0.0,23.77,23.77,23.77,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-02-11,26.29,26.29,26.29,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.17,26.17,26.17,0.0,0.0
2018-02-18,25.8,25.8,25.8,0.0,0.0,26.08,26.08,26.08,0.0,0.0,25.7,25.7,25.7,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-02-25,24.91,24.91,24.91,0.0,0.0,25.53,25.53,25.53,0.0,0.0,24.84,24.84,24.84,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2018-03-04,26.11,26.11,26.11,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2018-03-11,25.62,25.62,25.62,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2018-03-18,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2018-03-25,25.08,25.08,25.08,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2018-04-01,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2018-04-08,25.64,25.64,25.64,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.48,25.48,25.48,0.0,0.0
2018-04-15,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2018-04-22,25.45,25.45,25.45,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2018-04-29,25.0,25.0,25.0,0.0,0.0,25.17,25.17,25.17,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2018-05-06,25.91,25.91,25.91,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-05-13,25.23,25.23,25.23,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2018-05-20,24.9,24.9,24.9,0.0,0.0,25.12,25.12,25.12,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.72,24.72,24.72,0.0,0.0
2018-05-27,24.36,24.36,24.36,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-06-03,24.5,24.5,24.5,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2018-06-10,24.25,24.25,24.25,0.0,0.0,24.25,24.25,24.25,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2018-06-17,23.5,23.5,23.5,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.54,23.54,23.54,0.0,0.0
2018-06-24,23.26,23.26,23.26,0.0,0.0,23.57,23.57,23.57,0.0,0.0,23.26,23.26,23.26,0.0,0.0,23.48,23.48,23.48,0.0,0.0
