Date,ARKR_Open_average,ARKR_Open_max,ARKR_Open_min,ARKR_Open_volatility,ARKR_Open_change,ARKR_High_average,ARKR_High_max,ARKR_High_min,ARKR_High_volatility,ARKR_High_change,ARKR_Low_average,ARKR_Low_max,ARKR_Low_min,ARKR_Low_volatility,ARKR_Low_change,ARKR_Close_average,ARKR_Close_max,ARKR_Close_min,ARKR_Close_volatility,ARKR_Close_change,ARKR_Volume_average,ARKR_Volume_max,ARKR_Volume_min,ARKR_Volume_volatility,ARKR_Volume_change
2018-01-14,25.490000000000002,25.69,25.25,0.4400000000000013,-0.19000000000000128,25.774,25.9,25.55,0.34999999999999787,-0.03999999999999915,25.462,25.6,25.25,0.3500000000000014,-0.10000000000000142,25.72,25.9,25.5,0.3999999999999986,0.17999999999999972,921,1296,473,823,62
2018-01-21,25.535,25.86,25.27,0.5899999999999999,-0.370000000000001,25.575,25.86,25.27,0.5899999999999999,-0.4299999999999997,25.4175,25.52,25.27,0.25,-0.25,25.4725,25.63,25.27,0.35999999999999943,-0.25,779,1200,371,829,-829
2018-01-28,25.6475,26.2,25.44,0.759999999999998,0.05999999999999872,25.9,26.45,25.5,0.9499999999999993,0.0,25.285,25.75,25.0,0.75,-0.39000000000000057,25.5,26.0,25.05,0.9499999999999993,-0.4499999999999993,2748,7847,895,6952,14
2018-02-04,24.808,25.25,24.12,1.129999999999999,1.0799999999999983,25.56,25.99,25.05,0.9399999999999977,0.6999999999999993,24.446,25.04,24.03,1.009999999999998,0.16999999999999815,25.196,25.75,24.6,1.1499999999999986,0.6999999999999993,3458,6837,724,6113,-2267
2018-02-11,24.976666666666667,25.1,24.82,0.28000000000000114,-0.08999999999999986,25.31,25.74,25.02,0.7199999999999989,-0.7199999999999989,24.53,24.73,24.21,0.5199999999999996,0.08000000000000185,25.106666666666666,25.7,24.77,0.9299999999999997,-0.9299999999999997,8522,20640,1487,19153,17199
2018-02-18,25.0,25.25,24.75,0.5,0.25,25.252,25.95,25.0,0.9499999999999993,-0.9499999999999993,24.994,25.25,24.72,0.5300000000000011,0.28000000000000114,25.102,25.25,25.0,0.25,-0.1999999999999993,1809,6827,250,6577,-6577
2018-02-25,25.002,25.54,24.47,1.0700000000000003,0.14000000000000057,25.25,25.54,24.6,0.9399999999999977,0.14000000000000057,24.926,25.54,24.46,1.0799999999999983,0.14000000000000057,25.112000000000002,25.54,24.6,0.9399999999999977,0.14000000000000057,4394,12792,0,12792,161
2018-03-04,25.03,25.62,24.5,1.120000000000001,-0.5600000000000023,25.168,25.62,24.8,0.8200000000000003,-0.5600000000000023,24.628,25.06,24.26,0.7999999999999972,0.33999999999999986,24.814,25.06,24.62,0.4399999999999977,0.23000000000000043,3726,6720,384,6336,-5956
2018-03-11,24.996,25.14,24.82,0.3200000000000003,0.05000000000000071,25.246,25.57,24.93,0.6400000000000006,0.4800000000000004,24.826,25.13,24.62,0.509999999999998,0.379999999999999,24.924,25.14,24.7,0.4400000000000013,0.379999999999999,8405,38426,532,37894,766
2018-03-18,24.156,24.85,23.5,1.3500000000000014,-1.3500000000000014,24.458,25.34,23.61,1.7300000000000004,-1.7300000000000004,23.886,24.23,23.26,0.9699999999999989,-0.9699999999999989,23.998,24.29,23.54,0.75,-0.6900000000000013,5998,11117,1657,9460,-3282
2018-03-25,24.0825,24.2,24.0,0.1999999999999993,0.14000000000000057,24.252499999999998,24.5,24.06,0.4400000000000013,0.14000000000000057,24.0175,24.2,23.87,0.3299999999999983,0.3299999999999983,24.175,24.5,24.0,0.5,0.1999999999999993,1431,3552,318,3234,-253
2018-04-01,24.098,24.89,23.28,1.6099999999999994,0.7199999999999989,24.524,25.03,24.0,1.0300000000000011,0.2799999999999976,23.882,24.32,23.28,1.0399999999999991,0.7099999999999973,24.21,25.03,23.82,1.2100000000000009,-0.22000000000000242,1395,4577,199,4378,-3600
