Date,ProShares UltraShort MSCI Japan_Open_average,ProShares UltraShort MSCI Japan_Open_max,ProShares UltraShort MSCI Japan_Open_min,ProShares UltraShort MSCI Japan_Open_volatility,ProShares UltraShort MSCI Japan_Open_change,ProShares UltraShort MSCI Japan_High_average,ProShares UltraShort MSCI Japan_High_max,ProShares UltraShort MSCI Japan_High_min,ProShares UltraShort MSCI Japan_High_volatility,ProShares UltraShort MSCI Japan_High_change,ProShares UltraShort MSCI Japan_Low_average,ProShares UltraShort MSCI Japan_Low_max,ProShares UltraShort MSCI Japan_Low_min,ProShares UltraShort MSCI Japan_Low_volatility,ProShares UltraShort MSCI Japan_Low_change,ProShares UltraShort MSCI Japan_Close_average,ProShares UltraShort MSCI Japan_Close_max,ProShares UltraShort MSCI Japan_Close_min,ProShares UltraShort MSCI Japan_Close_volatility,ProShares UltraShort MSCI Japan_Close_change
2018-01-14,23.36,23.36,23.36,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.32,23.32,23.32,0.0,0.0
2018-01-21,22.89,22.89,22.89,0.0,0.0,23.06,23.06,23.06,0.0,0.0,22.89,22.89,22.89,0.0,0.0,23.06,23.06,23.06,0.0,0.0
2018-01-28,25.18,25.18,25.18,0.0,0.0,26.8,26.8,26.8,0.0,0.0,25.07,25.07,25.07,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2018-02-04,26.18,26.18,26.18,0.0,0.0,26.45,26.45,26.45,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2018-02-11,25.12,25.12,25.12,0.0,0.0,25.12,25.12,25.12,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2018-02-18,24.16,24.16,24.16,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.11,24.11,24.11,0.0,0.0
2018-02-25,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2018-03-04,25.25,25.25,25.25,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-03-11,25.5,25.5,25.5,0.0,0.0,26.38,26.38,26.38,0.0,0.0,25.5,25.5,25.5,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-03-18,26.94,26.94,26.94,0.0,0.0,27.12,27.12,27.12,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0
