Date,VelocityShares 3x Long Natural Gas linked to S&P G_Open_average,VelocityShares 3x Long Natural Gas linked to S&P G_Open_max,VelocityShares 3x Long Natural Gas linked to S&P G_Open_min,VelocityShares 3x Long Natural Gas linked to S&P G_Open_volatility,VelocityShares 3x Long Natural Gas linked to S&P G_Open_change,VelocityShares 3x Long Natural Gas linked to S&P G_High_average,VelocityShares 3x Long Natural Gas linked to S&P G_High_max,VelocityShares 3x Long Natural Gas linked to S&P G_High_min,VelocityShares 3x Long Natural Gas linked to S&P G_High_volatility,VelocityShares 3x Long Natural Gas linked to S&P G_High_change,VelocityShares 3x Long Natural Gas linked to S&P G_Low_average,VelocityShares 3x Long Natural Gas linked to S&P G_Low_max,VelocityShares 3x Long Natural Gas linked to S&P G_Low_min,VelocityShares 3x Long Natural Gas linked to S&P G_Low_volatility,VelocityShares 3x Long Natural Gas linked to S&P G_Low_change,VelocityShares 3x Long Natural Gas linked to S&P G_Close_average,VelocityShares 3x Long Natural Gas linked to S&P G_Close_max,VelocityShares 3x Long Natural Gas linked to S&P G_Close_min,VelocityShares 3x Long Natural Gas linked to S&P G_Close_volatility,VelocityShares 3x Long Natural Gas linked to S&P G_Close_change
2018-01-14,771.2,771.2,771.2,0.0,0.0,793.8,793.8,793.8,0.0,0.0,765.6,765.6,765.6,0.0,0.0,792.0,792.0,792.0,0.0,0.0
2018-01-21,907.6,907.6,907.6,0.0,0.0,998.2,998.2,998.2,0.0,0.0,903.0,903.0,903.0,0.0,0.0,990.2,990.2,990.2,0.0,0.0
2018-01-28,661.5,661.5,661.5,0.0,0.0,666.6,666.6,666.6,0.0,0.0,617.0,617.0,617.0,0.0,0.0,629.0,629.0,629.0,0.0,0.0
2018-02-04,511.1,511.1,511.1,0.0,0.0,523.49,523.49,523.49,0.0,0.0,508.1,508.1,508.1,0.0,0.0,516.6,516.6,516.6,0.0,0.0
2018-02-11,519.6,519.6,519.6,0.0,0.0,528.1,528.1,528.1,0.0,0.0,515.5,515.5,515.5,0.0,0.0,522.0,522.0,522.0,0.0,0.0
2018-02-18,578.1,578.1,578.1,0.0,0.0,579.69,579.69,579.69,0.0,0.0,544.5,544.5,544.5,0.0,0.0,572.0,572.0,572.0,0.0,0.0
2018-02-25,583.8,583.8,583.8,0.0,0.0,589.6,589.6,589.6,0.0,0.0,571.1,571.1,571.1,0.0,0.0,583.6,583.6,583.6,0.0,0.0
2018-03-04,629.5,629.5,629.5,0.0,0.0,644.1,644.1,644.1,0.0,0.0,623.8,623.8,623.8,0.0,0.0,632.5,632.5,632.5,0.0,0.0
2018-03-11,548.4,548.4,548.4,0.0,0.0,553.6,553.6,553.6,0.0,0.0,543.6,543.6,543.6,0.0,0.0,551.0,551.0,551.0,0.0,0.0
2018-03-18,531.2,531.2,531.2,0.0,0.0,546.7,546.7,546.7,0.0,0.0,527.7,527.7,527.7,0.0,0.0,543.5,543.5,543.5,0.0,0.0
2018-03-25,543.7,543.7,543.7,0.0,0.0,549.3,549.3,549.3,0.0,0.0,527.5,527.5,527.5,0.0,0.0,541.5,541.5,541.5,0.0,0.0
2018-04-01,551.4,551.4,551.4,0.0,0.0,559.3,559.3,559.3,0.0,0.0,520.5,520.5,520.5,0.0,0.0,555.5,555.5,555.5,0.0,0.0
2018-04-08,589.0,589.0,589.0,0.0,0.0,598.8,598.8,598.8,0.0,0.0,582.3,582.3,582.3,0.0,0.0,584.3,584.3,584.3,0.0,0.0
2018-04-15,566.4,566.4,566.4,0.0,0.0,583.0,583.0,583.0,0.0,0.0,565.6,565.6,565.6,0.0,0.0,576.3,576.3,576.3,0.0,0.0
2018-04-22,556.5,556.5,556.5,0.0,0.0,572.21,572.21,572.21,0.0,0.0,547.3,547.3,547.3,0.0,0.0,570.4,570.4,570.4,0.0,0.0
2018-04-29,561.2,561.2,561.2,0.0,0.0,567.2,567.2,567.2,0.0,0.0,547.2,547.2,547.2,0.0,0.0,550.8,550.8,550.8,0.0,0.0
2018-05-06,589.0,589.0,589.0,0.0,0.0,614.2,614.2,614.2,0.0,0.0,588.6,588.6,588.6,0.0,0.0,607.4,607.4,607.4,0.0,0.0
2018-05-13,620.1,620.1,620.1,0.0,0.0,623.0,623.0,623.0,0.0,0.0,603.0,603.0,603.0,0.0,0.0,612.6,612.6,612.6,0.0,0.0
2018-05-20,694.4,694.4,694.4,0.0,0.0,700.0,700.0,700.0,0.0,0.0,664.2,664.2,664.2,0.0,0.0,678.6,678.6,678.6,0.0,0.0
2018-05-27,666.0,666.0,666.0,0.0,0.0,675.1,675.1,675.1,0.0,0.0,650.0,650.0,650.0,0.0,0.0,652.2,652.2,652.2,0.0,0.0
2018-06-03,666.2,666.2,666.2,0.0,0.0,669.3,669.3,669.3,0.0,0.0,650.95,650.95,650.95,0.0,0.0,659.3,659.3,659.3,0.0,0.0
2018-06-10,692.0,692.0,692.0,0.0,0.0,701.8,701.8,701.8,0.0,0.0,665.6,665.6,665.6,0.0,0.0,675.0,675.0,675.0,0.0,0.0
2018-06-17,638.7,638.7,638.7,0.0,0.0,651.4,651.4,651.4,0.0,0.0,634.4,634.4,634.4,0.0,0.0,651.2,651.2,651.2,0.0,0.0
2018-06-24,610.2,610.2,610.2,0.0,0.0,612.72,612.72,612.72,0.0,0.0,600.1,600.1,600.1,0.0,0.0,607.5,607.5,607.5,0.0,0.0
2018-07-01,592.1,592.1,592.1,0.0,0.0,595.4,595.4,595.4,0.0,0.0,577.51,577.51,577.51,0.0,0.0,585.6,585.6,585.6,0.0,0.0
2018-07-08,541.3,541.3,541.3,0.0,0.0,550.0,550.0,550.0,0.0,0.0,532.21,532.21,532.21,0.0,0.0,544.6,544.6,544.6,0.0,0.0
2018-07-15,522.5,522.5,522.5,0.0,0.0,524.78,524.78,524.78,0.0,0.0,516.5,516.5,516.5,0.0,0.0,519.2,519.2,519.2,0.0,0.0
2018-07-22,569.1,569.1,569.1,0.0,0.0,591.4,591.4,591.4,0.0,0.0,562.0,562.0,562.0,0.0,0.0,582.0,582.0,582.0,0.0,0.0
2018-07-29,609.9,609.9,609.9,0.0,0.0,620.5,620.5,620.5,0.0,0.0,607.4,607.4,607.4,0.0,0.0,618.0,618.0,618.0,0.0,0.0
2018-08-05,660.5,660.5,660.5,0.0,0.0,676.5,676.5,676.5,0.0,0.0,660.5,660.5,660.5,0.0,0.0,666.3,666.3,666.3,0.0,0.0
2018-08-12,668.6,668.6,668.6,0.0,0.0,674.0,674.0,674.0,0.0,0.0,661.6,661.6,661.6,0.0,0.0,670.2,670.2,670.2,0.0,0.0
2018-08-19,628.6,628.6,628.6,0.0,0.0,634.3,634.3,634.3,0.0,0.0,617.8,617.8,617.8,0.0,0.0,619.3,619.3,619.3,0.0,0.0
2018-08-26,654.4,654.4,654.4,0.0,0.0,660.0,660.0,660.0,0.0,0.0,642.8,642.8,642.8,0.0,0.0,651.4,651.4,651.4,0.0,0.0
2018-09-02,547.0,547.0,547.0,0.0,0.0,581.88,581.88,581.88,0.0,0.0,546.0,546.0,546.0,0.0,0.0,577.0,577.0,577.0,0.0,0.0
2018-09-09,559.6,559.6,559.6,0.0,0.0,574.3,574.3,574.3,0.0,0.0,558.0,558.0,558.0,0.0,0.0,563.9,563.9,563.9,0.0,0.0
2018-09-16,698.5,698.5,698.5,0.0,0.0,730.0,730.0,730.0,0.0,0.0,698.42,698.42,698.42,0.0,0.0,729.0,729.0,729.0,0.0,0.0
