Date,Global X MSCI Pakistan_Open_average,Global X MSCI Pakistan_Open_max,Global X MSCI Pakistan_Open_min,Global X MSCI Pakistan_Open_volatility,Global X MSCI Pakistan_Open_change,Global X MSCI Pakistan_High_average,Global X MSCI Pakistan_High_max,Global X MSCI Pakistan_High_min,Global X MSCI Pakistan_High_volatility,Global X MSCI Pakistan_High_change,Global X MSCI Pakistan_Low_average,Global X MSCI Pakistan_Low_max,Global X MSCI Pakistan_Low_min,Global X MSCI Pakistan_Low_volatility,Global X MSCI Pakistan_Low_change,Global X MSCI Pakistan_Close_average,Global X MSCI Pakistan_Close_max,Global X MSCI Pakistan_Close_min,Global X MSCI Pakistan_Close_volatility,Global X MSCI Pakistan_Close_change
2018-01-14,13.45,13.45,13.45,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.45,13.45,13.45,0.0,0.0
2018-01-21,13.39,13.39,13.39,0.0,0.0,13.39,13.39,13.39,0.0,0.0,13.09,13.09,13.09,0.0,0.0,13.16,13.16,13.16,0.0,0.0
2018-01-28,13.18,13.18,13.18,0.0,0.0,13.18,13.18,13.18,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.98,12.98,12.98,0.0,0.0
2018-02-04,12.8,12.8,12.8,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.61,12.61,12.61,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2018-02-11,13.0,13.0,13.0,0.0,0.0,13.1,13.1,13.1,0.0,0.0,12.98,12.98,12.98,0.0,0.0,13.03,13.03,13.03,0.0,0.0
2018-02-18,12.91,12.91,12.91,0.0,0.0,12.94,12.94,12.94,0.0,0.0,12.84,12.84,12.84,0.0,0.0,12.94,12.94,12.94,0.0,0.0
2018-02-25,12.83,12.83,12.83,0.0,0.0,13.0,13.0,13.0,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.94,12.94,12.94,0.0,0.0
2018-03-04,12.75,12.75,12.75,0.0,0.0,12.92,12.92,12.92,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.83,12.83,12.83,0.0,0.0
2018-03-11,13.03,13.03,13.03,0.0,0.0,13.1,13.1,13.1,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.96,12.96,12.96,0.0,0.0
2018-03-18,12.94,12.94,12.94,0.0,0.0,12.96,12.96,12.96,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.81,12.81,12.81,0.0,0.0
2018-03-25,13.0,13.0,13.0,0.0,0.0,13.09,13.09,13.09,0.0,0.0,13.0,13.0,13.0,0.0,0.0,13.09,13.09,13.09,0.0,0.0
2018-04-01,13.5,13.5,13.5,0.0,0.0,13.53,13.53,13.53,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.48,13.48,13.48,0.0,0.0
2018-04-08,13.3,13.3,13.3,0.0,0.0,13.35,13.35,13.35,0.0,0.0,13.13,13.13,13.13,0.0,0.0,13.13,13.13,13.13,0.0,0.0
2018-04-15,12.94,12.94,12.94,0.0,0.0,12.99,12.99,12.99,0.0,0.0,12.93,12.93,12.93,0.0,0.0,12.93,12.93,12.93,0.0,0.0
2018-04-22,12.99,12.99,12.99,0.0,0.0,12.99,12.99,12.99,0.0,0.0,12.94,12.94,12.94,0.0,0.0,12.94,12.94,12.94,0.0,0.0
2018-04-29,12.61,12.61,12.61,0.0,0.0,12.68,12.68,12.68,0.0,0.0,12.57,12.57,12.57,0.0,0.0,12.59,12.59,12.59,0.0,0.0
2018-05-06,12.53,12.53,12.53,0.0,0.0,12.53,12.53,12.53,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.4,12.4,12.4,0.0,0.0
2018-05-13,11.66,11.66,11.66,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.16,11.16,11.16,0.0,0.0,11.46,11.46,11.46,0.0,0.0
2018-05-20,11.61,11.61,11.61,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.61,11.61,11.61,0.0,0.0,11.72,11.72,11.72,0.0,0.0
2018-05-27,11.98,11.98,11.98,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.95,11.95,11.95,0.0,0.0
2018-06-03,12.24,12.24,12.24,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2018-06-10,11.82,11.82,11.82,0.0,0.0,11.83,11.83,11.83,0.0,0.0,11.75,11.75,11.75,0.0,0.0,11.78,11.78,11.78,0.0,0.0
2018-06-17,11.17,11.17,11.17,0.0,0.0,11.19,11.19,11.19,0.0,0.0,11.08,11.08,11.08,0.0,0.0,11.08,11.08,11.08,0.0,0.0
2018-06-24,11.2,11.2,11.2,0.0,0.0,11.2,11.2,11.2,0.0,0.0,11.01,11.01,11.01,0.0,0.0,11.07,11.07,11.07,0.0,0.0
2018-07-01,10.85,10.85,10.85,0.0,0.0,10.99,10.99,10.99,0.0,0.0,10.75,10.75,10.75,0.0,0.0,10.79,10.79,10.79,0.0,0.0
2018-07-08,10.7,10.7,10.7,0.0,0.0,10.77,10.77,10.77,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.72,10.72,10.72,0.0,0.0
2018-07-15,10.45,10.45,10.45,0.0,0.0,10.45,10.45,10.45,0.0,0.0,10.39,10.39,10.39,0.0,0.0,10.42,10.42,10.42,0.0,0.0
2018-07-22,11.08,11.08,11.08,0.0,0.0,11.08,11.08,11.08,0.0,0.0,10.96,10.96,10.96,0.0,0.0,11.05,11.05,11.05,0.0,0.0
2018-07-29,11.33,11.33,11.33,0.0,0.0,11.33,11.33,11.33,0.0,0.0,11.19,11.19,11.19,0.0,0.0,11.25,11.25,11.25,0.0,0.0
2018-08-05,11.4,11.4,11.4,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.18,11.18,11.18,0.0,0.0,11.2,11.2,11.2,0.0,0.0
2018-08-12,11.17,11.17,11.17,0.0,0.0,11.3,11.3,11.3,0.0,0.0,11.17,11.17,11.17,0.0,0.0,11.29,11.29,11.29,0.0,0.0
2018-08-19,11.12,11.12,11.12,0.0,0.0,11.28,11.28,11.28,0.0,0.0,11.07,11.07,11.07,0.0,0.0,11.23,11.23,11.23,0.0,0.0
2018-08-26,10.85,10.85,10.85,0.0,0.0,11.15,11.15,11.15,0.0,0.0,10.85,10.85,10.85,0.0,0.0,11.05,11.05,11.05,0.0,0.0
2018-09-02,10.7,10.7,10.7,0.0,0.0,10.75,10.75,10.75,0.0,0.0,10.54,10.54,10.54,0.0,0.0,10.75,10.75,10.75,0.0,0.0
2018-09-09,10.79,10.79,10.79,0.0,0.0,10.81,10.81,10.81,0.0,0.0,10.55,10.55,10.55,0.0,0.0,10.61,10.61,10.61,0.0,0.0
2018-09-16,10.73,10.73,10.73,0.0,0.0,10.81,10.81,10.81,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.75,10.75,10.75,0.0,0.0
2018-09-23,10.68,10.68,10.68,0.0,0.0,10.68,10.68,10.68,0.0,0.0,10.56,10.56,10.56,0.0,0.0,10.61,10.61,10.61,0.0,0.0
2018-09-30,10.27,10.27,10.27,0.0,0.0,10.27,10.27,10.27,0.0,0.0,10.1,10.1,10.1,0.0,0.0,10.1,10.1,10.1,0.0,0.0
2018-10-07,9.0,9.0,9.0,0.0,0.0,9.16,9.16,9.16,0.0,0.0,8.88,8.88,8.88,0.0,0.0,8.89,8.89,8.89,0.0,0.0
2018-10-14,8.95,8.95,8.95,0.0,0.0,9.1,9.1,9.1,0.0,0.0,8.89,8.89,8.89,0.0,0.0,9.06,9.06,9.06,0.0,0.0
2018-10-21,9.63,9.63,9.63,0.0,0.0,9.75,9.75,9.75,0.0,0.0,9.53,9.53,9.53,0.0,0.0,9.66,9.66,9.66,0.0,0.0
2018-10-28,10.29,10.29,10.29,0.0,0.0,10.29,10.29,10.29,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.23,10.23,10.23,0.0,0.0
2018-11-04,9.93,9.93,9.93,0.0,0.0,10.14,10.14,10.14,0.0,0.0,9.93,9.93,9.93,0.0,0.0,9.98,9.98,9.98,0.0,0.0
2018-11-11,9.88,9.88,9.88,0.0,0.0,9.98,9.98,9.98,0.0,0.0,9.88,9.88,9.88,0.0,0.0,9.98,9.98,9.98,0.0,0.0
2018-11-18,9.9,9.9,9.9,0.0,0.0,9.92,9.92,9.92,0.0,0.0,9.9,9.9,9.9,0.0,0.0,9.9,9.9,9.9,0.0,0.0
2018-11-25,9.64,9.64,9.64,0.0,0.0,9.65,9.65,9.65,0.0,0.0,9.5,9.5,9.5,0.0,0.0,9.65,9.65,9.65,0.0,0.0
2018-12-02,9.08,9.08,9.08,0.0,0.0,9.08,9.08,9.08,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.87,8.87,8.87,0.0,0.0
2018-12-09,8.85,8.85,8.85,0.0,0.0,9.0,9.0,9.0,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.96,8.96,8.96,0.0,0.0
2018-12-16,8.68,8.68,8.68,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.65,8.65,8.65,0.0,0.0,8.76,8.76,8.76,0.0,0.0
2018-12-23,8.16,8.16,8.16,0.0,0.0,8.2,8.2,8.2,0.0,0.0,7.9,7.9,7.9,0.0,0.0,8.03,8.03,8.03,0.0,0.0
2018-12-30,8.16,8.16,8.16,0.0,0.0,8.27,8.27,8.27,0.0,0.0,8.15,8.15,8.15,0.0,0.0,8.19,8.19,8.19,0.0,0.0
2019-01-06,8.68,8.68,8.68,0.0,0.0,8.75,8.75,8.75,0.0,0.0,8.52,8.52,8.52,0.0,0.0,8.57,8.57,8.57,0.0,0.0
2019-01-13,8.76,8.76,8.76,0.0,0.0,8.76,8.76,8.76,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.7,8.7,8.7,0.0,0.0
2019-01-20,8.82,8.82,8.82,0.0,0.0,9.08,9.08,9.08,0.0,0.0,8.8,8.8,8.8,0.0,0.0,9.08,9.08,9.08,0.0,0.0
2019-01-27,9.2,9.2,9.2,0.0,0.0,9.26,9.26,9.26,0.0,0.0,9.13,9.13,9.13,0.0,0.0,9.17,9.17,9.17,0.0,0.0
2019-02-03,9.12,9.12,9.12,0.0,0.0,9.19,9.19,9.19,0.0,0.0,9.02,9.02,9.02,0.0,0.0,9.02,9.02,9.02,0.0,0.0
2019-02-10,9.04,9.04,9.04,0.0,0.0,9.16,9.16,9.16,0.0,0.0,9.03,9.03,9.03,0.0,0.0,9.11,9.11,9.11,0.0,0.0
2019-02-17,9.09,9.09,9.09,0.0,0.0,9.09,9.09,9.09,0.0,0.0,9.0,9.0,9.0,0.0,0.0,9.01,9.01,9.01,0.0,0.0
2019-02-24,8.96,8.96,8.96,0.0,0.0,9.04,9.04,9.04,0.0,0.0,8.9,8.9,8.9,0.0,0.0,8.97,8.97,8.97,0.0,0.0
2019-03-03,8.81,8.81,8.81,0.0,0.0,8.81,8.81,8.81,0.0,0.0,8.74,8.74,8.74,0.0,0.0,8.74,8.74,8.74,0.0,0.0
2019-03-10,8.75,8.75,8.75,0.0,0.0,8.75,8.75,8.75,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.6,8.6,8.6,0.0,0.0
2019-03-17,8.64,8.64,8.64,0.0,0.0,8.64,8.64,8.64,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.6,8.6,8.6,0.0,0.0
