Date,iShares MSCI Finland Capped_Open_average,iShares MSCI Finland Capped_Open_max,iShares MSCI Finland Capped_Open_min,iShares MSCI Finland Capped_Open_volatility,iShares MSCI Finland Capped_Open_change,iShares MSCI Finland Capped_High_average,iShares MSCI Finland Capped_High_max,iShares MSCI Finland Capped_High_min,iShares MSCI Finland Capped_High_volatility,iShares MSCI Finland Capped_High_change,iShares MSCI Finland Capped_Low_average,iShares MSCI Finland Capped_Low_max,iShares MSCI Finland Capped_Low_min,iShares MSCI Finland Capped_Low_volatility,iShares MSCI Finland Capped_Low_change,iShares MSCI Finland Capped_Close_average,iShares MSCI Finland Capped_Close_max,iShares MSCI Finland Capped_Close_min,iShares MSCI Finland Capped_Close_volatility,iShares MSCI Finland Capped_Close_change
2018-01-14,42.12,42.12,42.12,0.0,0.0,42.22,42.22,42.22,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.11,42.11,42.11,0.0,0.0
2018-01-21,42.08,42.08,42.08,0.0,0.0,42.1,42.1,42.1,0.0,0.0,41.9,41.9,41.9,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2018-01-28,42.22,42.22,42.22,0.0,0.0,42.37,42.37,42.37,0.0,0.0,40.96,40.96,40.96,0.0,0.0,41.2,41.2,41.2,0.0,0.0
2018-02-04,40.97,40.97,40.97,0.0,0.0,41.32,41.32,41.32,0.0,0.0,40.97,40.97,40.97,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2018-02-11,42.86,42.86,42.86,0.0,0.0,43.18,43.18,43.18,0.0,0.0,42.86,42.86,42.86,0.0,0.0,43.18,43.18,43.18,0.0,0.0
2018-02-18,43.08,43.08,43.08,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-02-25,41.76,41.76,41.76,0.0,0.0,42.12,42.12,42.12,0.0,0.0,41.76,41.76,41.76,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2018-03-04,42.87,42.87,42.87,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.8,42.8,42.8,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2018-03-11,42.47,42.47,42.47,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.25,42.25,42.25,0.0,0.0,42.37,42.37,42.37,0.0,0.0
2018-03-18,41.95,41.95,41.95,0.0,0.0,42.06,42.06,42.06,0.0,0.0,41.58,41.58,41.58,0.0,0.0,42.01,42.01,42.01,0.0,0.0
2018-03-25,42.08,42.08,42.08,0.0,0.0,42.08,42.08,42.08,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2018-04-01,41.9,41.9,41.9,0.0,0.0,42.17,42.17,42.17,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.89,41.89,41.89,0.0,0.0
2018-04-08,42.58,42.58,42.58,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.83,42.83,42.83,0.0,0.0
2018-04-15,43.44,43.44,43.44,0.0,0.0,43.55,43.55,43.55,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2018-04-22,43.48,43.48,43.48,0.0,0.0,43.68,43.68,43.68,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.56,43.56,43.56,0.0,0.0
2018-04-29,43.43,43.43,43.43,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.3,43.3,43.3,0.0,0.0
2018-05-06,44.03,44.03,44.03,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2018-05-13,44.07,44.07,44.07,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.3,44.3,44.3,0.0,0.0
2018-05-20,42.95,42.95,42.95,0.0,0.0,43.15,43.15,43.15,0.0,0.0,42.95,42.95,42.95,0.0,0.0,43.15,43.15,43.15,0.0,0.0
2018-05-27,43.87,43.87,43.87,0.0,0.0,43.87,43.87,43.87,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.65,43.65,43.65,0.0,0.0
2018-06-03,44.03,44.03,44.03,0.0,0.0,44.25,44.25,44.25,0.0,0.0,43.96,43.96,43.96,0.0,0.0,44.15,44.15,44.15,0.0,0.0
