Date,Franklin FTSE GermanyEtf_Open_average,Franklin FTSE GermanyEtf_Open_max,Franklin FTSE GermanyEtf_Open_min,Franklin FTSE GermanyEtf_Open_volatility,Franklin FTSE GermanyEtf_Open_change,Franklin FTSE GermanyEtf_High_average,Franklin FTSE GermanyEtf_High_max,Franklin FTSE GermanyEtf_High_min,Franklin FTSE GermanyEtf_High_volatility,Franklin FTSE GermanyEtf_High_change,Franklin FTSE GermanyEtf_Low_average,Franklin FTSE GermanyEtf_Low_max,Franklin FTSE GermanyEtf_Low_min,Franklin FTSE GermanyEtf_Low_volatility,Franklin FTSE GermanyEtf_Low_change,Franklin FTSE GermanyEtf_Close_average,Franklin FTSE GermanyEtf_Close_max,Franklin FTSE GermanyEtf_Close_min,Franklin FTSE GermanyEtf_Close_volatility,Franklin FTSE GermanyEtf_Close_change
2018-01-14,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2018-01-21,27.25,27.25,27.25,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-01-28,26.16,26.16,26.16,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-02-04,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2018-02-11,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-02-18,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2018-02-25,24.41,24.41,24.41,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2018-03-04,25.16,25.16,25.16,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2018-03-11,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2018-03-18,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0
2018-03-25,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2018-04-01,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2018-04-08,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-04-15,25.3,25.3,25.3,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2018-04-22,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2018-04-29,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-05-06,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-05-13,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2018-05-20,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0
2018-05-27,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-06-03,24.96,24.96,24.96,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-06-10,23.14,23.14,23.14,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.14,23.14,23.14,0.0,0.0
2018-06-17,23.66,23.66,23.66,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.72,23.72,23.72,0.0,0.0
