Date,Fidelity MSCI Financials_Open_average,Fidelity MSCI Financials_Open_max,Fidelity MSCI Financials_Open_min,Fidelity MSCI Financials_Open_volatility,Fidelity MSCI Financials_Open_change,Fidelity MSCI Financials_High_average,Fidelity MSCI Financials_High_max,Fidelity MSCI Financials_High_min,Fidelity MSCI Financials_High_volatility,Fidelity MSCI Financials_High_change,Fidelity MSCI Financials_Low_average,Fidelity MSCI Financials_Low_max,Fidelity MSCI Financials_Low_min,Fidelity MSCI Financials_Low_volatility,Fidelity MSCI Financials_Low_change,Fidelity MSCI Financials_Close_average,Fidelity MSCI Financials_Close_max,Fidelity MSCI Financials_Close_min,Fidelity MSCI Financials_Close_volatility,Fidelity MSCI Financials_Close_change
2018-01-14,42.91,42.91,42.91,0.0,0.0,43.28,43.28,43.28,0.0,0.0,42.91,42.91,42.91,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2018-01-21,43.8,43.8,43.8,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.54,43.54,43.54,0.0,0.0
2018-01-28,41.9,41.9,41.9,0.0,0.0,42.42,42.42,42.42,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.61,40.61,40.61,0.0,0.0
2018-02-04,40.69,40.69,40.69,0.0,0.0,41.25,41.25,41.25,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.86,40.86,40.86,0.0,0.0
2018-02-11,42.09,42.09,42.09,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.09,42.09,42.09,0.0,0.0,42.28,42.28,42.28,0.0,0.0
2018-02-18,42.54,42.54,42.54,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-02-25,41.2,41.2,41.2,0.0,0.0,42.27,42.27,42.27,0.0,0.0,40.84,40.84,40.84,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2018-03-04,43.31,43.31,43.31,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.1,43.1,43.1,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2018-03-11,42.18,42.18,42.18,0.0,0.0,42.25,42.25,42.25,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.93,41.93,41.93,0.0,0.0
2018-03-18,40.0,40.0,40.0,0.0,0.0,40.6,40.6,40.6,0.0,0.0,39.72,39.72,39.72,0.0,0.0,40.53,40.53,40.53,0.0,0.0
