Date,Direxion Daily Semiconductor Bear 3X SharesEtf_Open_average,Direxion Daily Semiconductor Bear 3X SharesEtf_Open_max,Direxion Daily Semiconductor Bear 3X SharesEtf_Open_min,Direxion Daily Semiconductor Bear 3X SharesEtf_Open_volatility,Direxion Daily Semiconductor Bear 3X SharesEtf_Open_change,Direxion Daily Semiconductor Bear 3X SharesEtf_High_average,Direxion Daily Semiconductor Bear 3X SharesEtf_High_max,Direxion Daily Semiconductor Bear 3X SharesEtf_High_min,Direxion Daily Semiconductor Bear 3X SharesEtf_High_volatility,Direxion Daily Semiconductor Bear 3X SharesEtf_High_change,Direxion Daily Semiconductor Bear 3X SharesEtf_Low_average,Direxion Daily Semiconductor Bear 3X SharesEtf_Low_max,Direxion Daily Semiconductor Bear 3X SharesEtf_Low_min,Direxion Daily Semiconductor Bear 3X SharesEtf_Low_volatility,Direxion Daily Semiconductor Bear 3X SharesEtf_Low_change,Direxion Daily Semiconductor Bear 3X SharesEtf_Close_average,Direxion Daily Semiconductor Bear 3X SharesEtf_Close_max,Direxion Daily Semiconductor Bear 3X SharesEtf_Close_min,Direxion Daily Semiconductor Bear 3X SharesEtf_Close_volatility,Direxion Daily Semiconductor Bear 3X SharesEtf_Close_change
2018-01-14,123.1,123.1,123.1,0.0,0.0,126.5,126.5,126.5,0.0,0.0,122.41,122.41,122.41,0.0,0.0,124.2,124.2,124.2,0.0,0.0
2018-01-21,128.1,128.1,128.1,0.0,0.0,128.2,128.2,128.2,0.0,0.0,120.5,120.5,120.5,0.0,0.0,120.7,120.7,120.7,0.0,0.0
2018-01-28,129.1,129.1,129.1,0.0,0.0,137.5,137.5,137.5,0.0,0.0,129.1,129.1,129.1,0.0,0.0,137.4,137.4,137.4,0.0,0.0
2018-02-04,155.5,155.5,155.5,0.0,0.0,174.0,174.0,174.0,0.0,0.0,149.3,149.3,149.3,0.0,0.0,152.8,152.8,152.8,0.0,0.0
2018-02-11,132.4,132.4,132.4,0.0,0.0,132.4,132.4,132.4,0.0,0.0,126.31,126.31,126.31,0.0,0.0,131.2,131.2,131.2,0.0,0.0
2018-02-18,126.2,126.2,126.2,0.0,0.0,126.4,126.4,126.4,0.0,0.0,121.0,121.0,121.0,0.0,0.0,121.1,121.1,121.1,0.0,0.0
2018-02-25,127.6,127.6,127.6,0.0,0.0,128.0,128.0,128.0,0.0,0.0,116.1,116.1,116.1,0.0,0.0,116.7,116.7,116.7,0.0,0.0
2018-03-04,105.2,105.2,105.2,0.0,0.0,105.2,105.2,105.2,0.0,0.0,100.3,100.3,100.3,0.0,0.0,100.3,100.3,100.3,0.0,0.0
2018-03-11,101.7,101.7,101.7,0.0,0.0,102.7,102.7,102.7,0.0,0.0,100.4,100.4,100.4,0.0,0.0,102.3,102.3,102.3,0.0,0.0
2018-03-18,113.8,113.8,113.8,0.0,0.0,124.7,124.7,124.7,0.0,0.0,113.3,113.3,113.3,0.0,0.0,124.6,124.6,124.6,0.0,0.0
