Date,ProShares UltraShort MSCI Brazil Capped_etf_Open_average,ProShares UltraShort MSCI Brazil Capped_etf_Open_max,ProShares UltraShort MSCI Brazil Capped_etf_Open_min,ProShares UltraShort MSCI Brazil Capped_etf_Open_volatility,ProShares UltraShort MSCI Brazil Capped_etf_Open_change,ProShares UltraShort MSCI Brazil Capped_etf_High_average,ProShares UltraShort MSCI Brazil Capped_etf_High_max,ProShares UltraShort MSCI Brazil Capped_etf_High_min,ProShares UltraShort MSCI Brazil Capped_etf_High_volatility,ProShares UltraShort MSCI Brazil Capped_etf_High_change,ProShares UltraShort MSCI Brazil Capped_etf_Low_average,ProShares UltraShort MSCI Brazil Capped_etf_Low_max,ProShares UltraShort MSCI Brazil Capped_etf_Low_min,ProShares UltraShort MSCI Brazil Capped_etf_Low_volatility,ProShares UltraShort MSCI Brazil Capped_etf_Low_change,ProShares UltraShort MSCI Brazil Capped_etf_Close_average,ProShares UltraShort MSCI Brazil Capped_etf_Close_max,ProShares UltraShort MSCI Brazil Capped_etf_Close_min,ProShares UltraShort MSCI Brazil Capped_etf_Close_volatility,ProShares UltraShort MSCI Brazil Capped_etf_Close_change
2018-01-14,38.4,38.4,38.4,0.0,0.0,38.6,38.6,38.6,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-01-21,33.95,33.95,33.95,0.0,0.0,33.96,33.96,33.96,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2018-01-28,35.4,35.4,35.4,0.0,0.0,36.06,36.06,36.06,0.0,0.0,34.85,34.85,34.85,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-02-04,38.35,38.35,38.35,0.0,0.0,41.25,41.25,41.25,0.0,0.0,38.1,38.1,38.1,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2018-02-11,35.4,35.4,35.4,0.0,0.0,35.5,35.5,35.5,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2018-02-18,33.15,33.15,33.15,0.0,0.0,33.67,33.67,33.67,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-02-25,35.6,35.6,35.6,0.0,0.0,36.2,36.2,36.2,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-03-04,34.2,34.2,34.2,0.0,0.0,34.3,34.3,34.3,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-03-11,36.05,36.05,36.05,0.0,0.0,36.1,36.1,36.1,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-03-18,36.5,36.5,36.5,0.0,0.0,37.1,37.1,37.1,0.0,0.0,35.7,35.7,35.7,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2018-03-25,36.85,36.85,36.85,0.0,0.0,36.95,36.95,36.95,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-04-01,37.05,37.05,37.05,0.0,0.0,38.3,38.3,38.3,0.0,0.0,36.65,36.65,36.65,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2018-04-08,37.95,37.95,37.95,0.0,0.0,39.3,39.3,39.3,0.0,0.0,37.95,37.95,37.95,0.0,0.0,39.1,39.1,39.1,0.0,0.0
2018-04-15,37.55,37.55,37.55,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-04-22,37.45,37.45,37.45,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2018-04-29,42.95,42.95,42.95,0.0,0.0,42.95,42.95,42.95,0.0,0.0,41.51,41.51,41.51,0.0,0.0,42.15,42.15,42.15,0.0,0.0
2018-05-06,40.1,40.1,40.1,0.0,0.0,41.7,41.7,41.7,0.0,0.0,39.56,39.56,39.56,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2018-05-13,47.75,47.75,47.75,0.0,0.0,48.7,48.7,48.7,0.0,0.0,46.9,46.9,46.9,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2018-05-20,47.72,47.72,47.72,0.0,0.0,49.99,49.99,49.99,0.0,0.0,47.58,47.58,47.58,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-05-27,52.52,52.52,52.52,0.0,0.0,56.18,56.18,56.18,0.0,0.0,51.47,51.47,51.47,0.0,0.0,53.33,53.33,53.33,0.0,0.0
2018-06-03,58.53,58.53,58.53,0.0,0.0,63.22,63.22,63.22,0.0,0.0,55.77,55.77,55.77,0.0,0.0,57.6,57.6,57.6,0.0,0.0
2018-06-10,62.23,62.23,62.23,0.0,0.0,63.85,63.85,63.85,0.0,0.0,61.0,61.0,61.0,0.0,0.0,61.4,61.4,61.4,0.0,0.0
2018-06-17,61.81,61.81,61.81,0.0,0.0,63.93,63.93,63.93,0.0,0.0,61.77,61.77,61.77,0.0,0.0,62.77,62.77,62.77,0.0,0.0
2018-06-24,62.0,62.0,62.0,0.0,0.0,63.01,63.01,63.01,0.0,0.0,60.98,60.98,60.98,0.0,0.0,62.46,62.46,62.46,0.0,0.0
2018-07-01,61.91,61.91,61.91,0.0,0.0,62.24,62.24,62.24,0.0,0.0,57.92,57.92,57.92,0.0,0.0,58.26,58.26,58.26,0.0,0.0
2018-07-08,56.87,56.87,56.87,0.0,0.0,57.68,57.68,57.68,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.87,54.87,54.87,0.0,0.0
2018-07-15,49.59,49.59,49.59,0.0,0.0,50.45,50.45,50.45,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-07-22,46.56,46.56,46.56,0.0,0.0,47.32,47.32,47.32,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.61,46.61,46.61,0.0,0.0
2018-07-29,46.64,46.64,46.64,0.0,0.0,46.77,46.77,46.77,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2018-08-05,52.42,52.42,52.42,0.0,0.0,54.43,54.43,54.43,0.0,0.0,52.42,52.42,52.42,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2018-08-12,56.01,56.01,56.01,0.0,0.0,57.06,57.06,57.06,0.0,0.0,55.48,55.48,55.48,0.0,0.0,55.66,55.66,55.66,0.0,0.0
2018-08-19,59.0,59.0,59.0,0.0,0.0,61.7,61.7,61.7,0.0,0.0,58.96,58.96,58.96,0.0,0.0,60.03,60.03,60.03,0.0,0.0
2018-08-26,60.2,60.2,60.2,0.0,0.0,60.88,60.88,60.88,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.73,57.73,57.73,0.0,0.0
2018-09-02,56.62,56.62,56.62,0.0,0.0,58.5,58.5,58.5,0.0,0.0,55.62,55.62,55.62,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2018-09-09,61.37,61.37,61.37,0.0,0.0,63.57,63.57,63.57,0.0,0.0,60.8,60.8,60.8,0.0,0.0,61.32,61.32,61.32,0.0,0.0
2018-09-16,54.67,54.67,54.67,0.0,0.0,54.82,54.82,54.82,0.0,0.0,51.36,51.36,51.36,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2018-09-23,51.82,51.82,51.82,0.0,0.0,52.47,52.47,52.47,0.0,0.0,50.24,50.24,50.24,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2018-09-30,43.15,43.15,43.15,0.0,0.0,44.42,44.42,44.42,0.0,0.0,42.83,42.83,42.83,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2018-10-07,38.93,38.93,38.93,0.0,0.0,39.72,39.72,39.72,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.41,38.41,38.41,0.0,0.0
2018-10-14,37.25,37.25,37.25,0.0,0.0,38.14,38.14,38.14,0.0,0.0,36.7,36.7,36.7,0.0,0.0,37.61,37.61,37.61,0.0,0.0
2018-10-21,36.7,36.7,36.7,0.0,0.0,37.5,37.5,37.5,0.0,0.0,34.84,34.84,34.84,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-10-28,32.17,32.17,32.17,0.0,0.0,33.25,33.25,33.25,0.0,0.0,31.5,31.5,31.5,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2018-11-04,35.85,35.85,35.85,0.0,0.0,37.57,37.57,37.57,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2018-11-11,35.09,35.09,35.09,0.0,0.0,35.37,35.37,35.37,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2018-11-18,36.61,36.61,36.61,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-11-25,34.5,34.5,34.5,0.0,0.0,34.86,34.86,34.86,0.0,0.0,33.91,33.91,33.91,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2018-12-02,34.92,34.92,34.92,0.0,0.0,36.4,36.4,36.4,0.0,0.0,34.07,34.07,34.07,0.0,0.0,36.37,36.37,36.37,0.0,0.0
2018-12-09,36.87,36.87,36.87,0.0,0.0,37.2,37.2,37.2,0.0,0.0,35.93,35.93,35.93,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2018-12-16,37.03,37.03,37.03,0.0,0.0,38.3,38.3,38.3,0.0,0.0,36.41,36.41,36.41,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2018-12-23,36.09,36.09,36.09,0.0,0.0,36.43,36.43,36.43,0.0,0.0,35.43,35.43,35.43,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2018-12-30,30.84,30.84,30.84,0.0,0.0,31.16,31.16,31.16,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2019-01-06,28.47,28.47,28.47,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2019-01-13,27.18,27.18,27.18,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2019-01-20,26.32,26.32,26.32,0.0,0.0,26.98,26.98,26.98,0.0,0.0,25.84,25.84,25.84,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2019-01-27,25.15,25.15,25.15,0.0,0.0,25.38,25.38,25.38,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2019-02-03,27.1,27.1,27.1,0.0,0.0,28.51,28.51,28.51,0.0,0.0,26.97,26.97,26.97,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2019-02-10,25.46,25.46,25.46,0.0,0.0,26.16,26.16,26.16,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2019-02-17,26.13,26.13,26.13,0.0,0.0,26.31,26.31,26.31,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2019-02-24,27.82,27.82,27.82,0.0,0.0,28.31,28.31,28.31,0.0,0.0,27.55,27.55,27.55,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2019-03-03,29.75,29.75,29.75,0.0,0.0,29.9,29.9,29.9,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2019-03-10,26.41,26.41,26.41,0.0,0.0,26.46,26.46,26.46,0.0,0.0,25.97,25.97,25.97,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2019-03-17,28.96,28.96,28.96,0.0,0.0,30.23,30.23,30.23,0.0,0.0,28.56,28.56,28.56,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2019-03-24,28.87,28.87,28.87,0.0,0.0,29.15,29.15,29.15,0.0,0.0,27.99,27.99,27.99,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2019-03-31,27.44,27.44,27.44,0.0,0.0,27.66,27.66,27.66,0.0,0.0,26.74,26.74,26.74,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2019-04-07,28.79,28.79,28.79,0.0,0.0,30.1,30.1,30.1,0.0,0.0,28.24,28.24,28.24,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2019-04-14,29.84,29.84,29.84,0.0,0.0,30.34,30.34,30.34,0.0,0.0,28.61,28.61,28.61,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2019-04-21,28.5,28.5,28.5,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2019-04-28,28.54,28.54,28.54,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2019-05-05,29.46,29.46,29.46,0.0,0.0,30.8,30.8,30.8,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2019-05-12,34.3,34.3,34.3,0.0,0.0,35.37,35.37,35.37,0.0,0.0,33.55,33.55,33.55,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2019-05-19,30.4,30.4,30.4,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2019-05-26,27.69,27.69,27.69,0.0,0.0,27.8,27.8,27.8,0.0,0.0,26.58,26.58,26.58,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2019-06-02,26.38,26.38,26.38,0.0,0.0,26.4,26.4,26.4,0.0,0.0,25.58,25.58,25.58,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2019-06-09,25.68,25.68,25.68,0.0,0.0,26.66,26.66,26.66,0.0,0.0,25.58,25.58,25.58,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2019-06-16,23.77,23.77,23.77,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2019-06-23,23.56,23.56,23.56,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.41,23.41,23.41,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2019-06-30,22.65,22.65,22.65,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.08,22.08,22.08,0.0,0.0,22.13,22.13,22.13,0.0,0.0
2019-07-07,20.76,20.76,20.76,0.0,0.0,21.25,21.25,21.25,0.0,0.0,20.63,20.63,20.63,0.0,0.0,21.15,21.15,21.15,0.0,0.0
2019-07-14,20.93,20.93,20.93,0.0,0.0,21.55,21.55,21.55,0.0,0.0,20.93,20.93,20.93,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2019-07-21,21.94,21.94,21.94,0.0,0.0,22.43,22.43,22.43,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2019-07-28,23.08,23.08,23.08,0.0,0.0,23.9,23.9,23.9,0.0,0.0,22.93,22.93,22.93,0.0,0.0,23.49,23.49,23.49,0.0,0.0
2019-08-04,23.1,23.1,23.1,0.0,0.0,23.52,23.52,23.52,0.0,0.0,22.76,22.76,22.76,0.0,0.0,23.25,23.25,23.25,0.0,0.0
