Date,Virtus Newfleet Dynamic Credit_Open_average,Virtus Newfleet Dynamic Credit_Open_max,Virtus Newfleet Dynamic Credit_Open_min,Virtus Newfleet Dynamic Credit_Open_volatility,Virtus Newfleet Dynamic Credit_Open_change,Virtus Newfleet Dynamic Credit_High_average,Virtus Newfleet Dynamic Credit_High_max,Virtus Newfleet Dynamic Credit_High_min,Virtus Newfleet Dynamic Credit_High_volatility,Virtus Newfleet Dynamic Credit_High_change,Virtus Newfleet Dynamic Credit_Low_average,Virtus Newfleet Dynamic Credit_Low_max,Virtus Newfleet Dynamic Credit_Low_min,Virtus Newfleet Dynamic Credit_Low_volatility,Virtus Newfleet Dynamic Credit_Low_change,Virtus Newfleet Dynamic Credit_Close_average,Virtus Newfleet Dynamic Credit_Close_max,Virtus Newfleet Dynamic Credit_Close_min,Virtus Newfleet Dynamic Credit_Close_volatility,Virtus Newfleet Dynamic Credit_Close_change
2018-01-14,24.95,24.95,24.95,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.89,24.89,24.89,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-01-21,24.99,24.99,24.99,0.0,0.0,25.05,25.05,25.05,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-01-28,24.89,24.89,24.89,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-02-04,24.65,24.65,24.65,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-02-11,24.6,24.6,24.6,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2018-02-18,24.72,24.72,24.72,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2018-02-25,24.71,24.71,24.71,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-03-04,24.73,24.73,24.73,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.73,24.73,24.73,0.0,0.0
2018-03-11,24.75,24.75,24.75,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2018-03-18,24.57,24.57,24.57,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2018-03-25,24.7,24.7,24.7,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.47,24.47,24.47,0.0,0.0
2018-04-01,24.65,24.65,24.65,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.59,24.59,24.59,0.0,0.0
2018-04-08,24.72,24.72,24.72,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2018-04-15,24.51,24.51,24.51,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2018-04-22,24.52,24.52,24.52,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.47,24.47,24.47,0.0,0.0
2018-04-29,24.49,24.49,24.49,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-05-06,24.5,24.5,24.5,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2018-05-13,24.52,24.52,24.52,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-05-20,24.5,24.5,24.5,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2018-05-27,24.55,24.55,24.55,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2018-06-03,24.66,24.66,24.66,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.64,24.64,24.64,0.0,0.0
2018-06-10,24.68,24.68,24.68,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2018-06-17,24.59,24.59,24.59,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2018-06-24,24.27,24.27,24.27,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.47,24.47,24.47,0.0,0.0
2018-07-01,24.54,24.54,24.54,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2018-07-08,24.61,24.61,24.61,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.61,24.61,24.61,0.0,0.0
