Date,John Hancock Multifactor Industrials_Open_average,John Hancock Multifactor Industrials_Open_max,John Hancock Multifactor Industrials_Open_min,John Hancock Multifactor Industrials_Open_volatility,John Hancock Multifactor Industrials_Open_change,John Hancock Multifactor Industrials_High_average,John Hancock Multifactor Industrials_High_max,John Hancock Multifactor Industrials_High_min,John Hancock Multifactor Industrials_High_volatility,John Hancock Multifactor Industrials_High_change,John Hancock Multifactor Industrials_Low_average,John Hancock Multifactor Industrials_Low_max,John Hancock Multifactor Industrials_Low_min,John Hancock Multifactor Industrials_Low_volatility,John Hancock Multifactor Industrials_Low_change,John Hancock Multifactor Industrials_Close_average,John Hancock Multifactor Industrials_Close_max,John Hancock Multifactor Industrials_Close_min,John Hancock Multifactor Industrials_Close_volatility,John Hancock Multifactor Industrials_Close_change
2018-01-14,36.99,36.99,36.99,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-01-21,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-01-28,36.49,36.49,36.49,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2018-02-04,33.75,33.75,33.75,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.82,33.82,33.82,0.0,0.0
2018-02-11,35.66,35.66,35.66,0.0,0.0,37.25,37.25,37.25,0.0,0.0,34.58,34.58,34.58,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2018-02-18,35.54,35.54,35.54,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-02-25,34.39,34.39,34.39,0.0,0.0,36.07,36.07,36.07,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2018-03-04,35.94,35.94,35.94,0.0,0.0,36.33,36.33,36.33,0.0,0.0,35.94,35.94,35.94,0.0,0.0,36.33,36.33,36.33,0.0,0.0
2018-03-11,35.93,35.93,35.93,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2018-03-18,34.78,34.78,34.78,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2018-03-25,34.66,34.66,34.66,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2018-04-01,35.04,35.04,35.04,0.0,0.0,35.04,35.04,35.04,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2018-04-08,34.53,34.53,34.53,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.53,34.53,34.53,0.0,0.0
2018-04-15,35.09,35.09,35.09,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2018-04-22,34.09,34.09,34.09,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-04-29,33.52,33.52,33.52,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.52,33.52,33.52,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2018-05-06,34.9,34.9,34.9,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.91,34.91,34.91,0.0,0.0
2018-05-13,35.19,35.19,35.19,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.13,35.13,35.13,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-05-20,35.16,35.16,35.16,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.16,35.16,35.16,0.0,0.0,35.16,35.16,35.16,0.0,0.0
2018-05-27,35.1,35.1,35.1,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-06-03,35.61,35.61,35.61,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2018-06-10,35.44,35.44,35.44,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2018-06-17,34.89,34.89,34.89,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2018-06-24,33.63,33.63,33.63,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2018-07-01,34.42,34.42,34.42,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2018-07-08,35.01,35.01,35.01,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.01,35.01,35.01,0.0,0.0
