Date,PureFunds ISE Cyber Security_Open_average,PureFunds ISE Cyber Security_Open_max,PureFunds ISE Cyber Security_Open_min,PureFunds ISE Cyber Security_Open_volatility,PureFunds ISE Cyber Security_Open_change,PureFunds ISE Cyber Security_High_average,PureFunds ISE Cyber Security_High_max,PureFunds ISE Cyber Security_High_min,PureFunds ISE Cyber Security_High_volatility,PureFunds ISE Cyber Security_High_change,PureFunds ISE Cyber Security_Low_average,PureFunds ISE Cyber Security_Low_max,PureFunds ISE Cyber Security_Low_min,PureFunds ISE Cyber Security_Low_volatility,PureFunds ISE Cyber Security_Low_change,PureFunds ISE Cyber Security_Close_average,PureFunds ISE Cyber Security_Close_max,PureFunds ISE Cyber Security_Close_min,PureFunds ISE Cyber Security_Close_volatility,PureFunds ISE Cyber Security_Close_change
2018-01-14,33.23,33.23,33.23,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-01-21,33.65,33.65,33.65,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2018-01-28,32.46,32.46,32.46,0.0,0.0,32.9,32.9,32.9,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2018-02-04,31.87,31.87,31.87,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.99,31.99,31.99,0.0,0.0
2018-02-11,33.86,33.86,33.86,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2018-02-18,34.46,34.46,34.46,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2018-02-25,34.61,34.61,34.61,0.0,0.0,35.12,35.12,35.12,0.0,0.0,34.53,34.53,34.53,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2018-03-04,36.29,36.29,36.29,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-03-11,35.49,35.49,35.49,0.0,0.0,35.49,35.49,35.49,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.93,34.93,34.93,0.0,0.0
2018-03-18,34.39,34.39,34.39,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.73,34.73,34.73,0.0,0.0
