Date,SWX_stock_Open_average,SWX_stock_Open_max,SWX_stock_Open_min,SWX_stock_Open_volatility,SWX_stock_Open_change,SWX_stock_High_average,SWX_stock_High_max,SWX_stock_High_min,SWX_stock_High_volatility,SWX_stock_High_change,SWX_stock_Low_average,SWX_stock_Low_max,SWX_stock_Low_min,SWX_stock_Low_volatility,SWX_stock_Low_change,SWX_stock_Close_average,SWX_stock_Close_max,SWX_stock_Close_min,SWX_stock_Close_volatility,SWX_stock_Close_change,SWX_stock_Volume_average,SWX_stock_Volume_max,SWX_stock_Volume_min,SWX_stock_Volume_volatility,SWX_stock_Volume_change
2018-01-14,75.245,75.95,74.09,1.8599999999999994,-1.8599999999999994,76.09,76.61,75.11,1.5,-1.4399999999999977,74.4125,75.22,73.52,1.7000000000000028,-1.1700000000000017,74.9125,76.07,74.24,1.8299999999999983,-0.8000000000000114,174347,204632,141726,62906,25908
2018-01-21,75.004,75.66,74.31,1.3499999999999943,1.3499999999999943,75.706,75.93,75.08,0.8500000000000085,0.8500000000000085,74.43599999999999,74.74,74.08,0.6599999999999966,0.3500000000000085,75.13799999999999,75.77,74.5,1.269999999999996,0.6899999999999977,153590,215012,115106,99906,85778
2018-01-28,73.858,75.02,72.96,2.0600000000000023,-2.0600000000000023,74.4,75.93,73.31,2.6200000000000045,-2.6200000000000045,72.998,74.1,72.12,1.9799999999999898,-1.9799999999999898,73.348,74.2,72.22,1.980000000000004,-1.980000000000004,194478,241142,146066,95076,9227
2018-02-04,68.614,71.77,67.0,4.769999999999996,-4.769999999999996,70.048,72.08,68.91,3.1700000000000017,-1.4699999999999989,67.444,69.44,66.61,2.8299999999999983,-2.509999999999991,68.47,69.91,66.68,3.2299999999999898,0.3999999999999915,307379,389308,230351,158957,-14830
2018-02-11,68.55799999999999,69.94,67.3,2.6400000000000006,-1.3599999999999994,69.10000000000001,70.18,67.97,2.210000000000008,-0.8900000000000006,67.586,68.55,66.98,1.5699999999999932,-0.769999999999996,68.482,69.8,67.05,2.75,-0.9500000000000028,196100,236713,147862,88851,-31832
2018-02-18,67.9325,68.67,66.95,1.7199999999999989,-0.6400000000000006,68.6575,69.24,68.03,1.2099999999999937,0.47999999999998977,67.125,67.71,66.74,0.9699999999999989,0.4899999999999949,67.9,69.17,66.87,2.299999999999997,1.1299999999999955,166729,190014,135920,54094,-40652
2018-02-25,67.572,70.0,63.69,6.310000000000002,-5.829999999999998,68.258,70.03,64.37,5.659999999999997,-5.659999999999997,65.842,68.06,62.53,5.530000000000001,-5.530000000000001,66.492,68.88,64.14,4.739999999999995,-4.739999999999995,305814,649678,111513,538165,538165
2018-03-04,66.846,67.87,64.13,3.740000000000009,3.740000000000009,68.262,69.33,67.55,1.7800000000000011,1.3299999999999983,66.362,67.31,63.91,3.4000000000000057,3.219999999999999,67.904,69.26,67.23,2.030000000000001,1.7000000000000028,288731,317036,266930,50106,-50106
2018-03-11,70.302,71.05,69.34,1.7099999999999937,0.5099999999999909,70.848,71.11,70.53,0.5799999999999983,-0.4000000000000057,69.664,70.28,69.34,0.9399999999999977,0.1799999999999926,70.398,70.69,69.94,0.75,-0.269999999999996,325288,485782,247670,238112,143768
2018-03-18,68.8,70.39,67.43,2.9599999999999937,-2.9599999999999937,69.342,70.39,67.97,2.4200000000000017,-2.4200000000000017,67.586,68.65,66.13,2.5200000000000102,-2.5200000000000102,67.996,69.48,66.2,3.280000000000001,-3.280000000000001,232766,311998,146767,165231,85885
2018-03-25,67.0975,67.9,66.42,1.480000000000004,1.480000000000004,67.85,68.5,66.75,1.75,1.75,66.37,67.55,65.2,2.3499999999999943,2.3499999999999943,67.28,67.63,66.68,0.9499999999999886,0.9499999999999886,296755,424178,227927,196251,-133517
2018-04-01,67.71600000000001,68.63,67.15,1.4799999999999898,1.039999999999992,68.464,69.73,67.57,2.160000000000011,1.6400000000000006,67.17399999999999,68.53,66.49,2.0400000000000063,1.6800000000000068,68.048,69.07,67.29,1.779999999999987,1.4199999999999875,275931,291869,251489,40380,-33480
2018-04-08,69.268,69.53,68.72,0.8100000000000023,-0.6299999999999955,69.722,70.2,69.1,1.1000000000000085,-0.7800000000000011,68.538,69.33,68.2,1.1299999999999955,-0.25,69.158,69.51,68.61,0.9000000000000057,-0.46000000000000796,243090,373771,135357,238414,-221091
