Date,Franklin LibertyQ Global Dividend_Open_average,Franklin LibertyQ Global Dividend_Open_max,Franklin LibertyQ Global Dividend_Open_min,Franklin LibertyQ Global Dividend_Open_volatility,Franklin LibertyQ Global Dividend_Open_change,Franklin LibertyQ Global Dividend_High_average,Franklin LibertyQ Global Dividend_High_max,Franklin LibertyQ Global Dividend_High_min,Franklin LibertyQ Global Dividend_High_volatility,Franklin LibertyQ Global Dividend_High_change,Franklin LibertyQ Global Dividend_Low_average,Franklin LibertyQ Global Dividend_Low_max,Franklin LibertyQ Global Dividend_Low_min,Franklin LibertyQ Global Dividend_Low_volatility,Franklin LibertyQ Global Dividend_Low_change,Franklin LibertyQ Global Dividend_Close_average,Franklin LibertyQ Global Dividend_Close_max,Franklin LibertyQ Global Dividend_Close_min,Franklin LibertyQ Global Dividend_Close_volatility,Franklin LibertyQ Global Dividend_Close_change
2018-01-14,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2018-01-21,30.28,30.28,30.28,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-01-28,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2018-02-04,28.1,28.1,28.1,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-02-11,29.03,29.03,29.03,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2018-02-18,29.07,29.07,29.07,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2018-02-25,28.09,28.09,28.09,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-03-04,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2018-03-11,28.88,28.88,28.88,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.85,28.85,28.85,0.0,0.0
2018-03-18,28.02,28.02,28.02,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2018-03-25,28.16,28.16,28.16,0.0,0.0,28.21,28.21,28.21,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2018-04-01,28.25,28.25,28.25,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-04-08,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2018-04-15,28.0,28.0,28.0,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2018-04-22,28.23,28.23,28.23,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2018-04-29,27.9,27.9,27.9,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2018-05-06,28.13,28.13,28.13,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-05-13,27.94,27.94,27.94,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2018-05-20,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2018-05-27,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2018-06-03,27.96,27.96,27.96,0.0,0.0,28.04,28.04,28.04,0.0,0.0,27.92,27.92,27.92,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2018-06-10,27.55,27.55,27.55,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2018-06-17,27.51,27.51,27.51,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2018-06-24,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2018-07-01,27.87,27.87,27.87,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-07-08,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2018-07-15,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-07-22,28.3,28.3,28.3,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.3,28.3,28.3,0.0,0.0
2018-07-29,28.29,28.29,28.29,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-08-05,27.83,27.83,27.83,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2018-08-12,28.24,28.24,28.24,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2018-08-19,28.37,28.37,28.37,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2018-08-26,28.13,28.13,28.13,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-09-02,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2018-09-09,28.25,28.25,28.25,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.23,28.23,28.23,0.0,0.0
