Date,Deutsche X-trackers MSCI Japan Hedged Equity_Open_average,Deutsche X-trackers MSCI Japan Hedged Equity_Open_max,Deutsche X-trackers MSCI Japan Hedged Equity_Open_min,Deutsche X-trackers MSCI Japan Hedged Equity_Open_volatility,Deutsche X-trackers MSCI Japan Hedged Equity_Open_change,Deutsche X-trackers MSCI Japan Hedged Equity_High_average,Deutsche X-trackers MSCI Japan Hedged Equity_High_max,Deutsche X-trackers MSCI Japan Hedged Equity_High_min,Deutsche X-trackers MSCI Japan Hedged Equity_High_volatility,Deutsche X-trackers MSCI Japan Hedged Equity_High_change,Deutsche X-trackers MSCI Japan Hedged Equity_Low_average,Deutsche X-trackers MSCI Japan Hedged Equity_Low_max,Deutsche X-trackers MSCI Japan Hedged Equity_Low_min,Deutsche X-trackers MSCI Japan Hedged Equity_Low_volatility,Deutsche X-trackers MSCI Japan Hedged Equity_Low_change,Deutsche X-trackers MSCI Japan Hedged Equity_Close_average,Deutsche X-trackers MSCI Japan Hedged Equity_Close_max,Deutsche X-trackers MSCI Japan Hedged Equity_Close_min,Deutsche X-trackers MSCI Japan Hedged Equity_Close_volatility,Deutsche X-trackers MSCI Japan Hedged Equity_Close_change
2018-01-14,46.18,46.18,46.18,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.17,46.17,46.17,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2018-01-21,45.72,45.72,45.72,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.66,45.66,45.66,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2018-01-28,43.95,43.95,43.95,0.0,0.0,44.37,44.37,44.37,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.36,42.36,42.36,0.0,0.0
2018-02-04,42.49,42.49,42.49,0.0,0.0,42.96,42.96,42.96,0.0,0.0,42.24,42.24,42.24,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-02-11,42.56,42.56,42.56,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-02-18,43.43,43.43,43.43,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.72,43.72,43.72,0.0,0.0
2018-02-25,41.12,41.12,41.12,0.0,0.0,41.93,41.93,41.93,0.0,0.0,41.12,41.12,41.12,0.0,0.0,41.88,41.88,41.88,0.0,0.0
2018-03-04,42.42,42.42,42.42,0.0,0.0,42.52,42.52,42.52,0.0,0.0,42.22,42.22,42.22,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2018-03-11,41.85,41.85,41.85,0.0,0.0,41.86,41.86,41.86,0.0,0.0,41.15,41.15,41.15,0.0,0.0,41.46,41.46,41.46,0.0,0.0
2018-03-18,40.57,40.57,40.57,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.81,40.81,40.81,0.0,0.0
