Date,CHK_stock_Open_average,CHK_stock_Open_max,CHK_stock_Open_min,CHK_stock_Open_volatility,CHK_stock_Open_change,CHK_stock_High_average,CHK_stock_High_max,CHK_stock_High_min,CHK_stock_High_volatility,CHK_stock_High_change,CHK_stock_Low_average,CHK_stock_Low_max,CHK_stock_Low_min,CHK_stock_Low_volatility,CHK_stock_Low_change,CHK_stock_Close_average,CHK_stock_Close_max,CHK_stock_Close_min,CHK_stock_Close_volatility,CHK_stock_Close_change,CHK_stock_Volume_average,CHK_stock_Volume_max,CHK_stock_Volume_min,CHK_stock_Volume_volatility,CHK_stock_Volume_change
2018-01-14,4.135,4.3,4.0,0.2999999999999998,-0.2999999999999998,4.14,4.3,4.0,0.2999999999999998,-0.2999999999999998,4.005,4.12,3.91,0.20999999999999996,-0.20999999999999996,4.0425,4.14,3.95,0.1899999999999995,-0.1899999999999995,28091996,33307850,22388586,10919264,-10474018
2018-01-21,4.05,4.14,3.97,0.16999999999999948,0.029999999999999805,4.094,4.18,3.99,0.1899999999999995,0.019999999999999574,3.96,4.07,3.9,0.17000000000000037,0.040000000000000036,4.016,4.08,3.96,0.1200000000000001,0.029999999999999805,28115642,32781940,20907786,11874154,-7388756
2018-01-28,3.68,3.95,3.43,0.52,-0.52,3.694,3.99,3.44,0.5500000000000003,-0.5500000000000003,3.516,3.86,3.3,0.56,-0.56,3.56,3.88,3.33,0.5499999999999998,-0.5499999999999998,44392774,58594744,26759540,31835204,16216404
2018-02-04,3.04,3.3,2.85,0.44999999999999973,-0.44999999999999973,3.109,3.37,2.87,0.5,-0.5,2.822,3.0,2.53,0.4700000000000002,-0.4700000000000002,2.956,3.13,2.82,0.31000000000000005,-0.23999999999999977,54049588,71174880,33741896,37432984,14576468
2018-02-11,2.828,2.92,2.7,0.21999999999999975,-0.06999999999999984,2.8890000000000002,2.97,2.86,0.11000000000000032,-0.11000000000000032,2.728,2.84,2.66,0.17999999999999972,-0.13999999999999968,2.796,2.86,2.73,0.1299999999999999,-0.1200000000000001,29518913,32884840,26924864,5959976,-3828226
2018-02-18,2.95,3.38,2.77,0.6099999999999999,0.6099999999999999,3.08575,3.43,2.79,0.6400000000000001,0.6400000000000001,2.815,3.04,2.63,0.41000000000000014,0.31000000000000005,2.95,3.2,2.63,0.5700000000000003,0.43000000000000016,66615870,130538192,21245840,109292352,57192440
2018-02-25,3.0140000000000002,3.2,2.8,0.40000000000000036,-0.40000000000000036,3.096,3.28,2.9,0.3799999999999999,-0.2999999999999998,2.892,3.06,2.77,0.29000000000000004,-0.29000000000000004,2.9699999999999998,3.21,2.8,0.41000000000000014,-0.25,41156387,53447264,31861760,21585504,-6336496
2018-03-04,3.054,3.16,2.95,0.20999999999999996,0.09999999999999964,3.138,3.18,3.08,0.10000000000000009,-0.07000000000000028,2.989,3.025,2.93,0.09499999999999975,0.07999999999999963,3.068,3.12,2.97,0.1499999999999999,-0.020000000000000018,28574577,37361888,21201472,16160416,-8235144
2018-03-11,3.094,3.15,3.03,0.1200000000000001,-0.08000000000000007,3.152,3.17,3.12,0.04999999999999982,-0.040000000000000036,3.024,3.09,2.98,0.10999999999999988,-0.06999999999999984,3.068,3.12,3.02,0.10000000000000009,-0.04999999999999982,62744447,197228544,24317148,172911396,170932872
2018-03-18,378.012,630.0,3.01,626.99,626.95,387.244,648.0,3.09,644.91,638.91,370.8,622.0,2.99,619.01,607.01,377.624,646.0,3.01,642.99,610.99,12148997,32384296,104966,32279330,-27819454
