Date,Health Care Select Sector SPDR_etf_Open_average,Health Care Select Sector SPDR_etf_Open_max,Health Care Select Sector SPDR_etf_Open_min,Health Care Select Sector SPDR_etf_Open_volatility,Health Care Select Sector SPDR_etf_Open_change,Health Care Select Sector SPDR_etf_High_average,Health Care Select Sector SPDR_etf_High_max,Health Care Select Sector SPDR_etf_High_min,Health Care Select Sector SPDR_etf_High_volatility,Health Care Select Sector SPDR_etf_High_change,Health Care Select Sector SPDR_etf_Low_average,Health Care Select Sector SPDR_etf_Low_max,Health Care Select Sector SPDR_etf_Low_min,Health Care Select Sector SPDR_etf_Low_volatility,Health Care Select Sector SPDR_etf_Low_change,Health Care Select Sector SPDR_etf_Close_average,Health Care Select Sector SPDR_etf_Close_max,Health Care Select Sector SPDR_etf_Close_min,Health Care Select Sector SPDR_etf_Close_volatility,Health Care Select Sector SPDR_etf_Close_change
2018-01-14,87.88,87.88,87.88,0.0,0.0,87.9,87.9,87.9,0.0,0.0,87.43,87.43,87.43,0.0,0.0,87.87,87.87,87.87,0.0,0.0
2018-01-21,89.44,89.44,89.44,0.0,0.0,90.97,90.97,90.97,0.0,0.0,89.42,89.42,89.42,0.0,0.0,90.95,90.95,90.95,0.0,0.0
2018-01-28,86.84,86.84,86.84,0.0,0.0,87.61,87.61,87.61,0.0,0.0,86.31,86.31,86.31,0.0,0.0,86.33,86.33,86.33,0.0,0.0
2018-02-04,81.16,81.16,81.16,0.0,0.0,82.26,82.26,82.26,0.0,0.0,79.05,79.05,79.05,0.0,0.0,81.57,81.57,81.57,0.0,0.0
2018-02-11,83.83,83.83,83.83,0.0,0.0,85.45,85.45,85.45,0.0,0.0,83.83,83.83,83.83,0.0,0.0,84.86,84.86,84.86,0.0,0.0
2018-02-18,83.94,83.94,83.94,0.0,0.0,84.81,84.81,84.81,0.0,0.0,83.58,83.58,83.58,0.0,0.0,84.78,84.78,84.78,0.0,0.0
2018-02-25,81.82,81.82,81.82,0.0,0.0,83.28,83.28,83.28,0.0,0.0,81.81,81.81,81.81,0.0,0.0,83.1,83.1,83.1,0.0,0.0
2018-03-04,85.25,85.25,85.25,0.0,0.0,85.98,85.98,85.98,0.0,0.0,84.93,84.93,84.93,0.0,0.0,85.95,85.95,85.95,0.0,0.0
2018-03-11,84.83,84.83,84.83,0.0,0.0,85.29,85.29,85.29,0.0,0.0,84.83,84.83,84.83,0.0,0.0,84.84,84.84,84.84,0.0,0.0
2018-03-18,80.91,80.91,80.91,0.0,0.0,81.08,81.08,81.08,0.0,0.0,79.09,79.09,79.09,0.0,0.0,79.15,79.15,79.15,0.0,0.0
2018-03-25,80.69,80.69,80.69,0.0,0.0,81.46,81.46,81.46,0.0,0.0,80.15,80.15,80.15,0.0,0.0,80.87,80.87,80.87,0.0,0.0
2018-04-01,80.65,80.65,80.65,0.0,0.0,81.04,81.04,81.04,0.0,0.0,78.65,78.65,78.65,0.0,0.0,79.36,79.36,79.36,0.0,0.0
2018-04-08,81.77,81.77,81.77,0.0,0.0,81.84,81.84,81.84,0.0,0.0,80.9,80.9,80.9,0.0,0.0,81.34,81.34,81.34,0.0,0.0
2018-04-15,82.07,82.07,82.07,0.0,0.0,82.19,82.19,82.19,0.0,0.0,81.29,81.29,81.29,0.0,0.0,81.56,81.56,81.56,0.0,0.0
2018-04-22,82.6,82.6,82.6,0.0,0.0,83.13,83.13,83.13,0.0,0.0,82.42,82.42,82.42,0.0,0.0,83.0,83.0,83.0,0.0,0.0
2018-04-29,79.6,79.6,79.6,0.0,0.0,80.74,80.74,80.74,0.0,0.0,79.29,79.29,79.29,0.0,0.0,80.48,80.48,80.48,0.0,0.0
2018-05-06,81.35,81.35,81.35,0.0,0.0,82.65,82.65,82.65,0.0,0.0,81.2,81.2,81.2,0.0,0.0,82.49,82.49,82.49,0.0,0.0
2018-05-13,82.51,82.51,82.51,0.0,0.0,82.83,82.83,82.83,0.0,0.0,82.23,82.23,82.23,0.0,0.0,82.66,82.66,82.66,0.0,0.0
2018-05-20,82.55,82.55,82.55,0.0,0.0,82.92,82.92,82.92,0.0,0.0,82.26,82.26,82.26,0.0,0.0,82.4,82.4,82.4,0.0,0.0
2018-05-27,82.21,82.21,82.21,0.0,0.0,82.85,82.85,82.85,0.0,0.0,82.12,82.12,82.12,0.0,0.0,82.82,82.82,82.82,0.0,0.0
2018-06-03,83.97,83.97,83.97,0.0,0.0,84.55,84.55,84.55,0.0,0.0,83.83,83.83,83.83,0.0,0.0,84.49,84.49,84.49,0.0,0.0
2018-06-10,84.64,84.64,84.64,0.0,0.0,84.95,84.95,84.95,0.0,0.0,84.25,84.25,84.25,0.0,0.0,84.91,84.91,84.91,0.0,0.0
2018-06-17,84.31,84.31,84.31,0.0,0.0,84.7,84.7,84.7,0.0,0.0,84.09,84.09,84.09,0.0,0.0,84.38,84.38,84.38,0.0,0.0
2018-06-24,83.01,83.01,83.01,0.0,0.0,83.66,83.66,83.66,0.0,0.0,82.86,82.86,82.86,0.0,0.0,82.92,82.92,82.92,0.0,0.0
2018-07-01,84.65,84.65,84.65,0.0,0.0,85.6,85.6,85.6,0.0,0.0,84.55,84.55,84.55,0.0,0.0,85.45,85.45,85.45,0.0,0.0
2018-07-08,86.49,86.49,86.49,0.0,0.0,87.02,87.02,87.02,0.0,0.0,86.44,86.44,86.44,0.0,0.0,86.83,86.83,86.83,0.0,0.0
2018-07-15,86.13,86.13,86.13,0.0,0.0,86.33,86.33,86.33,0.0,0.0,85.95,85.95,85.95,0.0,0.0,86.2,86.2,86.2,0.0,0.0
2018-07-22,88.07,88.07,88.07,0.0,0.0,88.07,88.07,88.07,0.0,0.0,87.07,87.07,87.07,0.0,0.0,87.39,87.39,87.39,0.0,0.0
2018-07-29,88.77,88.77,88.77,0.0,0.0,89.29,89.29,89.29,0.0,0.0,88.65,88.65,88.65,0.0,0.0,89.23,89.23,89.23,0.0,0.0
