Date,iShares California AMT-Free Muni Bond_Open_average,iShares California AMT-Free Muni Bond_Open_max,iShares California AMT-Free Muni Bond_Open_min,iShares California AMT-Free Muni Bond_Open_volatility,iShares California AMT-Free Muni Bond_Open_change,iShares California AMT-Free Muni Bond_High_average,iShares California AMT-Free Muni Bond_High_max,iShares California AMT-Free Muni Bond_High_min,iShares California AMT-Free Muni Bond_High_volatility,iShares California AMT-Free Muni Bond_High_change,iShares California AMT-Free Muni Bond_Low_average,iShares California AMT-Free Muni Bond_Low_max,iShares California AMT-Free Muni Bond_Low_min,iShares California AMT-Free Muni Bond_Low_volatility,iShares California AMT-Free Muni Bond_Low_change,iShares California AMT-Free Muni Bond_Close_average,iShares California AMT-Free Muni Bond_Close_max,iShares California AMT-Free Muni Bond_Close_min,iShares California AMT-Free Muni Bond_Close_volatility,iShares California AMT-Free Muni Bond_Close_change
2018-01-14,58.99,58.99,58.99,0.0,0.0,59.01,59.01,59.01,0.0,0.0,58.84,58.84,58.84,0.0,0.0,58.88,58.88,58.88,0.0,0.0
2018-01-21,58.84,58.84,58.84,0.0,0.0,58.84,58.84,58.84,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.73,58.73,58.73,0.0,0.0
2018-01-28,58.19,58.19,58.19,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.28,58.28,58.28,0.0,0.0
2018-02-04,58.37,58.37,58.37,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.31,58.31,58.31,0.0,0.0
2018-02-11,58.2,58.2,58.2,0.0,0.0,58.23,58.23,58.23,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-02-18,58.19,58.19,58.19,0.0,0.0,58.29,58.29,58.29,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.21,58.21,58.21,0.0,0.0
2018-02-25,58.15,58.15,58.15,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.11,58.11,58.11,0.0,0.0,58.24,58.24,58.24,0.0,0.0
2018-03-04,58.06,58.06,58.06,0.0,0.0,58.12,58.12,58.12,0.0,0.0,58.01,58.01,58.01,0.0,0.0,58.01,58.01,58.01,0.0,0.0
2018-03-11,58.09,58.09,58.09,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.07,58.07,58.07,0.0,0.0,58.18,58.18,58.18,0.0,0.0
2018-03-18,58.09,58.09,58.09,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.16,58.16,58.16,0.0,0.0
2018-03-25,58.1,58.1,58.1,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.1,58.1,58.1,0.0,0.0,58.21,58.21,58.21,0.0,0.0
2018-04-01,58.05,58.05,58.05,0.0,0.0,58.1,58.1,58.1,0.0,0.0,58.03,58.03,58.03,0.0,0.0,58.1,58.1,58.1,0.0,0.0
2018-04-08,58.09,58.09,58.09,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.09,58.09,58.09,0.0,0.0,58.16,58.16,58.16,0.0,0.0
2018-04-15,58.02,58.02,58.02,0.0,0.0,58.06,58.06,58.06,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.94,57.94,57.94,0.0,0.0
2018-04-22,57.83,57.83,57.83,0.0,0.0,58.0,58.0,58.0,0.0,0.0,57.83,57.83,57.83,0.0,0.0,57.9,57.9,57.9,0.0,0.0
2018-04-29,58.19,58.19,58.19,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.16,58.16,58.16,0.0,0.0
2018-05-06,58.22,58.22,58.22,0.0,0.0,58.26,58.26,58.26,0.0,0.0,58.17,58.17,58.17,0.0,0.0,58.22,58.22,58.22,0.0,0.0
2018-05-13,57.93,57.93,57.93,0.0,0.0,58.08,58.08,58.08,0.0,0.0,57.93,57.93,57.93,0.0,0.0,58.05,58.05,58.05,0.0,0.0
2018-05-20,58.3,58.3,58.3,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.43,58.43,58.43,0.0,0.0
2018-05-27,58.48,58.48,58.48,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-06-03,58.4,58.4,58.4,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2018-06-10,58.52,58.52,58.52,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-06-17,58.45,58.45,58.45,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-06-24,58.42,58.42,58.42,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-07-01,58.55,58.55,58.55,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.51,58.51,58.51,0.0,0.0
2018-07-08,58.65,58.65,58.65,0.0,0.0,58.71,58.71,58.71,0.0,0.0,58.63,58.63,58.63,0.0,0.0,58.69,58.69,58.69,0.0,0.0
2018-07-15,58.68,58.68,58.68,0.0,0.0,58.68,58.68,58.68,0.0,0.0,58.56,58.56,58.56,0.0,0.0,58.57,58.57,58.57,0.0,0.0
2018-07-22,58.54,58.54,58.54,0.0,0.0,58.54,58.54,58.54,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2018-07-29,58.36,58.36,58.36,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.42,58.42,58.42,0.0,0.0
2018-08-05,58.5,58.5,58.5,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.5,58.5,58.5,0.0,0.0
2018-08-12,58.65,58.65,58.65,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.62,58.62,58.62,0.0,0.0
2018-08-19,58.57,58.57,58.57,0.0,0.0,58.63,58.63,58.63,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.56,58.56,58.56,0.0,0.0
2018-08-26,58.58,58.58,58.58,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.58,58.58,58.58,0.0,0.0
