Date,Fidelity Low Volatility_Open_average,Fidelity Low Volatility_Open_max,Fidelity Low Volatility_Open_min,Fidelity Low Volatility_Open_volatility,Fidelity Low Volatility_Open_change,Fidelity Low Volatility_High_average,Fidelity Low Volatility_High_max,Fidelity Low Volatility_High_min,Fidelity Low Volatility_High_volatility,Fidelity Low Volatility_High_change,Fidelity Low Volatility_Low_average,Fidelity Low Volatility_Low_max,Fidelity Low Volatility_Low_min,Fidelity Low Volatility_Low_volatility,Fidelity Low Volatility_Low_change,Fidelity Low Volatility_Close_average,Fidelity Low Volatility_Close_max,Fidelity Low Volatility_Close_min,Fidelity Low Volatility_Close_volatility,Fidelity Low Volatility_Close_change
2018-01-14,31.86,31.86,31.86,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2018-01-21,32.45,32.45,32.45,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2018-01-28,31.01,31.01,31.01,0.0,0.0,31.24,31.24,31.24,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2018-02-04,30.13,30.13,30.13,0.0,0.0,30.26,30.26,30.26,0.0,0.0,29.89,29.89,29.89,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2018-02-11,30.85,30.85,30.85,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-02-18,31.1,31.1,31.1,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-02-25,30.37,30.37,30.37,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-03-04,31.47,31.47,31.47,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-03-11,30.86,30.86,30.86,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-03-18,29.71,29.71,29.71,0.0,0.0,30.12,30.12,30.12,0.0,0.0,29.6,29.6,29.6,0.0,0.0,30.12,30.12,30.12,0.0,0.0
