Date,ALPS Equal Sector Weight_Open_average,ALPS Equal Sector Weight_Open_max,ALPS Equal Sector Weight_Open_min,ALPS Equal Sector Weight_Open_volatility,ALPS Equal Sector Weight_Open_change,ALPS Equal Sector Weight_High_average,ALPS Equal Sector Weight_High_max,ALPS Equal Sector Weight_High_min,ALPS Equal Sector Weight_High_volatility,ALPS Equal Sector Weight_High_change,ALPS Equal Sector Weight_Low_average,ALPS Equal Sector Weight_Low_max,ALPS Equal Sector Weight_Low_min,ALPS Equal Sector Weight_Low_volatility,ALPS Equal Sector Weight_Low_change,ALPS Equal Sector Weight_Close_average,ALPS Equal Sector Weight_Close_max,ALPS Equal Sector Weight_Close_min,ALPS Equal Sector Weight_Close_volatility,ALPS Equal Sector Weight_Close_change
2018-01-14,71.63,71.63,71.63,0.0,0.0,72.28,72.28,72.28,0.0,0.0,71.63,71.63,71.63,0.0,0.0,72.24,72.24,72.24,0.0,0.0
2018-01-21,73.25,73.25,73.25,0.0,0.0,73.25,73.25,73.25,0.0,0.0,72.95,72.95,72.95,0.0,0.0,73.09,73.09,73.09,0.0,0.0
2018-01-28,70.07,70.07,70.07,0.0,0.0,70.54,70.54,70.54,0.0,0.0,67.78,67.78,67.78,0.0,0.0,67.93,67.93,67.93,0.0,0.0
2018-02-04,67.4,67.4,67.4,0.0,0.0,68.2,68.2,68.2,0.0,0.0,67.34,67.34,67.34,0.0,0.0,67.89,67.89,67.89,0.0,0.0
2018-02-11,69.55,69.55,69.55,0.0,0.0,70.02,70.02,70.02,0.0,0.0,69.43,69.43,69.43,0.0,0.0,69.68,69.68,69.68,0.0,0.0
2018-02-18,70.26,70.26,70.26,0.0,0.0,70.36,70.36,70.36,0.0,0.0,70.22,70.22,70.22,0.0,0.0,70.33,70.33,70.33,0.0,0.0
2018-02-25,68.09,68.09,68.09,0.0,0.0,68.95,68.95,68.95,0.0,0.0,67.94,67.94,67.94,0.0,0.0,68.95,68.95,68.95,0.0,0.0
2018-03-04,70.36,70.36,70.36,0.0,0.0,70.64,70.64,70.64,0.0,0.0,70.19,70.19,70.19,0.0,0.0,70.38,70.38,70.38,0.0,0.0
2018-03-11,69.11,69.11,69.11,0.0,0.0,69.11,69.11,69.11,0.0,0.0,68.59,68.59,68.59,0.0,0.0,68.6,68.6,68.6,0.0,0.0
2018-03-18,67.0,67.0,67.0,0.0,0.0,67.33,67.33,67.33,0.0,0.0,66.5,66.5,66.5,0.0,0.0,67.33,67.33,67.33,0.0,0.0
2018-03-25,67.39,67.39,67.39,0.0,0.0,67.39,67.39,67.39,0.0,0.0,65.58,65.58,65.58,0.0,0.0,66.22,66.22,66.22,0.0,0.0
2018-04-01,67.13,67.13,67.13,0.0,0.0,67.67,67.67,67.67,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.65,67.65,67.65,0.0,0.0
