Date,Guggenheim Invest S&P 500 Pure Growth_Open_average,Guggenheim Invest S&P 500 Pure Growth_Open_max,Guggenheim Invest S&P 500 Pure Growth_Open_min,Guggenheim Invest S&P 500 Pure Growth_Open_volatility,Guggenheim Invest S&P 500 Pure Growth_Open_change,Guggenheim Invest S&P 500 Pure Growth_High_average,Guggenheim Invest S&P 500 Pure Growth_High_max,Guggenheim Invest S&P 500 Pure Growth_High_min,Guggenheim Invest S&P 500 Pure Growth_High_volatility,Guggenheim Invest S&P 500 Pure Growth_High_change,Guggenheim Invest S&P 500 Pure Growth_Low_average,Guggenheim Invest S&P 500 Pure Growth_Low_max,Guggenheim Invest S&P 500 Pure Growth_Low_min,Guggenheim Invest S&P 500 Pure Growth_Low_volatility,Guggenheim Invest S&P 500 Pure Growth_Low_change,Guggenheim Invest S&P 500 Pure Growth_Close_average,Guggenheim Invest S&P 500 Pure Growth_Close_max,Guggenheim Invest S&P 500 Pure Growth_Close_min,Guggenheim Invest S&P 500 Pure Growth_Close_volatility,Guggenheim Invest S&P 500 Pure Growth_Close_change
2018-01-14,112.66,112.66,112.66,0.0,0.0,113.47,113.47,113.47,0.0,0.0,112.35,112.35,112.35,0.0,0.0,113.47,113.47,113.47,0.0,0.0
2018-01-21,115.02,115.02,115.02,0.0,0.0,115.37,115.37,115.37,0.0,0.0,114.15,114.15,114.15,0.0,0.0,114.36,114.36,114.36,0.0,0.0
2018-01-28,110.28,110.28,110.28,0.0,0.0,111.76,111.76,111.76,0.0,0.0,106.65,106.65,106.65,0.0,0.0,106.68,106.68,106.68,0.0,0.0
2018-02-04,106.08,106.08,106.08,0.0,0.0,107.54,107.54,107.54,0.0,0.0,105.31,105.31,105.31,0.0,0.0,106.97,106.97,106.97,0.0,0.0
2018-02-11,110.65,110.65,110.65,0.0,0.0,111.72,111.72,111.72,0.0,0.0,110.64,110.64,110.64,0.0,0.0,110.9,110.9,110.9,0.0,0.0
2018-02-18,112.93,112.93,112.93,0.0,0.0,113.46,113.46,113.46,0.0,0.0,112.49,112.49,112.49,0.0,0.0,113.46,113.46,113.46,0.0,0.0
2018-02-25,110.46,110.46,110.46,0.0,0.0,112.64,112.64,112.64,0.0,0.0,110.22,110.22,110.22,0.0,0.0,112.41,112.41,112.41,0.0,0.0
2018-03-04,116.84,116.84,116.84,0.0,0.0,116.87,116.87,116.87,0.0,0.0,116.29,116.29,116.29,0.0,0.0,116.5,116.5,116.5,0.0,0.0
2018-03-11,114.69,114.69,114.69,0.0,0.0,114.79,114.79,114.79,0.0,0.0,112.74,112.74,112.74,0.0,0.0,113.74,113.74,113.74,0.0,0.0
2018-03-18,110.01,110.01,110.01,0.0,0.0,111.82,111.82,111.82,0.0,0.0,108.99,108.99,108.99,0.0,0.0,111.76,111.76,111.76,0.0,0.0
2018-03-25,109.28,109.28,109.28,0.0,0.0,109.72,109.72,109.72,0.0,0.0,105.84,105.84,105.84,0.0,0.0,106.85,106.85,106.85,0.0,0.0
2018-04-01,107.78,107.78,107.78,0.0,0.0,109.53,109.53,109.53,0.0,0.0,107.64,107.64,107.64,0.0,0.0,107.7,107.7,107.7,0.0,0.0
2018-04-08,110.93,110.93,110.93,0.0,0.0,111.21,111.21,111.21,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.84,110.84,110.84,0.0,0.0
2018-04-15,111.11,111.11,111.11,0.0,0.0,111.46,111.46,111.46,0.0,0.0,109.94,109.94,109.94,0.0,0.0,110.37,110.37,110.37,0.0,0.0
2018-04-22,109.97,109.97,109.97,0.0,0.0,110.5,110.5,110.5,0.0,0.0,109.14,109.14,109.14,0.0,0.0,109.14,109.14,109.14,0.0,0.0
2018-04-29,111.59,111.59,111.59,0.0,0.0,112.2,112.2,112.2,0.0,0.0,111.47,111.47,111.47,0.0,0.0,111.85,111.85,111.85,0.0,0.0
2018-05-06,115.19,115.19,115.19,0.0,0.0,115.51,115.51,115.51,0.0,0.0,114.39,114.39,114.39,0.0,0.0,114.61,114.61,114.61,0.0,0.0
2018-05-13,114.58,114.58,114.58,0.0,0.0,114.85,114.85,114.85,0.0,0.0,114.09,114.09,114.09,0.0,0.0,114.53,114.53,114.53,0.0,0.0
2018-05-20,114.83,114.83,114.83,0.0,0.0,115.33,115.33,115.33,0.0,0.0,114.77,114.77,114.77,0.0,0.0,115.0,115.0,115.0,0.0,0.0
2018-05-27,116.06,116.06,116.06,0.0,0.0,116.72,116.72,116.72,0.0,0.0,115.81,115.81,115.81,0.0,0.0,116.66,116.66,116.66,0.0,0.0
2018-06-03,118.1,118.1,118.1,0.0,0.0,118.44,118.44,118.44,0.0,0.0,117.98,117.98,117.98,0.0,0.0,118.12,118.12,118.12,0.0,0.0
2018-06-10,118.56,118.56,118.56,0.0,0.0,119.28,119.28,119.28,0.0,0.0,118.34,118.34,118.34,0.0,0.0,119.21,119.21,119.21,0.0,0.0
2018-06-17,116.45,116.45,116.45,0.0,0.0,116.45,116.45,116.45,0.0,0.0,113.94,113.94,113.94,0.0,0.0,114.68,114.68,114.68,0.0,0.0
2018-06-24,113.85,113.85,113.85,0.0,0.0,115.27,115.27,115.27,0.0,0.0,113.48,113.48,113.48,0.0,0.0,115.26,115.26,115.26,0.0,0.0
2018-07-01,117.4,117.4,117.4,0.0,0.0,117.84,117.84,117.84,0.0,0.0,116.9,116.9,116.9,0.0,0.0,117.84,117.84,117.84,0.0,0.0
2018-07-08,118.92,118.92,118.92,0.0,0.0,118.92,118.92,118.92,0.0,0.0,118.3,118.3,118.3,0.0,0.0,118.45,118.45,118.45,0.0,0.0
2018-07-15,118.48,118.48,118.48,0.0,0.0,118.91,118.91,118.91,0.0,0.0,118.01,118.01,118.01,0.0,0.0,118.88,118.88,118.88,0.0,0.0
2018-07-22,117.76,117.76,117.76,0.0,0.0,117.76,117.76,117.76,0.0,0.0,115.2,115.2,115.2,0.0,0.0,115.57,115.57,115.57,0.0,0.0
