Date,iPath US Treasury 2 year Bear_Open_average,iPath US Treasury 2 year Bear_Open_max,iPath US Treasury 2 year Bear_Open_min,iPath US Treasury 2 year Bear_Open_volatility,iPath US Treasury 2 year Bear_Open_change,iPath US Treasury 2 year Bear_High_average,iPath US Treasury 2 year Bear_High_max,iPath US Treasury 2 year Bear_High_min,iPath US Treasury 2 year Bear_High_volatility,iPath US Treasury 2 year Bear_High_change,iPath US Treasury 2 year Bear_Low_average,iPath US Treasury 2 year Bear_Low_max,iPath US Treasury 2 year Bear_Low_min,iPath US Treasury 2 year Bear_Low_volatility,iPath US Treasury 2 year Bear_Low_change,iPath US Treasury 2 year Bear_Close_average,iPath US Treasury 2 year Bear_Close_max,iPath US Treasury 2 year Bear_Close_min,iPath US Treasury 2 year Bear_Close_volatility,iPath US Treasury 2 year Bear_Close_change
2018-01-14,36.8,36.8,36.8,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.81,36.81,36.81,0.0,0.0
2018-01-21,37.22,37.22,37.22,0.0,0.0,37.26,37.26,37.26,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.97,36.97,36.97,0.0,0.0
2018-01-28,37.26,37.26,37.26,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.5,36.5,36.5,0.0,0.0
2018-02-04,37.73,37.73,37.73,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2018-02-11,37.98,37.98,37.98,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.95,37.95,37.95,0.0,0.0
2018-02-18,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2018-02-25,37.7,37.7,37.7,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-03-04,37.82,37.82,37.82,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2018-03-11,38.03,38.03,38.03,0.0,0.0,38.19,38.19,38.19,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2018-03-18,37.8,37.8,37.8,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-03-25,37.18,37.18,37.18,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2018-04-01,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0
